experiment_id,iteration_limit,scope,turn_number,turn_phase,count,cumulative_count
uct-30000-self-play,30000,player_1_securing_events,14,midgame,0,122
uct-30000-self-play,30000,player_2_securing_events,14,midgame,13,172
uct-30000-self-play,30000,first_securing_per_game,15,midgame,0,99
uct-30000-self-play,30000,all_securing_events,15,midgame,16,310
uct-30000-self-play,30000,player_1_securing_events,15,midgame,16,138
uct-30000-self-play,30000,player_2_securing_events,15,midgame,0,172
uct-30000-self-play,30000,first_securing_per_game,16,midgame,1,100
uct-30000-self-play,30000,all_securing_events,16,midgame,20,330
uct-30000-self-play,30000,player_1_securing_events,16,midgame,0,138
uct-30000-self-play,30000,player_2_securing_events,16,midgame,20,192
uct-30000-self-play,30000,first_securing_per_game,17,late,0,100
uct-30000-self-play,30000,all_securing_events,17,late,15,345
uct-30000-self-play,30000,player_1_securing_events,17,late,15,153
uct-30000-self-play,30000,player_2_securing_events,17,late,0,192
uct-30000-self-play,30000,first_securing_per_game,18,late,0,100
uct-30000-self-play,30000,all_securing_events,18,late,13,358
uct-30000-self-play,30000,player_1_securing_events,18,late,0,153
uct-30000-self-play,30000,player_2_securing_events,18,late,13,205
uct-30000-self-play,30000,first_securing_per_game,19,late,0,100
uct-30000-self-play,30000,all_securing_events,19,late,11,369
uct-30000-self-play,30000,player_1_securing_events,19,late,11,164
uct-30000-self-play,30000,player_2_securing_events,19,late,0,205
uct-30000-self-play,30000,first_securing_per_game,20,late,0,100
uct-30000-self-play,30000,all_securing_events,20,late,26,395
uct-30000-self-play,30000,player_1_securing_events,20,late,0,164
uct-30000-self-play,30000,player_2_securing_events,20,late,26,231
uct-30000-self-play,30000,first_securing_per_game,21,late,0,100
uct-30000-self-play,30000,all_securing_events,21,late,15,410
uct-30000-self-play,30000,player_1_securing_events,21,late,15,179
uct-30000-self-play,30000,player_2_securing_events,21,late,0,231
uct-30000-self-play,30000,first_securing_per_game,22,late,0,100
uct-30000-self-play,30000,all_securing_events,22,late,8,418
uct-30000-self-play,30000,player_1_securing_events,22,late,0,179
uct-30000-self-play,30000,player_2_securing_events,22,late,8,239
uct-30000-self-play,30000,first_securing_per_game,23,late,0,100
uct-30000-self-play,30000,all_securing_events,23,late,11,429
uct-30000-self-play,30000,player_1_securing_events,23,late,11,190
uct-30000-self-play,30000,player_2_securing_events,23,late,0,239
uct-30000-self-play,30000,first_securing_per_game,24,late,0,100
uct-30000-self-play,30000,all_securing_events,24,late,14,443
uct-30000-self-play,30000,player_1_securing_events,24,late,0,190
uct-30000-self-play,30000,player_2_securing_events,24,late,14,253
uct-30000-self-play,30000,first_securing_per_game,never,never,0,100
