experiment_id,iteration_limit,game_index,player,player_result_status,supply_point,spatial_category,securing_turn,securing_phase,p1_piece_count_at_turn_start,p2_piece_count_at_turn_start,previous_unresolved_pattern,securable_at_turn_start,placements_needed_to_secure,legal_max_additional_placements_this_turn,p1_piece_count_immediately_before_securing,p2_piece_count_immediately_before_securing,first_controlled_turn,opponent_placements_after_first_control_before_securing,contested_after_becoming_relevant,adjacent_objectives,adjacent_objective_states_at_securing,adjacent_live_objectives_at_securing,adjacent_future_placeable_objectives_at_securing,adjacent_future_placement_capacity_at_securing,adjacent_empty_objectives_at_securing,adjacent_secured_objectives_at_securing,future_turns_used_as_supply,future_objective_placements_supported,future_objectives_supported
uct-10000-self-play,10000,6,2,draw,S42,edge,24,late,2,2,2-2,true,1,1,2,3,24,0,false,2,O31:3:3:0;O32:4:0:3,0,0,0,0,2,0,0,
uct-10000-self-play,10000,7,2,draw,S11,interior,12,midgame,2,2,2-2,true,1,1,2,3,2,2,true,4,O00:0:0:0;O01:4:0:3;O10:2:0:2;O11:0:0:0,3,3,7,2,1,6,6,O10;O00;O00;O00;O11;O11
uct-10000-self-play,10000,7,2,draw,S23,interior,20,late,2,2,2-2,true,1,1,2,3,14,1,true,4,O12:3:3:0;O13:0:0:0;O22:0:0:0;O23:0:0:0,3,3,9,3,1,2,2,O13;O22
uct-10000-self-play,10000,7,1,draw,S31,interior,13,midgame,2,2,2-2,true,1,1,3,2,1,2,true,4,O20:1:1:0;O21:3:3:0;O30:0:0:0;O31:1:2:0,3,3,6,1,1,4,4,O31;O20;O20;O30
uct-10000-self-play,10000,7,1,draw,S33,interior,19,late,1,2,1-2,true,2,2,3,2,19,0,false,4,O22:0:0:0;O23:0:0:0;O32:0:0:0;O33:0:0:0,4,4,12,4,0,2,2,O22;O32
uct-10000-self-play,10000,8,2,winner,S11,interior,8,early,2,2,2-2,true,1,1,2,3,4,1,true,4,O00:0:0:0;O01:2:0:1;O10:0:0:0;O11:2:0:1,4,4,10,2,0,6,6,O01;O01;O10;O00;O00;O00
uct-10000-self-play,10000,8,2,winner,S13,interior,18,late,2,2,2-2,true,1,1,2,3,14,2,true,4,O02:0:0:0;O03:0:0:0;O12:2:0:2;O13:1:1:0,4,4,10,2,0,3,3,O12;O03;O02
uct-10000-self-play,10000,8,1,loser,S22,interior,21,late,2,2,2-2,true,1,1,3,2,1,2,true,4,O11:4:0:3;O12:4:0:3;O21:1:2:0;O22:3:3:0,1,1,1,0,3,1,1,O21
uct-10000-self-play,10000,8,1,loser,S33,interior,19,late,2,2,2-2,true,1,1,3,2,3,2,true,4,O22:3:3:0;O23:3:3:0;O32:3:3:0;O33:1:2:0,1,1,1,0,3,0,0,
uct-10000-self-play,10000,9,1,winner,S21,interior,9,midgame,1,2,1-2,true,2,2,3,2,9,0,false,4,O10:0:0:0;O11:0:0:0;O20:2:0:2;O21:0:0:0,4,4,12,3,0,3,3,O11;O11;O10
uct-10000-self-play,10000,9,2,loser,S31,interior,10,midgame,2,2,2-2,true,1,1,2,3,4,2,true,4,O20:2:0:2;O21:0:0:0;O30:0:0:0;O31:0:0:0,4,4,10,3,0,3,3,O20;O21;O31
uct-10000-self-play,10000,10,2,loser,S13,interior,4,early,2,1,2-1,true,2,2,2,3,4,0,false,4,O02:0:0:0;O03:0:0:0;O12:0:0:0;O13:1:1:0,4,4,12,3,0,5,5,O02;O02;O02;O03;O03
uct-10000-self-play,10000,10,2,loser,S23,interior,6,early,2,1,2-1,true,2,2,2,3,6,0,false,4,O12:0:0:0;O13:1:1:0;O22:0:0:0;O23:0:0:0,4,4,12,3,0,6,6,O12;O12;O12;O22;O22;O22
uct-10000-self-play,10000,10,2,loser,S30,edge,24,late,1,1,1-1,true,2,2,1,3,24,0,false,2,O20:3:3:0;O30:3:3:0,0,0,0,0,2,0,0,
uct-10000-self-play,10000,10,1,winner,S31,interior,19,late,2,2,2-2,true,1,1,3,2,11,2,true,4,O20:1:1:0;O21:0:0:0;O30:1:2:0;O31:0:0:0,4,4,9,2,0,2,2,O30;O31
uct-10000-self-play,10000,11,1,winner,S21,interior,23,late,2,2,2-2,true,1,1,3,2,1,2,true,4,O10:3:3:0;O11:4:0:3;O20:3:3:0;O21:3:3:0,0,0,0,0,4,0,0,
uct-10000-self-play,10000,11,2,loser,S33,interior,12,midgame,2,2,2-2,true,1,1,2,3,4,2,true,4,O22:0:0:0;O23:0:0:0;O32:2:0:2;O33:0:0:0,4,4,10,3,0,4,4,O32;O22;O22;O23
uct-10000-self-play,10000,12,1,winner,S03,edge,23,late,1,2,1-2,true,2,2,3,2,23,0,false,2,O02:2:0:1;O03:0:0:0,2,2,6,1,0,0,0,
uct-10000-self-play,10000,12,1,winner,S12,interior,9,midgame,2,2,2-2,true,1,1,3,2,1,2,true,4,O01:0:0:0;O02:0:0:0;O11:0:0:0;O12:1:2:0,4,4,10,3,0,2,2,O12;O01
uct-10000-self-play,10000,12,2,loser,S22,interior,6,early,2,1,2-1,true,2,2,2,3,6,0,false,4,O11:0:0:0;O12:1:1:0;O21:1:1:0;O22:0:0:0,4,4,12,2,0,4,4,O21;O21;O11;O11
uct-10000-self-play,10000,12,1,winner,S23,interior,9,midgame,2,2,2-2,true,1,1,3,2,7,1,true,4,O12:1:2:0;O13:0:0:0;O22:0:0:0;O23:0:0:0,4,4,10,3,0,4,4,O22;O13;O13;O13
uct-10000-self-play,10000,13,2,winner,S21,interior,20,late,2,2,2-2,true,1,1,2,3,12,1,true,4,O10:2:0:2;O11:3:3:0;O20:1:1:0;O21:0:0:0,3,3,7,1,1,2,2,O20;O20
uct-10000-self-play,10000,13,1,loser,S22,interior,5,early,1,2,1-2,true,2,2,3,2,1,2,true,4,O11:0:0:0;O12:1:1:0;O21:0:0:0;O22:0:0:0,4,4,11,3,0,7,7,O12;O12;O22;O11;O11;O21;O21
uct-10000-self-play,10000,13,1,loser,S23,interior,7,early,1,2,1-2,true,2,2,3,2,1,2,true,4,O12:1:1:0;O13:2:0:1;O22:0:0:0;O23:0:0:0,4,4,11,2,0,2,2,O22;O22
uct-10000-self-play,10000,13,2,winner,S33,interior,24,late,2,2,2-2,true,1,1,2,3,6,2,true,4,O22:3:3:0;O23:4:0:3;O32:0:0:0;O33:2:0:1,2,2,5,1,2,0,0,
uct-10000-self-play,10000,14,1,winner,S12,interior,7,early,1,2,1-2,true,2,2,3,2,7,0,false,4,O01:0:0:0;O02:2:0:2;O11:0:0:0;O12:0:0:0,4,4,12,3,0,3,3,O02;O02;O12
uct-10000-self-play,10000,14,1,winner,S13,interior,9,midgame,1,2,1-2,true,2,2,3,2,9,0,false,4,O02:2:0:2;O03:0:0:0;O12:0:0:0;O13:0:0:0,4,4,12,3,0,4,4,O02;O12;O12;O03
uct-10000-self-play,10000,14,2,loser,S21,interior,14,midgame,2,2,2-2,true,1,1,2,3,8,2,true,4,O10:2:0:1;O11:2:0:2;O20:0:0:0;O21:0:0:0,4,4,9,2,0,5,5,O11;O21;O10;O20;O10
uct-10000-self-play,10000,14,2,loser,S22,interior,8,early,2,2,2-2,true,1,1,2,3,8,0,false,4,O11:0:0:0;O12:0:0:0;O21:0:0:0;O22:3:3:0,3,3,9,3,1,4,4,O11;O11;O21;O21
uct-10000-self-play,10000,15,2,loser,S11,interior,24,late,2,2,2-2,true,1,1,2,3,22,1,true,4,O00:0:0:0;O01:1:1:0;O10:0:0:0;O11:3:3:2,3,3,9,2,1,0,0,
uct-10000-self-play,10000,15,1,winner,S12,interior,5,early,1,2,1-2,true,2,2,3,2,1,2,true,4,O01:0:0:0;O02:0:0:0;O11:0:1:1;O12:0:0:0,4,4,11,3,0,4,4,O11;O11;O02;O01
uct-10000-self-play,10000,15,1,winner,S13,interior,11,midgame,1,2,1-2,true,2,2,3,2,11,0,false,4,O02:2:0:2;O03:0:0:0;O12:2:0:1;O13:0:0:0,4,4,12,2,0,3,3,O02;O13;O13
uct-10000-self-play,10000,15,2,loser,S22,interior,18,late,2,2,2-2,true,1,1,2,3,6,2,true,4,O11:3:3:2;O12:4:0:3;O21:2:0:1;O22:2:0:2,2,2,3,0,2,2,2,O21;O21
uct-10000-self-play,10000,15,2,loser,S23,interior,12,midgame,2,2,2-2,true,1,1,2,3,2,2,true,4,O12:2:0:1;O13:0:0:0;O22:0:0:0;O23:0:0:0,4,4,11,3,0,5,5,O22;O12;O22;O23;O13
uct-10000-self-play,10000,16,2,loser,S12,interior,10,midgame,2,2,2-2,true,1,1,2,3,4,2,true,4,O01:0:0:0;O02:2:0:2;O11:2:0:1;O12:0:0:0,4,4,9,2,0,5,5,O11;O12;O01;O01;O01
uct-10000-self-play,10000,16,2,loser,S13,interior,10,midgame,2,2,2-2,true,1,1,2,3,2,2,true,4,O02:2:0:2;O03:0:0:0;O12:0:0:0;O13:0:0:0,4,4,10,3,0,5,5,O02;O12;O12;O03;O03
uct-10000-self-play,10000,16,1,winner,S32,interior,7,early,2,2,2-2,true,1,1,3,2,1,2,true,4,O21:0:0:0;O22:1:1:0;O31:0:0:0;O32:0:0:0,4,4,11,3,0,8,8,O22;O22;O31;O31;O31;O21;O21;O21
uct-10000-self-play,10000,17,2,loser,S11,interior,8,early,2,2,2-2,true,1,1,2,3,6,1,true,4,O00:0:0:0;O01:2:0:1;O10:0:0:0;O11:0:0:0,4,4,11,3,0,4,4,O01;O11;O00;O00
uct-10000-self-play,10000,17,1,winner,S13,interior,19,late,1,2,1-2,true,2,2,3,2,1,2,true,4,O02:0:0:0;O03:0:0:0;O12:2:0:2;O13:1:2:0,4,4,10,2,0,2,2,O13;O02
uct-10000-self-play,10000,17,2,loser,S42,edge,18,late,2,2,2-2,true,1,1,2,3,12,2,true,2,O31:0:0:0;O32:2:0:2,2,2,4,1,0,2,2,O32;O31
uct-10000-self-play,10000,18,1,winner,S11,interior,7,early,2,2,2-2,true,1,1,3,2,1,2,true,4,O00:0:0:0;O01:1:1:0;O10:0:0:0;O11:0:0:0,4,4,11,3,0,7,7,O01;O11;O11;O11;O00;O00;O00
uct-10000-self-play,10000,18,2,loser,S21,interior,8,early,2,2,2-2,true,1,1,2,3,2,2,true,4,O10:0:0:0;O11:0:0:0;O20:2:0:1;O21:0:0:0,4,4,11,3,0,6,6,O20;O10;O10;O21;O21;O21
uct-10000-self-play,10000,18,2,loser,S22,interior,16,midgame,2,2,2-2,true,1,1,2,3,10,2,true,4,O11:1:2:0;O12:0:0:0;O21:0:0:0;O22:0:1:1,4,4,11,2,0,3,3,O22;O22;O12
uct-10000-self-play,10000,18,1,winner,S31,interior,9,midgame,1,2,1-2,true,2,2,3,2,9,0,false,4,O20:2:0:2;O21:0:0:0;O30:0:0:0;O31:0:0:0,4,4,12,3,0,6,6,O30;O30;O30;O31;O31;O31
uct-10000-self-play,10000,18,1,winner,S33,interior,17,late,2,2,2-2,true,1,1,3,2,3,2,true,4,O22:0:1:1;O23:0:0:0;O32:0:0:0;O33:0:0:0,4,4,11,3,0,1,1,O23
uct-10000-self-play,10000,19,1,loser,S11,interior,9,midgame,2,2,2-2,true,1,1,3,2,7,1,true,4,O00:0:0:0;O01:0:0:0;O10:0:0:0;O11:1:1:0,4,4,11,3,0,6,6,O01;O10;O00;O10;O10;O00
uct-10000-self-play,10000,19,2,winner,S13,interior,6,early,2,1,2-1,true,2,2,2,3,6,0,false,4,O02:2:0:1;O03:1:1:0;O12:0:0:0;O13:0:0:0,4,4,11,2,0,7,7,O02;O02;O13;O12;O12;O03;O03
uct-10000-self-play,10000,19,2,winner,S23,interior,8,early,2,2,2-2,true,1,1,2,3,6,1,true,4,O12:0:0:0;O13:0:0:0;O22:0:0:0;O23:0:0:0,4,4,12,4,0,5,5,O13;O13;O22;O12;O23
uct-10000-self-play,10000,20,2,loser,S13,interior,10,midgame,2,2,2-2,true,1,1,2,3,2,2,true,4,O02:0:0:0;O03:0:0:0;O12:2:0:1;O13:4:0:3,3,3,8,2,1,5,5,O03;O03;O03;O02;O02
uct-10000-self-play,10000,20,1,winner,S32,interior,13,midgame,2,2,2-2,true,1,1,3,2,3,2,true,4,O21:0:0:0;O22:3:3:0;O31:1:2:0;O32:0:0:0,3,3,7,2,1,4,4,O31;O32;O21;O21
uct-10000-self-play,10000,21,1,winner,S11,interior,15,midgame,1,2,1-2,true,2,2,3,2,1,2,true,4,O00:1:2:0;O01:0:0:0;O10:0:0:0;O11:3:3:0,3,3,7,2,1,4,4,O00;O10;O01;O10
uct-10000-self-play,10000,22,2,loser,S11,interior,8,early,2,2,2-2,true,1,1,2,3,6,1,true,4,O00:0:0:0;O01:0:0:0;O10:0:0:0;O11:0:0:0,4,4,12,4,0,6,6,O11;O10;O01;O00;O00;O00
uct-10000-self-play,10000,22,1,winner,S22,interior,5,early,1,2,1-2,true,2,2,3,2,5,0,false,4,O11:0:0:0;O12:0:0:0;O21:0:0:0;O22:0:0:0,4,4,12,4,0,5,5,O12;O12;O22;O22;O21
uct-10000-self-play,10000,22,1,winner,S23,interior,5,early,2,2,2-2,true,1,1,3,2,1,2,true,4,O12:0:0:0;O13:0:0:0;O22:0:0:0;O23:1:1:0,4,4,11,3,0,7,7,O23;O23;O12;O22;O13;O13;O13
uct-10000-self-play,10000,23,1,winner,S11,interior,7,early,2,2,2-2,true,1,1,3,2,1,2,true,4,O00:0:0:0;O01:0:0:0;O10:0:0:0;O11:1:2:0,4,4,10,3,0,7,7,O10;O10;O10;O00;O01;O01;O01
uct-10000-self-play,10000,23,2,loser,S13,interior,10,midgame,2,2,2-2,true,1,1,2,3,2,2,true,4,O02:2:0:2;O03:0:0:0;O12:2:0:2;O13:0:0:0,4,4,8,2,0,5,5,O02;O13;O03;O03;O03
uct-10000-self-play,10000,23,1,winner,S33,interior,15,midgame,2,2,2-2,true,1,1,3,2,1,2,true,4,O22:1:1:0;O23:0:0:0;O32:1:2:0;O33:0:0:0,4,4,9,2,0,2,2,O32;O33
uct-10000-self-play,10000,24,2,loser,S12,interior,18,late,2,2,2-2,true,1,1,2,3,14,1,true,4,O01:2:0:2;O02:0:0:0;O11:3:3:0;O12:3:3:0,2,2,4,1,2,2,2,O01;O02
uct-10000-self-play,10000,24,2,loser,S21,interior,6,early,2,2,2-2,true,1,1,2,3,2,1,true,4,O10:0:0:0;O11:0:0:0;O20:0:0:0;O21:2:0:1,4,4,11,3,0,2,2,O20;O20
uct-10000-self-play,10000,24,2,loser,S31,interior,18,late,2,2,2-2,true,1,1,2,3,4,2,true,4,O20:4:0:3;O21:4:0:3;O30:2:0:2;O31:0:0:0,2,2,4,1,2,3,3,O30;O31;O31
uct-10000-self-play,10000,25,2,loser,S13,interior,8,early,2,2,2-2,true,1,1,2,3,2,2,true,4,O02:0:0:0;O03:0:0:0;O12:2:0:2;O13:0:0:0,4,4,10,3,0,5,5,O13;O13;O02;O02;O02
uct-10000-self-play,10000,25,2,loser,S32,interior,20,late,2,2,2-2,true,1,1,2,3,8,2,true,4,O21:1:1:0;O22:3:3:2;O31:0:0:0;O32:2:0:2,3,3,7,1,1,1,1,O31
uct-10000-self-play,10000,26,2,winner,S13,interior,8,early,2,1,2-1,true,2,2,2,3,8,0,false,4,O02:1:2:0;O03:0:0:0;O12:0:0:0;O13:0:0:0,4,4,12,3,0,8,8,O12;O12;O03;O03;O03;O13;O13;O13
uct-10000-self-play,10000,26,1,loser,S21,interior,19,late,2,2,2-2,true,1,1,3,2,1,2,true,4,O10:0:0:0;O11:3:3:0;O20:0:0:0;O21:1:1:0,3,3,8,2,1,2,2,O21;O21
uct-10000-self-play,10000,26,1,loser,S31,interior,21,late,2,2,2-2,true,1,1,3,2,17,1,true,4,O20:0:0:0;O21:1:1:0;O30:0:0:0;O31:0:0:0,4,4,11,3,0,1,1,O30
uct-10000-self-play,10000,27,2,draw,S21,interior,6,early,2,2,2-2,true,1,1,2,3,2,1,true,4,O10:0:0:0;O11:0:0:0;O20:0:0:0;O21:0:0:0,4,4,12,4,0,6,6,O21;O21;O21;O10;O10;O10
uct-10000-self-play,10000,27,1,draw,S23,interior,5,early,1,2,1-2,true,2,2,3,2,1,2,true,4,O12:1:2:0;O13:0:0:0;O22:0:0:0;O23:0:0:0,4,4,10,3,0,6,6,O12;O22;O23;O23;O23;O13
uct-10000-self-play,10000,27,2,draw,S31,interior,10,midgame,2,2,2-2,true,1,1,2,3,2,2,true,4,O20:0:0:0;O21:2:0:1;O30:2:0:2;O31:0:0:0,4,4,9,2,0,3,3,O20;O31;O31
uct-10000-self-play,10000,28,2,winner,S21,interior,12,midgame,2,2,2-2,true,1,1,2,3,6,2,true,4,O10:0:0:0;O11:2:0:2;O20:0:0:0;O21:0:0:0,4,4,10,3,0,6,6,O21;O21;O10;O10;O20;O20
uct-10000-self-play,10000,28,2,winner,S22,interior,12,midgame,2,2,2-2,true,1,1,2,3,2,2,true,4,O11:2:0:2;O12:4:0:3;O21:0:0:0;O22:0:0:0,3,3,7,2,1,2,2,O11;O21
uct-10000-self-play,10000,28,1,loser,S23,interior,15,midgame,2,2,2-2,true,1,1,3,2,13,1,true,4,O12:4:0:3;O13:0:0:0;O22:1:1:0;O23:0:0:0,3,3,8,2,1,4,4,O23;O13;O13;O13
uct-10000-self-play,10000,28,1,loser,S32,interior,5,early,2,2,2-2,true,1,1,3,2,1,2,true,4,O21:0:0:0;O22:0:0:0;O31:0:0:0;O32:1:1:0,4,4,11,3,0,5,5,O31;O32;O22;O22;O22
uct-10000-self-play,10000,29,2,loser,S11,interior,16,midgame,2,2,2-2,true,1,1,2,3,10,2,true,4,O00:0:0:0;O01:0:0:0;O10:2:0:2;O11:2:0:1,4,4,9,2,0,3,3,O10;O01;O01
uct-10000-self-play,10000,29,1,winner,S22,interior,9,midgame,2,2,2-2,true,1,1,3,2,5,2,true,4,O11:0:0:0;O12:0:0:0;O21:0:0:0;O22:1:2:0,4,4,10,3,0,3,3,O12;O12;O21
uct-10000-self-play,10000,29,2,loser,S23,interior,4,early,2,1,2-1,true,2,2,2,3,4,0,false,4,O12:0:0:0;O13:1:1:0;O22:1:1:0;O23:0:0:0,4,4,12,2,0,2,2,O23;O12
uct-10000-self-play,10000,29,1,winner,S32,interior,9,midgame,2,2,2-2,true,1,1,3,2,1,2,true,4,O21:0:0:0;O22:1:2:0;O31:0:0:0;O32:0:0:0,4,4,10,3,0,2,2,O22;O31
uct-10000-self-play,10000,30,1,winner,S11,interior,15,midgame,2,2,2-2,true,1,1,3,2,1,2,true,4,O00:1:2:0;O01:1:1:0;O10:3:3:0;O11:0:0:0,3,3,6,1,1,2,2,O00;O11
uct-10000-self-play,10000,30,2,loser,S21,interior,8,early,2,2,2-2,true,1,1,2,3,8,0,false,4,O10:3:3:0;O11:0:0:0;O20:0:0:0;O21:0:0:0,3,3,9,3,1,5,5,O21;O21;O20;O11;O11
uct-10000-self-play,10000,30,2,loser,S31,interior,10,midgame,2,2,2-2,true,1,1,2,3,2,2,true,4,O20:0:0:0;O21:0:0:0;O30:2:0:2;O31:0:0:0,4,4,10,3,0,4,4,O30;O21;O20;O20
uct-10000-self-play,10000,30,1,winner,S32,interior,7,early,2,2,2-2,true,1,1,3,2,1,2,true,4,O21:0:0:0;O22:0:0:0;O31:0:0:0;O32:1:1:0,4,4,11,3,0,7,7,O32;O32;O31;O31;O31;O22;O22
uct-10000-self-play,10000,30,2,loser,S33,interior,14,midgame,2,2,2-2,true,1,1,2,3,4,2,true,4,O22:0:0:0;O23:0:0:0;O32:3:3:0;O33:2:0:2,3,3,7,2,1,4,4,O33;O23;O23;O23
uct-10000-self-play,10000,31,2,loser,S33,interior,20,late,2,2,2-2,true,1,1,2,3,2,2,true,4,O22:4:0:3;O23:4:0:3;O32:4:0:3;O33:2:0:1,1,1,2,0,3,1,1,O33
uct-10000-self-play,10000,32,2,winner,S12,interior,10,midgame,2,2,2-2,true,1,1,2,3,2,2,true,4,O01:0:0:0;O02:2:0:2;O11:0:0:0;O12:2:0:1,4,4,9,2,0,4,4,O02;O01;O01;O01
uct-10000-self-play,10000,32,2,winner,S13,interior,18,late,2,2,2-2,true,1,1,2,3,2,2,true,4,O02:4:0:3;O03:0:0:0;O12:4:0:3;O13:0:2:2,2,2,4,1,2,1,1,O13
uct-10000-self-play,10000,32,1,loser,S22,interior,13,midgame,2,2,2-2,true,1,1,3,2,13,0,false,4,O11:1:1:0;O12:4:0:3;O21:3:3:2;O22:0:0:0,2,2,5,1,2,1,1,O11
