iteration_limit,game_index,seed,winner,deciding_criterion,secured_margin_p1_minus_p2,advantage_margin_p1_minus_p2,corrected_objective_piece_margin_p1_minus_p2,first_persistent_full_lexicographic_lead_turn,first_supply_securing_turn,final_secured_supply_count,final_p1_secured_supply_count,final_p2_secured_supply_count,supply_placements,objective_placements,supply_placement_share,objective_placement_share,sample
10000,71,1131000070,2,advantage_objectives,0,-1,-1,24,10,5,2,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
10000,72,1131000071,2,secured_objectives,-1,2,3,24,12,4,1,3,41,31,0.5694444444444444,0.4305555555555556,issue-112-corrected
10000,73,1131000072,0,draw,0,0,0,,4,3,1,2,32,40,0.4444444444444444,0.5555555555555556,issue-112-corrected
10000,74,1131000073,2,objective_pieces,0,0,-1,24,5,4,1,3,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
10000,75,1131000074,2,secured_objectives,-1,3,4,20,6,5,2,3,41,31,0.5694444444444444,0.4305555555555556,issue-112-corrected
10000,76,1131000075,2,secured_objectives,-2,3,5,22,6,4,2,2,36,36,0.5,0.5,issue-112-corrected
10000,77,1131000076,1,secured_objectives,1,0,0,17,10,2,1,1,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
10000,78,1131000077,1,secured_objectives,1,0,0,17,5,6,2,4,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
10000,79,1131000078,0,draw,0,0,0,,4,3,2,1,36,36,0.5,0.5,issue-112-corrected
10000,80,1131000079,1,secured_objectives,1,-2,-3,19,6,4,2,2,36,36,0.5,0.5,issue-112-corrected
10000,81,1131000080,1,secured_objectives,1,-1,-2,21,7,4,1,3,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,82,1131000081,1,secured_objectives,2,-1,-1,13,17,5,2,3,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
10000,83,1131000082,2,secured_objectives,-1,3,6,22,20,1,0,1,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,84,1131000083,2,secured_objectives,-1,0,0,20,8,3,1,2,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,85,1131000084,1,secured_objectives,1,-1,-1,19,8,4,1,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
10000,86,1131000085,1,secured_objectives,1,1,1,23,6,5,1,4,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
10000,87,1131000086,2,secured_objectives,-1,1,2,22,8,3,0,3,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
10000,88,1131000087,1,secured_objectives,1,-1,-1,21,4,4,1,3,33,39,0.4583333333333333,0.5416666666666666,issue-112-corrected
10000,89,1131000088,2,secured_objectives,-2,5,7,22,7,5,2,3,41,31,0.5694444444444444,0.4305555555555556,issue-112-corrected
10000,90,1131000089,2,advantage_objectives,0,-1,1,24,6,5,2,3,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
