"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"6x6","6x6-uct-0100","100","32","1","0.020833","1","1","S44","supply","","MM"
"6x6","6x6-uct-0100","100","32","1","0.020833","2","1","S44","supply","","MM"
"6x6","6x6-uct-0100","100","32","1","0.020833","3","1","S31","supply","","ML"
"6x6","6x6-uct-0100","100","32","2","0.041667","1","2","S32","supply","","ML"
"6x6","6x6-uct-0100","100","32","2","0.041667","2","2","S25","supply","","LH"
"6x6","6x6-uct-0100","100","32","2","0.041667","3","2","S03","supply","","LM"
"6x6","6x6-uct-0100","100","32","3","0.062500","1","1","S22","supply","","LL"
"6x6","6x6-uct-0100","100","32","3","0.062500","2","1","S00","supply","","LL"
"6x6","6x6-uct-0100","100","32","3","0.062500","3","1","S55","supply","","HH"
"6x6","6x6-uct-0100","100","32","4","0.083333","1","2","S52","supply","","HL"
"6x6","6x6-uct-0100","100","32","4","0.083333","2","2","S40","supply","","ML"
"6x6","6x6-uct-0100","100","32","4","0.083333","3","2","S11","supply","","LL"
"6x6","6x6-uct-0100","100","32","5","0.104167","1","1","S65","supply","","HH"
"6x6","6x6-uct-0100","100","32","5","0.104167","2","1","S43","supply","","MM"
"6x6","6x6-uct-0100","100","32","5","0.104167","3","1","S53","supply","","HM"
"6x6","6x6-uct-0100","100","32","6","0.125000","1","2","S04","supply","","LM"
"6x6","6x6-uct-0100","100","32","6","0.125000","2","2","S23","supply","","LM"
"6x6","6x6-uct-0100","100","32","6","0.125000","3","2","S01","supply","","LL"
"6x6","6x6-uct-0100","100","32","7","0.145833","1","1","O31","objective","S31","ML"
"6x6","6x6-uct-0100","100","32","7","0.145833","2","1","S15","supply","","LH"
"6x6","6x6-uct-0100","100","32","7","0.145833","3","1","O43","objective","S53","HM"
"6x6","6x6-uct-0100","100","32","8","0.166667","1","2","S06","supply","","LH"
"6x6","6x6-uct-0100","100","32","8","0.166667","2","2","S46","supply","","MH"
"6x6","6x6-uct-0100","100","32","8","0.166667","3","2","O23","objective","S23","MM"
"6x6","6x6-uct-0100","100","32","9","0.187500","1","1","S42","supply","","ML"
"6x6","6x6-uct-0100","100","32","9","0.187500","2","1","S32","supply","","ML"
"6x6","6x6-uct-0100","100","32","9","0.187500","3","1","S54","supply","","HM"
"6x6","6x6-uct-0100","100","32","10","0.208333","1","2","S54","supply","","HM"
"6x6","6x6-uct-0100","100","32","10","0.208333","2","2","S46","supply","","MH"
"6x6","6x6-uct-0100","100","32","10","0.208333","3","2","S34","supply","","MM"
"6x6","6x6-uct-0100","100","32","11","0.229167","1","1","O22","objective","S22","MM"
"6x6","6x6-uct-0100","100","32","11","0.229167","2","1","S15","supply","","LH"
"6x6","6x6-uct-0100","100","32","11","0.229167","3","1","S54","supply","","HM"
"6x6","6x6-uct-0100","100","32","12","0.250000","1","2","O05","objective","S06","LH"
"6x6","6x6-uct-0100","100","32","12","0.250000","2","2","S14","supply","","LM"
"6x6","6x6-uct-0100","100","32","12","0.250000","3","2","O02","objective","S03","LM"
"6x6","6x6-uct-0100","100","32","13","0.270833","1","1","O14","objective","S15","LH"
"6x6","6x6-uct-0100","100","32","13","0.270833","2","1","S04","supply","","LM"
"6x6","6x6-uct-0100","100","32","13","0.270833","3","1","O22","objective","S22","MM"
"6x6","6x6-uct-0100","100","32","14","0.291667","1","2","O35","objective","S46","MH"
"6x6","6x6-uct-0100","100","32","14","0.291667","2","2","O24","objective","S25","MH"
"6x6","6x6-uct-0100","100","32","14","0.291667","3","2","S51","supply","","HL"
"6x6","6x6-uct-0100","100","32","15","0.312500","1","1","O22","objective","S22","MM"
"6x6","6x6-uct-0100","100","32","15","0.312500","2","1","O31","objective","S42","ML"
"6x6","6x6-uct-0100","100","32","15","0.312500","3","1","S32","supply","","ML"
"6x6","6x6-uct-0100","100","32","16","0.333333","1","2","O35","objective","S46","MH"
"6x6","6x6-uct-0100","100","32","16","0.333333","2","2","O34","objective","S34","MH"
"6x6","6x6-uct-0100","100","32","16","0.333333","3","2","S36","supply","","MH"
"6x6","6x6-uct-0100","100","32","17","0.354167","1","1","O31","objective","S31","ML"
"6x6","6x6-uct-0100","100","32","17","0.354167","2","1","O21","objective","S32","ML"
"6x6","6x6-uct-0100","100","32","17","0.354167","3","1","S21","supply","","LL"
"6x6","6x6-uct-0100","100","32","18","0.375000","1","2","S11","supply","","LL"
"6x6","6x6-uct-0100","100","32","18","0.375000","2","2","S02","supply","","LL"
"6x6","6x6-uct-0100","100","32","18","0.375000","3","2","S56","supply","","HH"
"6x6","6x6-uct-0100","100","32","19","0.395833","1","1","S01","supply","","LL"
"6x6","6x6-uct-0100","100","32","19","0.395833","2","1","S34","supply","","MM"
"6x6","6x6-uct-0100","100","32","19","0.395833","3","1","S02","supply","","LL"
"6x6","6x6-uct-0100","100","32","20","0.416667","1","2","O41","objective","S51","HL"
"6x6","6x6-uct-0100","100","32","20","0.416667","2","2","S24","supply","","LM"
"6x6","6x6-uct-0100","100","32","20","0.416667","3","2","S46","supply","","MH"
"6x6","6x6-uct-0100","100","32","21","0.437500","1","1","S00","supply","","LL"
"6x6","6x6-uct-0100","100","32","21","0.437500","2","1","S03","supply","","LM"
"6x6","6x6-uct-0100","100","32","21","0.437500","3","1","O33","objective","S44","MM"
"6x6","6x6-uct-0100","100","32","22","0.458333","1","2","O05","objective","S06","LH"
"6x6","6x6-uct-0100","100","32","22","0.458333","2","2","S52","supply","","HL"
"6x6","6x6-uct-0100","100","32","22","0.458333","3","2","O13","objective","S23","LM"
"6x6","6x6-uct-0100","100","32","23","0.479167","1","1","O42","objective","S42","HM"
"6x6","6x6-uct-0100","100","32","23","0.479167","2","1","S25","supply","","LH"
"6x6","6x6-uct-0100","100","32","23","0.479167","3","1","O20","objective","S31","ML"
"6x6","6x6-uct-0100","100","32","24","0.500000","1","2","S44","supply","","MM"
"6x6","6x6-uct-0100","100","32","24","0.500000","2","2","O41","objective","S52","HL"
"6x6","6x6-uct-0100","100","32","24","0.500000","3","2","O14","objective","S24","LH"
"6x6","6x6-uct-0100","100","32","25","0.520833","1","1","S36","supply","","MH"
"6x6","6x6-uct-0100","100","32","25","0.520833","2","1","O10","objective","S21","LL"
"6x6","6x6-uct-0100","100","32","25","0.520833","3","1","S55","supply","","HH"
"6x6","6x6-uct-0100","100","32","26","0.541667","1","2","S31","supply","","ML"
"6x6","6x6-uct-0100","100","32","26","0.541667","2","2","S66","supply","","HH"
"6x6","6x6-uct-0100","100","32","26","0.541667","3","2","S21","supply","","LL"
"6x6","6x6-uct-0100","100","32","27","0.562500","1","1","S54","supply","","HM"
"6x6","6x6-uct-0100","100","32","27","0.562500","2","1","S13","supply","","LM"
"6x6","6x6-uct-0100","100","32","27","0.562500","3","1","O52","objective","S53","HM"
"6x6","6x6-uct-0100","100","32","28","0.583333","1","2","S01","supply","","LL"
"6x6","6x6-uct-0100","100","32","28","0.583333","2","2","O40","objective","S51","HL"
"6x6","6x6-uct-0100","100","32","28","0.583333","3","2","O05","objective","S06","LH"
"6x6","6x6-uct-0100","100","32","29","0.604167","1","1","O32","objective","S43","MM"
"6x6","6x6-uct-0100","100","32","29","0.604167","2","1","S62","supply","","HL"
"6x6","6x6-uct-0100","100","32","29","0.604167","3","1","O11","objective","S22","LL"
"6x6","6x6-uct-0100","100","32","30","0.625000","1","2","S32","supply","","ML"
"6x6","6x6-uct-0100","100","32","30","0.625000","2","2","O41","objective","S52","HL"
"6x6","6x6-uct-0100","100","32","30","0.625000","3","2","S23","supply","","LM"
"6x6","6x6-uct-0100","100","32","31","0.645833","1","1","O44","objective","S55","HH"
"6x6","6x6-uct-0100","100","32","31","0.645833","2","1","S26","supply","","LH"
"6x6","6x6-uct-0100","100","32","31","0.645833","3","1","O52","objective","S62","HM"
"6x6","6x6-uct-0100","100","32","32","0.666667","1","2","O40","objective","S51","HL"
"6x6","6x6-uct-0100","100","32","32","0.666667","2","2","O12","objective","S23","LM"
"6x6","6x6-uct-0100","100","32","32","0.666667","3","2","O35","objective","S46","MH"
"6x6","6x6-uct-0100","100","32","33","0.687500","1","1","O32","objective","S42","MM"
"6x6","6x6-uct-0100","100","32","33","0.687500","2","1","S22","supply","","LL"
"6x6","6x6-uct-0100","100","32","33","0.687500","3","1","S16","supply","","LH"
"6x6","6x6-uct-0100","100","32","34","0.708333","1","2","S45","supply","","MH"
"6x6","6x6-uct-0100","100","32","34","0.708333","2","2","S55","supply","","HH"
"6x6","6x6-uct-0100","100","32","34","0.708333","3","2","S64","supply","","HM"
"6x6","6x6-uct-0100","100","32","35","0.729167","1","1","S43","supply","","MM"
"6x6","6x6-uct-0100","100","32","35","0.729167","2","1","S03","supply","","LM"
"6x6","6x6-uct-0100","100","32","35","0.729167","3","1","O33","objective","S43","MM"
"6x6","6x6-uct-0100","100","32","36","0.750000","1","2","O13","objective","S24","LM"
"6x6","6x6-uct-0100","100","32","36","0.750000","2","2","S36","supply","","MH"
"6x6","6x6-uct-0100","100","32","36","0.750000","3","2","O03","objective","S14","LM"
"6x6","6x6-uct-0100","100","32","37","0.770833","1","1","S16","supply","","LH"
"6x6","6x6-uct-0100","100","32","37","0.770833","2","1","O15","objective","S16","LH"
"6x6","6x6-uct-0100","100","32","37","0.770833","3","1","S63","supply","","HM"
"6x6","6x6-uct-0100","100","32","38","0.791667","1","2","S00","supply","","LL"
"6x6","6x6-uct-0100","100","32","38","0.791667","2","2","O55","objective","S56","HH"
"6x6","6x6-uct-0100","100","32","38","0.791667","3","2","O00","objective","S01","LL"
"6x6","6x6-uct-0100","100","32","39","0.812500","1","1","O52","objective","S63","HM"
"6x6","6x6-uct-0100","100","32","39","0.812500","2","1","O33","objective","S43","MM"
"6x6","6x6-uct-0100","100","32","39","0.812500","3","1","S43","supply","","MM"
