iteration_limit,game_index,checkpoint,turn_number,checkpoint_leader,winner,eligible,late_reversal
30000,72,0.75,14,1,2,True,True
30000,72,0.9,17,1,2,True,True
30000,73,0.75,14,2,2,True,False
30000,73,0.9,17,2,2,True,False
30000,74,0.75,14,1,1,True,False
30000,74,0.9,17,1,1,True,False
30000,75,0.75,14,1,1,True,False
30000,75,0.9,17,1,1,True,False
30000,76,0.75,14,1,1,True,False
30000,76,0.9,17,1,1,True,False
30000,77,0.75,14,1,1,True,False
30000,77,0.9,17,1,1,True,False
30000,78,0.75,14,0,1,False,False
30000,78,0.9,17,1,1,True,False
30000,79,0.75,14,2,2,True,False
30000,79,0.9,17,2,2,True,False
30000,80,0.75,14,1,1,True,False
30000,80,0.9,17,1,1,True,False
30000,81,0.75,14,1,1,True,False
30000,81,0.9,17,1,1,True,False
30000,82,0.75,14,1,1,True,False
30000,82,0.9,17,1,1,True,False
30000,83,0.75,14,1,1,True,False
30000,83,0.9,17,1,1,True,False
30000,84,0.75,14,1,1,True,False
30000,84,0.9,17,1,1,True,False
30000,85,0.75,14,0,1,False,False
30000,85,0.9,17,1,1,True,False
30000,86,0.75,14,2,2,True,False
30000,86,0.9,17,1,2,True,True
30000,87,0.75,14,1,0,False,False
30000,87,0.9,17,1,0,False,False
30000,88,0.75,14,1,0,False,False
30000,88,0.9,17,1,0,False,False
30000,89,0.75,14,1,1,True,False
30000,89,0.9,17,1,1,True,False
30000,90,0.75,14,2,2,True,False
30000,90,0.9,17,1,2,True,True
30000,91,0.75,14,1,1,True,False
30000,91,0.9,17,1,1,True,False
30000,92,0.75,14,1,1,True,False
30000,92,0.9,17,1,1,True,False
30000,93,0.75,14,1,1,True,False
30000,93,0.9,17,1,1,True,False
30000,94,0.75,14,1,1,True,False
30000,94,0.9,17,1,1,True,False
30000,95,0.75,14,2,0,False,False
30000,95,0.9,17,1,0,False,False
30000,96,0.75,14,0,0,False,False
30000,96,0.9,17,1,0,False,False
30000,97,0.75,14,1,0,False,False
30000,97,0.9,17,1,0,False,False
30000,98,0.75,14,2,2,True,False
30000,98,0.9,17,1,2,True,True
30000,99,0.75,14,1,2,True,True
30000,99,0.9,17,1,2,True,True
30000,100,0.75,14,2,2,True,False
30000,100,0.9,17,1,2,True,True
100000,1,0.75,14,0,2,False,False
100000,1,0.9,17,1,2,True,True
100000,2,0.75,14,1,0,False,False
100000,2,0.9,17,1,0,False,False
100000,3,0.75,14,1,2,True,True
100000,3,0.9,17,1,2,True,True
100000,4,0.75,14,0,2,False,False
100000,4,0.9,17,1,2,True,True
100000,5,0.75,14,1,1,True,False
100000,5,0.9,17,1,1,True,False
100000,6,0.75,14,2,2,True,False
100000,6,0.9,17,0,2,False,False
100000,7,0.75,14,0,2,False,False
100000,7,0.9,17,1,2,True,True
100000,8,0.75,14,1,0,False,False
100000,8,0.9,17,1,0,False,False
100000,9,0.75,14,1,1,True,False
100000,9,0.9,17,1,1,True,False
100000,10,0.75,14,1,1,True,False
100000,10,0.9,17,1,1,True,False
100000,11,0.75,14,2,0,False,False
100000,11,0.9,17,1,0,False,False
100000,12,0.75,14,1,2,True,True
100000,12,0.9,17,1,2,True,True
100000,13,0.75,14,2,2,True,False
100000,13,0.9,17,0,2,False,False
100000,14,0.75,14,0,1,False,False
100000,14,0.9,17,1,1,True,False
100000,15,0.75,14,2,2,True,False
100000,15,0.9,17,2,2,True,False
100000,16,0.75,14,2,2,True,False
100000,16,0.9,17,1,2,True,True
100000,17,0.75,14,0,2,False,False
100000,17,0.9,17,1,2,True,True
100000,18,0.75,14,0,1,False,False
100000,18,0.9,17,1,1,True,False
100000,19,0.75,14,1,2,True,True
100000,19,0.9,17,2,2,True,False
100000,20,0.75,14,0,2,False,False
100000,20,0.9,17,1,2,True,True
100000,21,0.75,14,0,1,False,False
100000,21,0.9,17,1,1,True,False
100000,22,0.75,14,0,2,False,False
100000,22,0.9,17,1,2,True,True
100000,23,0.75,14,1,2,True,True
100000,23,0.9,17,0,2,False,False
100000,24,0.75,14,1,2,True,True
100000,24,0.9,17,1,2,True,True
100000,25,0.75,14,2,2,True,False
100000,25,0.9,17,2,2,True,False
100000,26,0.75,14,1,0,False,False
100000,26,0.9,17,1,0,False,False
100000,27,0.75,14,1,2,True,True
100000,27,0.9,17,1,2,True,True
100000,28,0.75,14,1,2,True,True
100000,28,0.9,17,1,2,True,True
100000,29,0.75,14,0,1,False,False
100000,29,0.9,17,1,1,True,False
100000,30,0.75,14,1,1,True,False
100000,30,0.9,17,1,1,True,False
100000,31,0.75,14,1,2,True,True
100000,31,0.9,17,1,2,True,True
100000,32,0.75,14,1,2,True,True
100000,32,0.9,17,1,2,True,True
100000,33,0.75,14,0,2,False,False
100000,33,0.9,17,1,2,True,True
100000,34,0.75,14,1,1,True,False
100000,34,0.9,17,1,1,True,False
100000,35,0.75,14,0,0,False,False
100000,35,0.9,17,1,0,False,False
100000,36,0.75,14,1,1,True,False
100000,36,0.9,17,1,1,True,False
100000,37,0.75,14,1,1,True,False
100000,37,0.9,17,1,1,True,False
100000,38,0.75,14,0,1,False,False
100000,38,0.9,17,1,1,True,False
100000,39,0.75,14,0,2,False,False
100000,39,0.9,17,1,2,True,True
100000,40,0.75,14,1,1,True,False
100000,40,0.9,17,1,1,True,False
100000,41,0.75,14,1,1,True,False
100000,41,0.9,17,1,1,True,False
100000,42,0.75,14,2,0,False,False
100000,42,0.9,17,1,0,False,False
100000,43,0.75,14,1,1,True,False
100000,43,0.9,17,1,1,True,False
100000,44,0.75,14,1,2,True,True
100000,44,0.9,17,1,2,True,True
100000,45,0.75,14,0,2,False,False
100000,45,0.9,17,1,2,True,True
100000,46,0.75,14,0,2,False,False
100000,46,0.9,17,1,2,True,True
100000,47,0.75,14,1,1,True,False
100000,47,0.9,17,1,1,True,False
100000,48,0.75,14,0,2,False,False
100000,48,0.9,17,2,2,True,False
100000,49,0.75,14,1,2,True,True
100000,49,0.9,17,1,2,True,True
100000,50,0.75,14,0,2,False,False
100000,50,0.9,17,1,2,True,True
100000,51,0.75,14,2,2,True,False
100000,51,0.9,17,2,2,True,False
100000,52,0.75,14,1,1,True,False
100000,52,0.9,17,1,1,True,False
