sample,iteration_limit,game_index,early_central_placement_any,early_central_placement_count,first_central_commitment_turn,first_central_commitment_p1_turn,central_occupation_after_p1_turn_1,central_occupation_after_p1_turn_2,central_occupation_after_p1_turn_3,early_central_occupation_turn_count,early_central_contest_any,early_central_contest_turn_count
issue-82-original,100000,14,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,15,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,16,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,17,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,18,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,19,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,20,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,21,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,22,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,23,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,24,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,25,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,26,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,27,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,28,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,29,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,30,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,31,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,32,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,33,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,34,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,35,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,36,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,37,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,38,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,39,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,40,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,41,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,42,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,43,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,44,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,45,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,46,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,47,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,48,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,49,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,50,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,51,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,52,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,53,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,54,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,55,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,56,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,57,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,58,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,59,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,60,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,61,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,62,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,63,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,64,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,65,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,66,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,67,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,68,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,69,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,70,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,71,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,72,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,73,True,8,1,1,True,True,True,3,True,5
