source_key,source_issue,dataset_id,minimum_gate,board,iteration_limit,game_index,experiment_id,seed,trial_path,trial_sha256,recorded_winner,status,unresolved_reason,objective_sites,p1_secured_objectives,p2_secured_objectives,p1_advantage_objectives,p2_advantage_objectives,previous_p1_objective_pieces,previous_p2_objective_pieces,corrected_p1_objective_pieces,corrected_p2_objective_pieces,previous_objective_piece_margin,corrected_objective_piece_margin,old_reconstructed_winner,old_deciding_layer,corrected_winner,corrected_deciding_layer,reaches_advantage_comparison,reaches_objective_piece_tiebreak,p1_excluded_own_secured,p2_excluded_own_secured,p1_excluded_opponent_secured,p2_excluded_opponent_secured,p1_excluded_opponent_advantage,p2_excluded_opponent_advantage,p1_excluded_neutral,p2_excluded_neutral,source_previous_p1_pieces_match,source_previous_p2_pieces_match,source_p1_secured_match,source_p2_secured_match,source_p1_advantage_match,source_p2_advantage_match,old_winner_reproduced,winner_changed,margin_changed,margin_sign_changed,winner_transition
issue-82-v1-production-uct-010000-g0021,82,issue-82:3x3-uct-10000,True,3x3,10000,21,3x3-uct-10000,831000020,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0021/3x3-uct-10000-0021.trl,a40cc255e15e63270c2e1a619f86d61ee6cfc36ffce77d00a16685547f661d91,2,resolved,,9,3,4,1,0,12,12,1,0,0,1,2,secured_objectives,2,secured_objectives,False,False,9,12,2,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P2->P2
issue-82-v1-production-uct-010000-g0022,82,issue-82:3x3-uct-10000,True,3x3,10000,22,3x3-uct-10000,831000021,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0022/3x3-uct-10000-0022.trl,fa137db4c328c8b30fe0b327d28de33b1b89c750403461d171e18dcc74f67619,2,resolved,,9,3,4,2,0,12,14,2,0,-2,2,2,secured_objectives,2,secured_objectives,False,False,9,12,1,2,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P2->P2
issue-82-v1-production-uct-010000-g0023,82,issue-82:3x3-uct-10000,True,3x3,10000,23,3x3-uct-10000,831000022,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0023/3x3-uct-10000-0023.trl,8dfdddf1466c51b14f57346f566e1d9159e76aa3c0578cf8f75b5a48e8954365,1,resolved,,9,4,2,0,2,12,9,0,3,3,-3,1,secured_objectives,1,secured_objectives,False,False,12,6,0,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0024,82,issue-82:3x3-uct-10000,True,3x3,10000,24,3x3-uct-10000,831000023,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0024/3x3-uct-10000-0024.trl,dfddcf4a30e81f882731ef4fa1bb82a83023120702a1120ecdc6d72f458cd2e3,2,resolved,,9,3,3,0,2,11,12,0,3,-1,-3,2,advantage_objectives,2,advantage_objectives,True,False,9,9,2,0,0,0,0,0,True,True,True,True,True,True,True,False,True,False,P2->P2
issue-82-v1-production-uct-010000-g0025,82,issue-82:3x3-uct-10000,True,3x3,10000,25,3x3-uct-10000,831000024,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0025/3x3-uct-10000-0025.trl,53022439a2e21e4d7e1a9daec9e9db08a7d1a87611a59c5f318eccd5d26aa100,1,resolved,,9,4,3,1,0,13,10,1,0,3,1,1,secured_objectives,1,secured_objectives,False,False,12,9,0,1,0,0,0,0,True,True,True,True,True,True,True,False,True,False,P1->P1
issue-82-v1-production-uct-010000-g0026,82,issue-82:3x3-uct-10000,True,3x3,10000,26,3x3-uct-10000,831000025,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0026/3x3-uct-10000-0026.trl,ea41c7bb6ebd1d997211aeab2d949799234e861c9cc1b351366c052e7b272472,2,resolved,,9,4,4,0,1,13,14,0,2,-1,-2,2,advantage_objectives,2,advantage_objectives,True,False,12,12,1,0,0,0,0,0,True,True,True,True,True,True,True,False,True,False,P2->P2
issue-82-v1-production-uct-010000-g0027,82,issue-82:3x3-uct-10000,True,3x3,10000,27,3x3-uct-10000,831000026,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0027/3x3-uct-10000-0027.trl,a37782c0f672afe43a5675f5c6b5f7003a47ff8fe3efb1a831740081cb6bafd8,1,resolved,,9,4,4,1,0,14,13,2,0,1,2,1,advantage_objectives,1,advantage_objectives,True,False,12,12,0,1,0,0,0,0,True,True,True,True,True,True,True,False,True,False,P1->P1
issue-82-v1-production-uct-010000-g0028,82,issue-82:3x3-uct-10000,True,3x3,10000,28,3x3-uct-10000,831000027,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0028/3x3-uct-10000-0028.trl,c867dc36b549d106b0abe4868086698749ed198a595e45f00c6af5b7162e38e8,1,resolved,,9,3,3,2,0,12,9,3,0,3,3,1,advantage_objectives,1,advantage_objectives,True,False,9,9,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,P1->P1
issue-82-v1-production-uct-010000-g0029,82,issue-82:3x3-uct-10000,True,3x3,10000,29,3x3-uct-10000,831000028,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0029/3x3-uct-10000-0029.trl,fb451fe5746a965631b8bee5c20c13a548367ab5464461e6ebf4d64b6e5976f3,2,resolved,,9,4,4,0,1,13,13,0,1,0,-1,2,advantage_objectives,2,advantage_objectives,True,False,12,12,1,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P2->P2
issue-82-v1-production-uct-010000-g0030,82,issue-82:3x3-uct-10000,True,3x3,10000,30,3x3-uct-10000,831000029,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0030/3x3-uct-10000-0030.trl,9380f7055bfb5b5273285a3fd38c41c4262e4d341dfda530c63327f76d40d7dc,1,resolved,,9,3,3,2,0,12,10,2,0,2,2,1,advantage_objectives,1,advantage_objectives,True,False,9,9,0,0,0,0,1,1,True,True,True,True,True,True,True,False,False,False,P1->P1
issue-82-v1-production-uct-010000-g0031,82,issue-82:3x3-uct-10000,True,3x3,10000,31,3x3-uct-10000,831000030,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0031/3x3-uct-10000-0031.trl,dfc0d64138fbd338d0156a412c1ae645a2f4f7835ea194a59f615ce7f58c1186,1,resolved,,9,4,3,0,1,12,10,0,1,2,-1,1,secured_objectives,1,secured_objectives,False,False,12,9,0,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0032,82,issue-82:3x3-uct-10000,True,3x3,10000,32,3x3-uct-10000,831000031,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0032/3x3-uct-10000-0032.trl,6562f0e310d0a7498f3996662d43ab12f1184527268fdccab3c2f980fe34beb3,2,resolved,,9,4,4,0,1,12,13,0,1,-1,-1,2,advantage_objectives,2,advantage_objectives,True,False,12,12,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,P2->P2
issue-82-v1-production-uct-010000-g0033,82,issue-82:3x3-uct-10000,True,3x3,10000,33,3x3-uct-10000,831000032,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0033/3x3-uct-10000-0033.trl,61ae2dff8dce484ab0a266bb29127104ec2f0dd1c1b8cb8e8a87a6f0537f5883,1,resolved,,9,4,4,1,0,13,12,1,0,1,1,1,advantage_objectives,1,advantage_objectives,True,False,12,12,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,P1->P1
issue-82-v1-production-uct-010000-g0034,82,issue-82:3x3-uct-10000,True,3x3,10000,34,3x3-uct-10000,831000033,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0034/3x3-uct-10000-0034.trl,b333f623f42a07432301f0ed88cdc73bf204c75291d901983f46db8aff2dfad4,2,resolved,,9,2,3,1,1,10,10,2,1,0,1,2,secured_objectives,2,secured_objectives,False,False,6,9,2,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P2->P2
issue-82-v1-production-uct-010000-g0035,82,issue-82:3x3-uct-10000,True,3x3,10000,35,3x3-uct-10000,831000034,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0035/3x3-uct-10000-0035.trl,275a1b8314299ad133cf41f9aa46c8441a842bc755b68cc4d925df125058af3a,1,resolved,,9,3,3,2,0,11,11,2,0,0,2,1,advantage_objectives,1,advantage_objectives,True,False,9,9,0,2,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0036,82,issue-82:3x3-uct-10000,True,3x3,10000,36,3x3-uct-10000,831000035,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0036/3x3-uct-10000-0036.trl,8577dc156f618f2b682eed5414e961360b2179874d4c842f6de26570b40d30d3,1,resolved,,9,4,3,1,0,13,12,1,0,1,1,1,secured_objectives,1,secured_objectives,False,False,12,9,0,3,0,0,0,0,True,True,True,True,True,True,True,False,False,False,P1->P1
issue-82-v1-production-uct-010000-g0037,82,issue-82:3x3-uct-10000,True,3x3,10000,37,3x3-uct-10000,831000036,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0037/3x3-uct-10000-0037.trl,585adae479dc856c36e7c2650ca4f23fa4e06a61da04c1f72036f826eb733392,1,resolved,,9,3,3,1,0,12,10,1,0,2,1,1,advantage_objectives,1,advantage_objectives,True,False,9,9,1,0,0,0,1,1,True,True,True,True,True,True,True,False,True,False,P1->P1
issue-82-v1-production-uct-010000-g0038,82,issue-82:3x3-uct-10000,True,3x3,10000,38,3x3-uct-10000,831000037,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0038/3x3-uct-10000-0038.trl,6de26fb5ca5b1271d8fa33012c86b504c597472e704b0fa3ae65386dc292effe,2,resolved,,9,3,3,0,2,11,13,0,4,-2,-4,2,advantage_objectives,2,advantage_objectives,True,False,9,9,2,0,0,0,0,0,True,True,True,True,True,True,True,False,True,False,P2->P2
issue-82-v1-production-uct-010000-g0039,82,issue-82:3x3-uct-10000,True,3x3,10000,39,3x3-uct-10000,831000038,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0039/3x3-uct-10000-0039.trl,e47c2583123798c341b0ff089798ee2dac5e2ce0b1aaaceb4d335f27dc644c9f,1,resolved,,9,4,3,1,1,14,12,2,1,2,1,1,secured_objectives,1,secured_objectives,False,False,12,9,0,2,0,0,0,0,True,True,True,True,True,True,True,False,True,False,P1->P1
issue-82-v1-production-uct-010000-g0040,82,issue-82:3x3-uct-10000,True,3x3,10000,40,3x3-uct-10000,831000039,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0040/3x3-uct-10000-0040.trl,3786e83354b5f1ce9557f86be3345888d495eb6f7232d02d396e3560ea8a5150,1,resolved,,9,4,3,1,1,13,10,1,1,3,0,1,secured_objectives,1,secured_objectives,False,False,12,9,0,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0041,82,issue-82:3x3-uct-10000,True,3x3,10000,41,3x3-uct-10000,831000040,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0041/3x3-uct-10000-0041.trl,c4b542df8df4d4f2668b5ce43f4269bc154c57825a02d55e7ab2eb050d20188f,1,resolved,,9,2,2,2,1,11,11,3,1,0,2,1,advantage_objectives,1,advantage_objectives,True,False,6,6,0,2,0,0,2,2,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0042,82,issue-82:3x3-uct-10000,True,3x3,10000,42,3x3-uct-10000,831000041,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0042/3x3-uct-10000-0042.trl,edc09c3d785f9f580cc002379777c9f1cc04ad323749f60feb638d9c3a4c1fd6,1,resolved,,9,4,3,1,1,13,11,1,2,2,-1,1,secured_objectives,1,secured_objectives,False,False,12,9,0,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0043,82,issue-82:3x3-uct-10000,True,3x3,10000,43,3x3-uct-10000,831000042,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0043/3x3-uct-10000-0043.trl,2ea2d4f975e667b739620d2525314181f2035d4afc0b162a44c68073c8e90950,2,resolved,,9,3,3,1,2,12,13,2,4,-1,-2,2,advantage_objectives,2,advantage_objectives,True,False,9,9,0,0,1,0,0,0,True,True,True,True,True,True,True,False,True,False,P2->P2
