iteration_limit,game_index,seed,winner,deciding_criterion,secured_objective_difference_p1_minus_p2,advantage_objective_difference_p1_minus_p2,objective_piece_difference_p1_minus_p2,first_persistent_full_lexicographic_lead_turn
100000,52,921000051,1,Secured,2,-1,3,7
100000,53,921000052,1,Secured,1,-1,0,17
100000,54,921000053,1,Secured,1,0,2,17
100000,55,921000054,2,Secured,-2,1,1,8
100000,56,921000055,2,Secured,-1,2,-1,18
100000,57,921000056,2,Advantage,0,-1,-1,18
100000,58,921000057,0,Draw,0,0,0,
100000,59,921000058,2,Secured,-1,2,0,18
100000,60,921000059,1,Secured,1,0,3,13
100000,61,921000060,2,Secured,-1,2,0,18
100000,62,921000061,1,Advantage,0,2,0,15
100000,63,921000062,1,Secured,1,0,3,15
100000,64,921000063,1,Secured,1,0,3,13
100000,65,921000064,1,Secured,1,-1,2,15
100000,66,921000065,1,Secured,1,0,3,11
100000,67,921000066,1,Advantage,0,1,0,15
100000,68,921000067,1,Secured,1,0,1,9
100000,69,921000068,0,Draw,0,0,0,
100000,70,921000069,2,Pieces,0,0,-1,18
100000,71,921000070,1,Secured,1,-1,2,17
100000,72,921000071,2,Advantage,0,-1,-1,18
100000,73,921000072,2,Advantage,0,-1,-1,18
100000,74,921000073,0,Draw,0,0,0,
100000,75,921000074,2,Secured,-1,2,0,18
100000,76,921000075,2,Secured,-1,1,-1,18
100000,77,921000076,2,Secured,-1,2,0,18
100000,78,921000077,2,Advantage,0,-1,-2,18
100000,79,921000078,1,Advantage,0,3,2,5
100000,80,921000079,1,Secured,1,0,3,9
100000,81,921000080,2,Advantage,0,-1,-1,18
100000,82,921000081,2,Secured,-1,2,0,18
100000,83,921000082,1,Secured,1,0,2,15
100000,84,921000083,1,Secured,1,-1,2,17
100000,85,921000084,1,Advantage,0,1,1,17
100000,86,921000085,2,Advantage,0,-1,-1,18
100000,87,921000086,2,Secured,-1,2,0,18
100000,88,921000087,2,Secured,-1,1,-1,16
100000,89,921000088,1,Advantage,0,1,2,15
100000,90,921000089,2,Advantage,0,-2,-1,14
100000,91,921000090,1,Pieces,0,0,1,17
100000,92,921000091,2,Advantage,0,-1,-1,18
100000,93,921000092,2,Advantage,0,-1,-1,18
100000,94,921000093,0,Draw,0,0,0,
100000,95,921000094,2,Advantage,0,-1,-1,18
100000,96,921000095,1,Advantage,0,1,1,13
100000,97,921000096,0,Draw,0,0,0,
100000,98,921000097,1,Secured,1,-1,1,3
100000,99,921000098,2,Pieces,0,0,-1,18
100000,100,921000099,2,Advantage,0,-1,0,18
