checkpoint_turn,feature,uct_30000_standardized_mean_difference,uct_100000_standardized_mean_difference,direction_agreement,uct_30000_direction,uct_100000_direction
12,S21_leader_relative_state,-0.365149,-0.008093,1,lower_in_reversal,lower_in_reversal
12,S22_leader_relative_state,0.044619,-0.216969,0,higher_in_reversal,lower_in_reversal
12,S23_leader_relative_state,0.291411,0.117096,1,higher_in_reversal,higher_in_reversal
12,contested_supply_count,-0.281784,-0.110277,1,lower_in_reversal,lower_in_reversal
12,decisive_layer_advantage_objectives,0.591586,0.120709,1,higher_in_reversal,higher_in_reversal
12,decisive_layer_objective_pieces,-0.072029,-0.332041,1,lower_in_reversal,lower_in_reversal
12,decisive_layer_secured_objectives,-0.544262,0.014123,0,lower_in_reversal,higher_in_reversal
12,decisive_margin,-0.072029,-0.618853,1,lower_in_reversal,lower_in_reversal
12,leader_advantage_objective_margin,0.367622,0.143797,1,higher_in_reversal,higher_in_reversal
12,leader_advantage_objectives,0.33224,0.039259,1,higher_in_reversal,higher_in_reversal
12,leader_cumulative_objective_placements,0.632053,0.211663,1,higher_in_reversal,higher_in_reversal
12,leader_cumulative_objective_share,0.632053,0.211663,1,higher_in_reversal,higher_in_reversal
12,leader_cumulative_objective_share_margin,0.015925,-0.139389,0,higher_in_reversal,lower_in_reversal
12,leader_cumulative_supply_placements,-0.632053,-0.211663,1,lower_in_reversal,lower_in_reversal
12,leader_cumulative_supply_source_usage,0.632053,0.211663,1,higher_in_reversal,higher_in_reversal
12,leader_cumulative_supply_source_usage_margin,0.015925,-0.139389,0,higher_in_reversal,lower_in_reversal
12,leader_objective_piece_margin,0.015925,-0.139389,0,higher_in_reversal,lower_in_reversal
12,leader_objective_pieces,0.632053,0.211663,1,higher_in_reversal,higher_in_reversal
12,leader_primary_important_control_margin,-0.313335,-0.120105,1,lower_in_reversal,lower_in_reversal
12,leader_primary_important_sites_controlled,-0.304402,-0.178542,1,lower_in_reversal,lower_in_reversal
12,leader_recent_2_all_objective_turn_margin,-0.104844,0.163242,0,lower_in_reversal,higher_in_reversal
12,leader_recent_2_all_supply_turn_margin,-0.434109,-0.332041,1,lower_in_reversal,lower_in_reversal
12,leader_recent_2_important_site_usage,-0.09466,-0.222098,1,lower_in_reversal,lower_in_reversal
12,leader_recent_2_important_site_usage_margin,-0.334665,-0.130504,1,lower_in_reversal,lower_in_reversal
12,leader_recent_2_mixed_turn_margin,0.275332,-0.001562,0,higher_in_reversal,lower_in_reversal
12,leader_recent_2_objective_placements,0.479631,-0.027937,0,higher_in_reversal,lower_in_reversal
12,leader_recent_2_objective_share_margin,0.239876,0.136291,1,higher_in_reversal,higher_in_reversal
12,leader_recent_2_supply_placements,-0.479631,0.027937,0,lower_in_reversal,higher_in_reversal
12,leader_recent_2_supply_source_usage_margin,0.239876,0.136291,1,higher_in_reversal,higher_in_reversal
12,leader_recent_4_all_objective_turn_margin,0.01836,-0.262651,0,higher_in_reversal,lower_in_reversal
12,leader_recent_4_all_supply_turn_margin,-0.458153,-0.443235,1,lower_in_reversal,lower_in_reversal
12,leader_recent_4_important_site_usage,-0.010223,-0.366507,1,lower_in_reversal,lower_in_reversal
12,leader_recent_4_important_site_usage_margin,-0.291573,-0.358624,1,lower_in_reversal,lower_in_reversal
12,leader_recent_4_mixed_turn_margin,0.23376,0.492123,1,higher_in_reversal,higher_in_reversal
12,leader_recent_4_objective_allocation_change_margin,0.009682,0.325105,1,higher_in_reversal,higher_in_reversal
12,leader_recent_4_objective_placement_margin,0.426968,-0.256081,0,higher_in_reversal,lower_in_reversal
12,leader_recent_4_objective_placements,0.571811,-0.20792,0,higher_in_reversal,lower_in_reversal
12,leader_recent_4_objective_share_margin,0.426968,-0.256081,0,higher_in_reversal,lower_in_reversal
12,leader_recent_4_supply_allocation_change,-0.055421,-0.230845,1,lower_in_reversal,lower_in_reversal
12,leader_recent_4_supply_allocation_change_margin,-0.009682,-0.325105,1,lower_in_reversal,lower_in_reversal
12,leader_recent_4_supply_placements,-0.571811,0.20792,0,lower_in_reversal,higher_in_reversal
12,leader_recent_4_supply_source_usage_margin,0.426968,-0.256081,0,higher_in_reversal,lower_in_reversal
12,leader_secured_objective_margin,-0.503317,-0.285713,1,lower_in_reversal,lower_in_reversal
12,leader_secured_objectives,0.409163,0.278445,1,higher_in_reversal,higher_in_reversal
