experiment_id,checkpoint_turn,feature,reversal_n,lead_preserved_n,reversal_mean,reversal_median,lead_preserved_mean,lead_preserved_median,standardized_mean_difference,effect_direction,absolute_standardized_difference,absolute_effect_rank
uct-10000-self-play,8,opponent_recent_2_objective_placements,38,36,1.289474,1.0,1.194444,1.0,0.110289,higher_in_reversal,0.110289,73
uct-10000-self-play,8,opponent_recent_2_supply_placements,38,36,1.710526,2.0,1.805556,2.0,-0.110289,lower_in_reversal,0.110289,74
uct-10000-self-play,8,opponent_primary_important_sites_controlled,38,36,1.368421,1.0,1.472222,1.5,-0.10857,lower_in_reversal,0.10857,75
uct-10000-self-play,8,leader_recent_4_all_objective_turn_margin,38,36,0.0,0.0,-0.027778,0.0,0.105703,higher_in_reversal,0.105703,76
uct-10000-self-play,8,opponent_recent_2_important_site_usage,38,36,0.552632,0.5,0.611111,1.0,-0.093859,lower_in_reversal,0.093859,77
uct-10000-self-play,8,decisive_layer_advantage_objectives,38,36,0.210526,0.0,0.25,0.0,-0.092663,lower_in_reversal,0.092663,78
uct-10000-self-play,8,leader_trend_4_advantage_objective_margin,38,36,-0.763158,-1.0,-0.666667,-1.0,-0.084961,lower_in_reversal,0.084961,79
uct-10000-self-play,8,opponent_secured_objectives,38,36,0.236842,0.0,0.277778,0.0,-0.081666,lower_in_reversal,0.081666,80
uct-10000-self-play,8,opponent_trend_2_usable_support_edges,38,36,0.236842,0.0,0.472222,0.0,-0.078229,lower_in_reversal,0.078229,81
uct-10000-self-play,8,live_objectives,38,36,14.868421,15.0,14.916667,15.0,-0.052376,lower_in_reversal,0.052376,82
uct-10000-self-play,8,leader_trend_4_important_control_margin,38,36,-0.078947,0.0,-0.138889,0.0,0.048702,higher_in_reversal,0.048702,83
uct-10000-self-play,8,opponent_unsecured_controlled_supply,38,36,1.947368,2.0,1.972222,2.0,-0.022627,lower_in_reversal,0.022627,84
uct-10000-self-play,8,leader_advantage_objective_margin,38,36,-0.605263,-1.0,-0.583333,-1.0,-0.01844,lower_in_reversal,0.01844,85
uct-10000-self-play,8,opponent_recent_4_important_site_usage,38,36,1.210526,1.0,1.194444,1.0,0.014893,higher_in_reversal,0.014893,86
uct-10000-self-play,8,S23_leader_relative_state,38,36,0.078947,0.0,0.083333,0.0,-0.004401,lower_in_reversal,0.004401,87
uct-10000-self-play,8,opponent_recent_4_supply_allocation_change,38,36,-0.017544,-0.0,-0.018519,-0.0,0.002509,higher_in_reversal,0.002509,88
uct-10000-self-play,8,leader_trend_4_usable_support_edges,38,36,-1.131579,-1.0,-1.138889,-1.0,0.001822,higher_in_reversal,0.001822,89
uct-10000-self-play,12,leader_trend_2_usable_support_edges,37,35,-2.162162,-2.0,-0.6,-1.0,-0.639713,lower_in_reversal,0.639713,1
uct-10000-self-play,12,leader_secured_supply,37,35,0.891892,1.0,1.285714,1.0,-0.576111,lower_in_reversal,0.576111,2
uct-10000-self-play,12,opponent_secured_objectives,37,35,1.486486,1.0,1.085714,1.0,0.51748,higher_in_reversal,0.51748,3
uct-10000-self-play,12,live_objectives,37,35,12.378378,13.0,13.028571,13.0,-0.514772,lower_in_reversal,0.514772,4
uct-10000-self-play,12,opponent_usable_supply_support_edges,37,35,7.378378,7.0,8.485714,9.0,-0.502856,lower_in_reversal,0.502856,5
uct-10000-self-play,12,leader_trend_2_advantage_objective_margin,37,35,-0.594595,0.0,0.028571,0.0,-0.412327,lower_in_reversal,0.412327,6
uct-10000-self-play,12,leader_usable_supply_support_edges,37,35,5.243243,5.0,6.257143,6.0,-0.411241,lower_in_reversal,0.411241,7
uct-10000-self-play,12,leader_secured_objectives,37,35,2.135135,2.0,1.885714,2.0,0.395308,higher_in_reversal,0.395308,8
uct-10000-self-play,12,leader_recent_2_objective_placements,37,35,2.135135,2.0,1.857143,2.0,0.384398,higher_in_reversal,0.384398,9
uct-10000-self-play,12,leader_recent_2_supply_placements,37,35,0.864865,1.0,1.142857,1.0,-0.384398,lower_in_reversal,0.384398,10
uct-10000-self-play,12,leader_recent_2_important_site_usage,37,35,1.297297,1.0,0.971429,1.0,0.382898,higher_in_reversal,0.382898,11
uct-10000-self-play,12,leader_secured_supply_margin,37,35,-0.189189,0.0,0.2,0.0,-0.375303,lower_in_reversal,0.375303,12
uct-10000-self-play,12,opponent_recent_4_objective_placements,37,35,3.72973,4.0,3.285714,3.0,0.374422,higher_in_reversal,0.374422,13
uct-10000-self-play,12,opponent_recent_4_supply_placements,37,35,2.27027,2.0,2.714286,3.0,-0.374422,lower_in_reversal,0.374422,14
uct-10000-self-play,12,leader_unsecured_controlled_supply_margin,37,35,-0.162162,0.0,-0.6,-1.0,0.363735,higher_in_reversal,0.363735,15
uct-10000-self-play,12,leader_unsecured_controlled_supply,37,35,1.594595,2.0,1.257143,1.0,0.348573,higher_in_reversal,0.348573,16
