"board","experiment_id","game_index","player","supply_point","securing_turn","used_after_securing","objective_placements_after_securing","first_use_delay_turns"
"3x3","3x3-seeded-random","54","1","S30","9","false","0",""
"3x3","3x3-seeded-random","54","2","S13","12","true","2","2"
"3x3","3x3-seeded-random","54","2","S00","16","true","1","2"
"3x3","3x3-seeded-random","54","2","S01","18","false","0",""
"3x3","3x3-seeded-random","55","1","S03","7","true","1","8"
"3x3","3x3-seeded-random","55","1","S32","9","false","0",""
"3x3","3x3-seeded-random","55","2","S30","12","true","1","2"
"3x3","3x3-seeded-random","55","1","S33","13","false","0",""
"3x3","3x3-seeded-random","56","2","S23","4","true","2","4"
"3x3","3x3-seeded-random","56","1","S00","5","false","0",""
"3x3","3x3-seeded-random","56","2","S03","12","false","0",""
"3x3","3x3-seeded-random","56","1","S12","13","true","1","2"
"3x3","3x3-seeded-random","56","2","S11","14","false","0",""
"3x3","3x3-seeded-random","57","1","S30","15","false","0",""
"3x3","3x3-seeded-random","58","1","S03","9","true","1","8"
"3x3","3x3-seeded-random","58","2","S11","10","false","0",""
"3x3","3x3-seeded-random","58","1","S21","13","false","0",""
"3x3","3x3-seeded-random","58","2","S23","18","false","0",""
"3x3","3x3-seeded-random","58","2","S30","18","false","0",""
"3x3","3x3-seeded-random","59","1","S33","7","true","1","6"
"3x3","3x3-seeded-random","59","1","S30","13","false","0",""
"3x3","3x3-seeded-random","59","2","S02","14","true","2","2"
"3x3","3x3-seeded-random","59","1","S03","15","false","0",""
"3x3","3x3-seeded-random","59","2","S23","18","false","0",""
"3x3","3x3-seeded-random","60","1","S02","7","true","2","6"
"3x3","3x3-seeded-random","60","2","S13","8","true","1","6"
"3x3","3x3-seeded-random","60","2","S03","14","true","1","2"
"3x3","3x3-seeded-random","61","2","S03","6","true","2","4"
"3x3","3x3-seeded-random","61","1","S21","11","true","1","4"
"3x3","3x3-seeded-random","61","1","S11","13","false","0",""
"3x3","3x3-seeded-random","61","2","S30","18","false","0",""
"3x3","3x3-seeded-random","62","2","S33","6","true","1","8"
"3x3","3x3-seeded-random","62","2","S10","12","false","0",""
"3x3","3x3-seeded-random","62","1","S21","13","true","1","4"
"3x3","3x3-seeded-random","62","1","S12","17","false","0",""
"3x3","3x3-seeded-random","63","1","S21","7","false","0",""
"3x3","3x3-seeded-random","63","1","S00","9","false","0",""
"3x3","3x3-seeded-random","63","1","S03","13","false","0",""
"3x3","3x3-seeded-random","63","1","S10","17","false","0",""
"3x3","3x3-seeded-random","63","2","S01","18","false","0",""
"3x3","3x3-seeded-random","64","1","S10","5","true","1","10"
"3x3","3x3-seeded-random","64","1","S03","11","false","0",""
"3x3","3x3-seeded-random","64","2","S11","12","true","1","2"
"3x3","3x3-seeded-random","64","2","S32","14","true","1","4"
"3x3","3x3-seeded-random","64","1","S02","17","false","0",""
"3x3","3x3-seeded-random","65","1","S11","9","true","1","8"
"3x3","3x3-seeded-random","65","1","S00","11","false","0",""
"3x3","3x3-seeded-random","65","2","S01","16","true","1","2"
"3x3","3x3-seeded-random","66","2","S00","16","false","0",""
"3x3","3x3-seeded-random","66","1","S32","17","false","0",""
"3x3","3x3-seeded-random","67","2","S02","6","true","1","10"
"3x3","3x3-seeded-random","67","2","S30","16","false","0",""
"3x3","3x3-seeded-random","67","2","S03","18","false","0",""
"3x3","3x3-seeded-random","67","2","S21","18","false","0",""
"3x3","3x3-seeded-random","68","2","S22","8","true","2","6"
"3x3","3x3-seeded-random","68","1","S12","15","false","0",""
"3x3","3x3-seeded-random","69","2","S00","6","false","0",""
"3x3","3x3-seeded-random","69","2","S20","10","false","0",""
"3x3","3x3-seeded-random","69","1","S01","11","false","0",""
"3x3","3x3-seeded-random","69","1","S12","13","true","1","4"
"3x3","3x3-seeded-random","69","2","S11","16","false","0",""
"3x3","3x3-seeded-random","70","2","S00","12","false","0",""
"3x3","3x3-seeded-random","70","2","S11","14","true","1","4"
"3x3","3x3-seeded-random","70","1","S02","15","false","0",""
"3x3","3x3-seeded-random","70","2","S30","16","true","1","2"
"3x3","3x3-seeded-random","70","1","S20","17","false","0",""
"3x3","3x3-seeded-random","71","1","S12","11","true","2","2"
"3x3","3x3-seeded-random","71","1","S22","13","false","0",""
"3x3","3x3-seeded-random","71","2","S33","14","false","0",""
"3x3","3x3-seeded-random","71","2","S20","18","false","0",""
"3x3","3x3-seeded-random","72","2","S33","8","true","2","6"
"3x3","3x3-seeded-random","72","2","S21","14","true","1","2"
"3x3","3x3-seeded-random","72","1","S20","15","false","0",""
"3x3","3x3-seeded-random","72","1","S30","17","false","0",""
"3x3","3x3-seeded-random","73","1","S20","5","true","3","2"
"3x3","3x3-seeded-random","73","2","S00","12","false","0",""
"3x3","3x3-seeded-random","73","2","S10","14","true","2","2"
"3x3","3x3-seeded-random","73","1","S31","17","false","0",""
"3x3","3x3-seeded-random","74","2","S03","8","false","0",""
"3x3","3x3-seeded-random","74","1","S21","9","true","1","8"
"3x3","3x3-seeded-random","74","2","S23","10","true","2","4"
"3x3","3x3-seeded-random","74","2","S33","14","false","0",""
"3x3","3x3-seeded-random","74","2","S12","18","false","0",""
"3x3","3x3-seeded-random","75","2","S03","12","true","1","4"
"3x3","3x3-seeded-random","75","1","S13","13","false","0",""
"3x3","3x3-seeded-random","75","1","S01","17","false","0",""
"3x3","3x3-seeded-random","75","1","S32","17","false","0",""
"3x3","3x3-seeded-random","76","1","S23","9","false","0",""
"3x3","3x3-seeded-random","76","2","S10","14","false","0",""
"3x3","3x3-seeded-random","76","2","S11","16","true","1","2"
"3x3","3x3-seeded-random","76","1","S13","17","false","0",""
"3x3","3x3-seeded-random","77","1","S10","7","true","2","6"
"3x3","3x3-seeded-random","77","2","S33","10","true","2","4"
"3x3","3x3-seeded-random","77","2","S12","12","true","1","4"
"3x3","3x3-seeded-random","77","1","S13","15","false","0",""
"3x3","3x3-seeded-random","77","1","S32","17","false","0",""
"3x3","3x3-seeded-random","78","1","S02","3","true","1","4"
"3x3","3x3-seeded-random","78","1","S33","11","false","0",""
"3x3","3x3-seeded-random","79","1","S11","9","false","0",""
"3x3","3x3-seeded-random","79","1","S22","11","true","3","2"
"3x3","3x3-seeded-random","79","2","S03","12","false","0",""
"3x3","3x3-seeded-random","79","2","S21","18","false","0",""
"3x3","3x3-seeded-random","80","2","S03","10","true","1","2"
"3x3","3x3-seeded-random","80","2","S12","16","true","1","2"
"3x3","3x3-seeded-random","81","2","S00","6","false","0",""
"3x3","3x3-seeded-random","81","1","S10","9","false","0",""
