experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_with_placement,placement_player_game_frequency,pieces_placed,pieces_placed_per_player_game,mean_first_placement_turn,player_games_with_unsecured_control,unsecured_control_frequency,mean_first_unsecured_control_turn,player_games_with_controlled_or_secured,controlled_or_secured_frequency,mean_first_control_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turn_share,contested_turn_share,player_games_secured,secured_frequency,mean_first_securing_turn,legal_securable_opportunities,securing_opportunities_taken,securing_rate_per_repeated_opportunity,ever_securable_player_sites,ever_securable_eventually_secured,eventual_securing_rate_per_ever_securable_player_site,supply_usage_turns,objective_placements_supplied,objective_placements_supplied_per_player_game,player_games_with_supply_usage,supply_usage_player_game_frequency,mean_objective_sites_supplied,mean_objective_coverage,usage_after_first_control,usage_after_securing,mean_usage_after_securing_per_secured_player_site,final_unsecured_control_rate,final_secured_rate,final_controlled_or_secured_rate
uct-10000-self-play,10000,S42,edge,200,59,0.295,69,0.345,18.79661,39,0.195,17.948718,40,0.2,18.1,192,8,200,0.04,0.001667,0.041667,0.916667,0.037917,2,0.01,21,133,2,0.015038,42,2,0.047619,33,33,0.165,13,0.065,0.115,0.0575,33,2,1.0,0.105,0.01,0.115
uct-10000-self-play,10000,S43,edge,200,46,0.23,53,0.265,18,33,0.165,17.545455,33,0.165,17.545455,183,3,186,0.038125,0.000625,0.03875,0.9225,0.031667,1,0.005,22,126,1,0.007937,31,1,0.032258,33,33,0.165,14,0.07,0.09,0.045,33,1,1.0,0.11,0.005,0.115
uct-10000-self-play,10000,S44,corner,200,15,0.075,16,0.08,22.4,13,0.065,22.230769,13,0.065,22.230769,33,0,33,0.006875,0.0,0.006875,0.98625,0.00125,0,0.0,0.0,9,0,0.0,4,0,0.0,4,4,0.02,2,0.01,0.01,0.01,4,0,0.0,0.055,0.0,0.055
uct-100000-self-play,100000,S00,corner,194,18,0.092784,20,0.103093,22.5,18,0.092784,22.5,18,0.092784,22.5,45,0,45,0.009665,0.0,0.009665,0.98067,0.0,0,0.0,0.0,9,0,0.0,6,0,0.0,1,1,0.005155,1,0.005155,0.005155,0.005155,1,0,0.0,0.092784,0.0,0.092784
uct-100000-self-play,100000,S01,edge,194,30,0.154639,37,0.190722,20.566667,24,0.123711,20.916667,24,0.123711,20.916667,65,4,69,0.01396,0.000859,0.01482,0.970361,0.015034,1,0.005155,21,43,1,0.023256,18,1,0.055556,7,7,0.036082,5,0.025773,0.030928,0.015464,7,0,0.0,0.092784,0.005155,0.097938
uct-100000-self-play,100000,S02,edge,194,39,0.201031,42,0.216495,19.846154,31,0.159794,20.064516,31,0.159794,20.064516,99,0,99,0.021263,0.0,0.021263,0.957474,0.022337,0,0.0,0.0,70,0,0.0,27,0,0.0,17,17,0.087629,13,0.06701,0.072165,0.036082,17,0,0.0,0.113402,0.0,0.113402
uct-100000-self-play,100000,S03,edge,194,45,0.231959,52,0.268041,20.733333,33,0.170103,20.575758,33,0.170103,20.575758,113,3,116,0.02427,0.000644,0.024914,0.950172,0.019759,1,0.005155,22,61,1,0.016393,29,1,0.034483,20,20,0.103093,12,0.061856,0.07732,0.03866,20,1,1.0,0.113402,0.005155,0.118557
uct-100000-self-play,100000,S04,corner,194,30,0.154639,35,0.180412,21.733333,24,0.123711,21.958333,24,0.123711,21.958333,52,3,55,0.011168,0.000644,0.011813,0.976375,0.010739,1,0.005155,22,25,1,0.04,10,1,0.1,4,4,0.020619,4,0.020619,0.020619,0.020619,4,0,0.0,0.103093,0.005155,0.108247
uct-100000-self-play,100000,S10,edge,194,32,0.164948,42,0.216495,20.78125,26,0.134021,21.307692,26,0.134021,21.307692,61,11,72,0.013101,0.002363,0.015464,0.969072,0.016753,3,0.015464,21.333333,37,3,0.081081,20,3,0.15,9,9,0.046392,8,0.041237,0.041237,0.020619,9,3,1.0,0.108247,0.015464,0.123711
uct-100000-self-play,100000,S11,interior,194,160,0.824742,307,1.582474,8.11875,98,0.505155,7.663265,107,0.551546,7.831776,430,550,980,0.092354,0.118127,0.210481,0.579038,0.521907,41,0.21134,11.585366,720,41,0.056944,152,41,0.269737,309,309,1.592784,71,0.365979,0.886598,0.221649,309,191,4.658537,0.087629,0.21134,0.298969
