"board","search_level","window_turns","metric","games","value","median","ci_low","ci_high","primary"
"3x3","uct-1000","4","mean_both_invested_regions","100","1.794444","1.777778","1.740556","1.850000","true"
"3x3","uct-1000","4","multi_both_invested_turn_rate","100","0.632222","0.611111","0.604444","0.659445","true"
"3x3","uct-1000","4","mixed_leadership_turn_rate","100","0.798889","0.833333","0.787222","0.810555","true"
"3x3","uct-1000","4","longest_mixed_leadership_run","100","14.290000","15.000000","14.030000","14.510000","true"
"3x3","uct-1000","4","longest_mixed_leadership_run_fraction","100","0.793889","0.833333","0.779444","0.806666","true"
"3x3","uct-1000","4","mean_mixed_leadership_run","100","14.120000","15.000000","13.760000","14.450000","true"
"3x3","uct-1000","4","mean_mixed_leadership_run_fraction","100","0.784444","0.833333","0.764444","0.802778","true"
"3x3","uct-1000","4","mean_p1_led_regions","100","2.600000","2.555556","2.520556","2.681111","true"
"3x3","uct-1000","4","mean_p2_led_regions","100","2.211111","2.222222","2.134444","2.290000","true"
"3x3","uct-1000","4","mean_led_regions","100","4.811111","4.833333","4.681667","4.936667","true"
"3x3","uct-1000","4","mean_opposition_breadth","100","2.037778","2.055556","1.972778","2.111111","true"
"3x3","uct-1000","4","mean_opportunity_adjusted_activity","100","2.980081","2.929930","2.851168","3.112861","true"
"3x3","uct-1000","4","focus_switch_rate","94","0.733625","0.833333","0.669339","0.795061","true"
"3x3","uct-1000","4","focus_eligible_fraction","100","0.189412","0.176471","0.163530","0.214118","true"
"3x3","uct-1000","4","no_dominant_turn_rate","100","0.580000","0.611111","0.555000","0.605556","true"
"3x3","uct-1000","4","mean_focus_persistence","100","1.130020","1.087121","1.095350","1.170837","true"
"3x3","uct-1000","4","mean_focus_switch_distance","85","1.925210","2.000000","1.784454","2.069580","true"
"4x4","seeded-random","4","mean_active_regions","100","4.369167","4.458333","4.254583","4.488750","false"
"4x4","seeded-random","4","multi_active_turn_rate","100","0.886667","0.875000","0.873750","0.897917","false"
"4x4","seeded-random","4","longest_multi_active_run","100","21.130000","21.000000","20.700000","21.490000","false"
"4x4","seeded-random","4","longest_multi_active_run_fraction","100","0.880417","0.875000","0.862917","0.896250","false"
"4x4","seeded-random","4","mean_multi_active_run","100","20.903333","21.000000","20.313333","21.410000","false"
"4x4","seeded-random","4","mean_multi_active_run_fraction","100","0.870972","0.875000","0.846389","0.892222","false"
"4x4","seeded-random","4","mean_both_invested_regions","100","2.030000","2.083333","1.957083","2.097500","false"
"4x4","seeded-random","4","multi_both_invested_turn_rate","100","0.707500","0.750000","0.678333","0.735000","false"
"4x4","seeded-random","4","mixed_leadership_turn_rate","100","0.747917","0.791667","0.728333","0.766250","false"
"4x4","seeded-random","4","longest_mixed_leadership_run","100","17.660000","19.000000","17.100000","18.210000","false"
"4x4","seeded-random","4","longest_mixed_leadership_run_fraction","100","0.735833","0.791667","0.712917","0.756250","false"
"4x4","seeded-random","4","mean_mixed_leadership_run","100","17.041667","19.000000","16.250000","17.776667","false"
"4x4","seeded-random","4","mean_mixed_leadership_run_fraction","100","0.710070","0.791667","0.675764","0.740417","false"
"4x4","seeded-random","4","mean_p1_led_regions","100","2.254583","2.208333","2.131250","2.385417","false"
"4x4","seeded-random","4","mean_p2_led_regions","100","1.933333","1.958333","1.818750","2.052500","false"
"4x4","seeded-random","4","mean_led_regions","100","4.187917","4.208333","4.031667","4.348333","false"
"4x4","seeded-random","4","mean_opposition_breadth","100","1.552500","1.541667","1.468750","1.630833","false"
"4x4","seeded-random","4","mean_opportunity_adjusted_activity","100","4.333845","4.394319","4.199422","4.463513","false"
"4x4","seeded-random","4","focus_switch_rate","76","0.899123","1.000000","0.849781","0.940789","false"
"4x4","seeded-random","4","focus_eligible_fraction","100","0.077826","0.086957","0.064783","0.091739","false"
"4x4","seeded-random","4","no_dominant_turn_rate","100","0.718333","0.708333","0.700417","0.736250","false"
"4x4","seeded-random","4","mean_focus_persistence","100","1.030544","1.000000","1.017230","1.046302","false"
"4x4","seeded-random","4","mean_focus_switch_distance","75","2.056556","2.000000","1.890444","2.237222","false"
"4x4","uct-0100","4","mean_active_regions","100","4.087917","4.104166","3.962500","4.211250","false"
"4x4","uct-0100","4","multi_active_turn_rate","100","0.870417","0.875000","0.858750","0.882083","false"
"4x4","uct-0100","4","longest_multi_active_run","100","20.730000","21.000000","20.380000","21.060000","false"
"4x4","uct-0100","4","longest_multi_active_run_fraction","100","0.863750","0.875000","0.847917","0.877917","false"
"4x4","uct-0100","4","mean_multi_active_run","100","20.558333","21.000000","20.036667","21.000000","false"
"4x4","uct-0100","4","mean_multi_active_run_fraction","100","0.856597","0.875000","0.836111","0.875417","false"
"4x4","uct-0100","4","mean_both_invested_regions","100","1.851250","1.833333","1.790417","1.914583","false"
"4x4","uct-0100","4","multi_both_invested_turn_rate","100","0.628333","0.625000","0.602500","0.655417","false"
"4x4","uct-0100","4","mixed_leadership_turn_rate","100","0.798750","0.812500","0.782917","0.814583","false"
"4x4","uct-0100","4","longest_mixed_leadership_run","100","18.770000","19.000000","18.240000","19.260000","false"
"4x4","uct-0100","4","longest_mixed_leadership_run_fraction","100","0.782083","0.791667","0.758750","0.802083","false"
"4x4","uct-0100","4","mean_mixed_leadership_run","100","17.705333","19.000000","16.830333","18.605000","false"
"4x4","uct-0100","4","mean_mixed_leadership_run_fraction","100","0.737722","0.791667","0.699764","0.774583","false"
"4x4","uct-0100","4","mean_p1_led_regions","100","2.555833","2.604166","2.448333","2.657917","false"
"4x4","uct-0100","4","mean_p2_led_regions","100","2.131667","2.125000","2.045000","2.215833","false"
"4x4","uct-0100","4","mean_led_regions","100","4.687500","4.687500","4.562500","4.815000","false"
"4x4","uct-0100","4","mean_opposition_breadth","100","1.852917","1.875000","1.783750","1.921250","false"
"4x4","uct-0100","4","mean_opportunity_adjusted_activity","100","4.187915","4.150894","4.049972","4.324434","false"
"4x4","uct-0100","4","focus_switch_rate","89","0.954494","1.000000","0.931648","0.975281","false"
"4x4","uct-0100","4","focus_eligible_fraction","100","0.117391","0.130435","0.103913","0.131739","false"
"4x4","uct-0100","4","no_dominant_turn_rate","100","0.649583","0.666667","0.629167","0.670000","false"
"4x4","uct-0100","4","mean_focus_persistence","100","1.017311","1.000000","1.009798","1.026652","false"
"4x4","uct-0100","4","mean_focus_switch_distance","89","1.970225","2.000000","1.831086","2.109524","false"
"4x4","uct-0500","4","mean_active_regions","100","3.631667","3.666667","3.517917","3.754167","false"
"4x4","uct-0500","4","multi_active_turn_rate","100","0.866667","0.875000","0.850417","0.880417","false"
"4x4","uct-0500","4","longest_multi_active_run","100","20.380000","21.000000","19.850000","20.870000","false"
"4x4","uct-0500","4","longest_multi_active_run_fraction","100","0.849167","0.875000","0.827500","0.869167","false"
"4x4","uct-0500","4","mean_multi_active_run","100","19.945000","21.000000","19.185000","20.620000","false"
"4x4","uct-0500","4","mean_multi_active_run_fraction","100","0.831042","0.875000","0.798333","0.859167","false"
"4x4","uct-0500","4","mean_both_invested_regions","100","1.771250","1.708333","1.707500","1.835417","false"
