"board","experiment_id","search_level","game_index","measure","total_pairs","evaluable_pairs","evaluable_fraction","mean_observed_signed","mean_observed_absolute","mean_null_absolute","mean_dependence_excess","mean_null_ge_observed_rate"
"3x3","3x3-seeded-random","seeded-random","25","supply_change","36","36","1.000000","-0.076569","0.206335","0.210638","-0.004303","0.807292"
"3x3","3x3-seeded-random","seeded-random","25","objective_change","36","28","0.777778","0.028658","0.189482","0.155189","0.034293","0.863839"
"3x3","3x3-seeded-random","seeded-random","26","lead","36","21","0.583333","-0.069422","0.443014","0.410913","0.032100","0.602241"
"3x3","3x3-seeded-random","seeded-random","26","lead_engaged","36","21","0.583333","-0.052764","0.414715","0.426316","-0.011602","0.661135"
"3x3","3x3-seeded-random","seeded-random","26","supply_change","36","36","1.000000","-0.057574","0.219728","0.204518","0.015210","0.703125"
"3x3","3x3-seeded-random","seeded-random","26","objective_change","36","21","0.583333","-0.074318","0.103832","0.168477","-0.064645","0.964286"
"3x3","3x3-seeded-random","seeded-random","27","lead","36","28","0.777778","0.119729","0.473018","0.337492","0.135526","0.502101"
"3x3","3x3-seeded-random","seeded-random","27","lead_engaged","36","28","0.777778","0.101589","0.444448","0.325283","0.119166","0.542268"
"3x3","3x3-seeded-random","seeded-random","27","supply_change","36","28","0.777778","-0.084624","0.206905","0.213733","-0.006827","0.743304"
"3x3","3x3-seeded-random","seeded-random","27","objective_change","36","28","0.777778","-0.009618","0.152475","0.150617","0.001858","0.928571"
"3x3","3x3-seeded-random","seeded-random","28","lead","36","21","0.583333","-0.028772","0.380386","0.303417","0.076969","0.577031"
"3x3","3x3-seeded-random","seeded-random","28","lead_engaged","36","21","0.583333","-0.027855","0.372203","0.300201","0.072002","0.593651"
"3x3","3x3-seeded-random","seeded-random","28","supply_change","36","36","1.000000","-0.012918","0.256871","0.198181","0.058689","0.717014"
"3x3","3x3-seeded-random","seeded-random","28","objective_change","36","21","0.583333","-0.025453","0.191151","0.216243","-0.025092","0.845238"
"3x3","3x3-seeded-random","seeded-random","29","lead","36","28","0.777778","-0.064751","0.362619","0.340320","0.022299","0.552521"
"3x3","3x3-seeded-random","seeded-random","29","lead_engaged","36","28","0.777778","-0.054207","0.386098","0.322870","0.063228","0.528006"
"3x3","3x3-seeded-random","seeded-random","29","supply_change","36","21","0.583333","-0.049487","0.159948","0.187755","-0.027807","0.830357"
"3x3","3x3-seeded-random","seeded-random","29","objective_change","36","28","0.777778","-0.053384","0.148341","0.186886","-0.038545","0.921875"
"3x3","3x3-seeded-random","seeded-random","30","lead","36","36","1.000000","-0.085271","0.573816","0.390158","0.183657","0.470588"
"3x3","3x3-seeded-random","seeded-random","30","lead_engaged","36","36","1.000000","-0.083342","0.537971","0.374678","0.163293","0.500554"
"3x3","3x3-seeded-random","seeded-random","30","supply_change","36","36","1.000000","-0.096475","0.169138","0.212088","-0.042950","0.829861"
"3x3","3x3-seeded-random","seeded-random","30","objective_change","36","36","1.000000","-0.039383","0.094939","0.129325","-0.034386","0.972222"
"3x3","3x3-seeded-random","seeded-random","31","lead","36","28","0.777778","-0.092023","0.480754","0.376821","0.103933","0.491597"
"3x3","3x3-seeded-random","seeded-random","31","lead_engaged","36","26","0.722222","-0.071948","0.446398","0.353481","0.092917","0.528674"
"3x3","3x3-seeded-random","seeded-random","31","supply_change","36","28","0.777778","-0.062108","0.190814","0.202199","-0.011385","0.825893"
"3x3","3x3-seeded-random","seeded-random","31","objective_change","36","28","0.777778","-0.062023","0.132791","0.168681","-0.035890","0.921875"
"3x3","3x3-seeded-random","seeded-random","32","lead","36","21","0.583333","0.035983","0.252030","0.235325","0.016705","0.767507"
"3x3","3x3-seeded-random","seeded-random","32","lead_engaged","36","19","0.527778","0.033544","0.262730","0.247765","0.014964","0.791692"
"3x3","3x3-seeded-random","seeded-random","32","supply_change","36","36","1.000000","-0.064223","0.191085","0.201128","-0.010043","0.758681"
"3x3","3x3-seeded-random","seeded-random","32","objective_change","36","21","0.583333","-0.062085","0.103354","0.158808","-0.055454","0.958333"
"3x3","3x3-seeded-random","seeded-random","33","lead","36","21","0.583333","0.025210","0.385053","0.345629","0.039423","0.585434"
"3x3","3x3-seeded-random","seeded-random","33","lead_engaged","36","19","0.527778","0.008286","0.384006","0.352996","0.031011","0.589951"
"3x3","3x3-seeded-random","seeded-random","33","supply_change","36","36","1.000000","-0.038980","0.197166","0.210734","-0.013568","0.772569"
"3x3","3x3-seeded-random","seeded-random","33","objective_change","36","21","0.583333","-0.051249","0.127139","0.166212","-0.039073","0.919643"
"3x3","3x3-seeded-random","seeded-random","34","lead","36","21","0.583333","-0.107036","0.538145","0.378292","0.159853","0.523810"
"3x3","3x3-seeded-random","seeded-random","34","lead_engaged","36","15","0.416667","-0.077067","0.532947","0.394985","0.137961","0.552687"
"3x3","3x3-seeded-random","seeded-random","34","supply_change","36","36","1.000000","-0.064675","0.186630","0.199642","-0.013013","0.793403"
"3x3","3x3-seeded-random","seeded-random","34","objective_change","36","21","0.583333","-0.042632","0.107837","0.144608","-0.036771","0.955357"
"3x3","3x3-seeded-random","seeded-random","35","lead","36","15","0.416667","-0.052854","0.405298","0.468125","-0.062827","0.674510"
"3x3","3x3-seeded-random","seeded-random","35","lead_engaged","36","15","0.416667","-0.043230","0.408353","0.464279","-0.055926","0.660596"
"3x3","3x3-seeded-random","seeded-random","35","supply_change","36","28","0.777778","-0.079425","0.177107","0.202547","-0.025441","0.810268"
"3x3","3x3-seeded-random","seeded-random","35","objective_change","36","15","0.416667","-0.019929","0.152535","0.169870","-0.017335","0.891667"
"3x3","3x3-seeded-random","seeded-random","36","lead","36","36","1.000000","-0.074511","0.478035","0.336731","0.141304","0.513072"
"3x3","3x3-seeded-random","seeded-random","36","lead_engaged","36","33","0.916667","-0.058504","0.439894","0.315836","0.124058","0.547958"
"3x3","3x3-seeded-random","seeded-random","36","supply_change","36","36","1.000000","-0.058497","0.179014","0.213212","-0.034198","0.854167"
"3x3","3x3-seeded-random","seeded-random","36","objective_change","36","36","1.000000","-0.039383","0.094939","0.129325","-0.034386","0.972222"
"3x3","3x3-seeded-random","seeded-random","37","lead","36","15","0.416667","0.100188","0.345219","0.296471","0.048748","0.674510"
"3x3","3x3-seeded-random","seeded-random","37","lead_engaged","36","15","0.416667","0.092875","0.308050","0.270463","0.037586","0.691993"
"3x3","3x3-seeded-random","seeded-random","37","supply_change","36","36","1.000000","-0.068629","0.137274","0.192279","-0.055005","0.895833"
"3x3","3x3-seeded-random","seeded-random","37","objective_change","36","15","0.416667","-0.021244","0.141429","0.162088","-0.020659","0.891667"
"3x3","3x3-seeded-random","seeded-random","38","lead","36","28","0.777778","-0.092549","0.387571","0.355321","0.032251","0.655462"
"3x3","3x3-seeded-random","seeded-random","38","lead_engaged","36","28","0.777778","-0.074822","0.381611","0.353727","0.027883","0.635857"
"3x3","3x3-seeded-random","seeded-random","38","supply_change","36","36","1.000000","-0.034512","0.166261","0.189554","-0.023293","0.850694"
"3x3","3x3-seeded-random","seeded-random","38","objective_change","36","28","0.777778","-0.066934","0.129444","0.176523","-0.047079","0.966518"
