"board","experiment_id","search_level","game_index","window_turns","turns","mean_active_regions","multi_active_turn_rate","longest_multi_active_run","longest_multi_active_run_fraction","mean_multi_active_run","mean_multi_active_run_fraction","mean_both_invested_regions","multi_both_invested_turn_rate","mixed_leadership_turn_rate","longest_mixed_leadership_run","longest_mixed_leadership_run_fraction","mean_mixed_leadership_run","mean_mixed_leadership_run_fraction","mean_p1_led_regions","mean_p2_led_regions","mean_led_regions","mean_opposition_breadth","mean_opportunity_adjusted_activity","opportunity_adjustment_regions","focus_switches","focus_eligible_pairs","focus_eligible_fraction","focus_switch_rate","no_dominant_turn_rate","mean_focus_persistence","mean_focus_switch_distance"
"3x3","3x3-seeded-random","seeded-random","72","4","18","4.444444","0.888889","16","0.888889","16.000000","0.888889","1.666667","0.611111","0.500000","9","0.500000","9.000000","0.500000","1.944444","1.000000","2.944444","0.944444","5.137634","9","2","2","0.117647","1.000000","0.555556","1.000000","1.000000"
"3x3","3x3-seeded-random","seeded-random","73","4","18","3.055556","0.777778","14","0.777778","14.000000","0.777778","1.666667","0.555556","0.722222","13","0.722222","13.000000","0.722222","3.500000","1.222222","4.722222","1.222222","2.935953","9","0","0","0.000000","","0.722222","1.000000",""
"3x3","3x3-seeded-random","seeded-random","74","4","18","2.722222","0.833333","15","0.833333","15.000000","0.833333","1.611111","0.555556","0.833333","15","0.833333","15.000000","0.833333","2.222222","1.888889","4.111111","1.833333","2.429534","9","2","2","0.117647","1.000000","0.666667","1.000000","2.000000"
"3x3","3x3-seeded-random","seeded-random","75","4","18","3.722222","0.777778","14","0.777778","14.000000","0.777778","1.888889","0.666667","0.833333","15","0.833333","15.000000","0.833333","1.888889","1.944444","3.833333","1.666667","3.973853","9","2","2","0.117647","1.000000","0.611111","1.000000","3.000000"
"3x3","3x3-seeded-random","seeded-random","76","4","18","2.944444","0.777778","9","0.500000","7.000000","0.388889","1.666667","0.722222","0.777778","14","0.777778","14.000000","0.777778","2.166667","2.666667","4.833333","2.000000","2.529785","9","1","1","0.058824","1.000000","0.777778","1.000000","1.000000"
"3x3","3x3-seeded-random","seeded-random","77","4","18","4.166667","0.833333","15","0.833333","15.000000","0.833333","1.611111","0.666667","0.555556","10","0.555556","10.000000","0.555556","1.444444","0.888889","2.333333","0.722222","4.049269","9","2","3","0.176471","0.666667","0.666667","1.200000","2.500000"
"3x3","3x3-seeded-random","seeded-random","78","4","18","2.611111","0.888889","16","0.888889","16.000000","0.888889","1.444444","0.388889","0.722222","13","0.722222","13.000000","0.722222","1.555556","2.555556","4.111111","1.500000","2.364423","9","5","5","0.294118","1.000000","0.444444","1.000000","2.600000"
"3x3","3x3-seeded-random","seeded-random","79","4","18","3.222222","0.833333","15","0.833333","15.000000","0.833333","2.111111","0.777778","0.777778","14","0.777778","14.000000","0.777778","2.833333","2.000000","4.833333","1.944444","3.160823","9","3","4","0.235294","0.750000","0.666667","1.200000","1.333333"
"3x3","3x3-seeded-random","seeded-random","80","4","18","3.777778","0.833333","15","0.833333","15.000000","0.833333","1.888889","0.666667","0.500000","9","0.500000","9.000000","0.500000","1.611111","1.388889","3.000000","1.055556","3.977017","9","1","2","0.117647","0.500000","0.666667","1.200000","1.000000"
"3x3","3x3-seeded-random","seeded-random","81","4","18","3.722222","0.777778","14","0.777778","14.000000","0.777778","1.722222","0.611111","0.555556","7","0.388889","5.000000","0.277778","1.944444","0.833333","2.777778","0.833333","3.290286","9","0","0","0.000000","","0.722222","1.000000",""
"3x3","3x3-seeded-random","seeded-random","82","4","18","3.666667","0.888889","16","0.888889","16.000000","0.888889","2.500000","0.722222","0.555556","10","0.555556","10.000000","0.555556","1.333333","1.666667","3.000000","1.277778","3.266138","9","0","0","0.000000","","0.666667","1.000000",""
"3x3","3x3-seeded-random","seeded-random","83","4","18","2.611111","0.722222","13","0.722222","13.000000","0.722222","0.888889","0.222222","0.666667","12","0.666667","12.000000","0.666667","1.777778","1.888889","3.666667","1.722222","2.708450","9","4","4","0.235294","1.000000","0.500000","1.000000","3.500000"
