"board","search_level","measure","metric","games","value","median","ci_low","ci_high","primary"
"4x4","seeded-random","objective_change","mean_null_absolute","100","0.150252","0.150267","0.147759","0.152608","false"
"4x4","seeded-random","objective_change","mean_dependence_excess","100","-0.017982","-0.020125","-0.022603","-0.012835","false"
"4x4","uct-0100","lead","evaluable_fraction","100","0.811945","0.777778","0.777500","0.844167","false"
"4x4","uct-0100","lead","mean_observed_absolute","100","0.444315","0.430256","0.428075","0.460293","false"
"4x4","uct-0100","lead","mean_null_absolute","100","0.330427","0.329925","0.321535","0.338563","false"
"4x4","uct-0100","lead","mean_dependence_excess","100","0.113888","0.102648","0.102372","0.126728","false"
"4x4","uct-0100","lead_engaged","evaluable_fraction","100","0.786389","0.777778","0.754167","0.817500","false"
"4x4","uct-0100","lead_engaged","mean_observed_absolute","100","0.426860","0.428795","0.410772","0.443009","false"
"4x4","uct-0100","lead_engaged","mean_null_absolute","100","0.318514","0.319628","0.309944","0.327077","false"
"4x4","uct-0100","lead_engaged","mean_dependence_excess","100","0.108345","0.091557","0.095550","0.121121","false"
"4x4","uct-0100","supply_change","evaluable_fraction","100","0.894722","1.000000","0.870556","0.918333","false"
"4x4","uct-0100","supply_change","mean_observed_absolute","100","0.165501","0.164360","0.161726","0.169036","false"
"4x4","uct-0100","supply_change","mean_null_absolute","100","0.174542","0.174401","0.172815","0.176268","false"
"4x4","uct-0100","supply_change","mean_dependence_excess","100","-0.009041","-0.012508","-0.012385","-0.005637","false"
"4x4","uct-0100","objective_change","evaluable_fraction","100","0.811945","0.777778","0.779444","0.842778","false"
"4x4","uct-0100","objective_change","mean_observed_absolute","100","0.156886","0.155282","0.152784","0.160864","false"
"4x4","uct-0100","objective_change","mean_null_absolute","100","0.168111","0.168551","0.166295","0.169986","false"
"4x4","uct-0100","objective_change","mean_dependence_excess","100","-0.011225","-0.011707","-0.014936","-0.007508","false"
"4x4","uct-0500","lead","evaluable_fraction","100","0.841389","0.777778","0.808889","0.872500","false"
"4x4","uct-0500","lead","mean_observed_absolute","100","0.454310","0.447839","0.438364","0.469164","false"
"4x4","uct-0500","lead","mean_null_absolute","100","0.329133","0.327414","0.320660","0.337836","false"
"4x4","uct-0500","lead","mean_dependence_excess","100","0.125177","0.117855","0.112518","0.139006","false"
"4x4","uct-0500","lead_engaged","evaluable_fraction","100","0.812222","0.777778","0.780000","0.843611","false"
"4x4","uct-0500","lead_engaged","mean_observed_absolute","100","0.436872","0.428850","0.421821","0.452179","false"
"4x4","uct-0500","lead_engaged","mean_null_absolute","100","0.318378","0.317545","0.310080","0.326971","false"
"4x4","uct-0500","lead_engaged","mean_dependence_excess","100","0.118494","0.108884","0.105882","0.132005","false"
"4x4","uct-0500","supply_change","evaluable_fraction","100","0.882778","1.000000","0.855278","0.910833","false"
"4x4","uct-0500","supply_change","mean_observed_absolute","100","0.161220","0.160778","0.157564","0.165038","false"
"4x4","uct-0500","supply_change","mean_null_absolute","100","0.170059","0.169256","0.168167","0.171942","false"
"4x4","uct-0500","supply_change","mean_dependence_excess","100","-0.008839","-0.009922","-0.012260","-0.005272","false"
"4x4","uct-0500","objective_change","evaluable_fraction","100","0.841389","0.777778","0.808889","0.872500","false"
"4x4","uct-0500","objective_change","mean_observed_absolute","100","0.165735","0.166805","0.161644","0.169750","false"
"4x4","uct-0500","objective_change","mean_null_absolute","100","0.174908","0.175008","0.173157","0.176562","false"
"4x4","uct-0500","objective_change","mean_dependence_excess","100","-0.009173","-0.009757","-0.012803","-0.005617","false"
"4x4","uct-1000","lead","evaluable_fraction","100","0.848611","0.777778","0.818889","0.878889","true"
"4x4","uct-1000","lead","mean_observed_absolute","100","0.458976","0.447344","0.442970","0.475599","true"
