"board","search_level","region","metric","games","value"
"4x4","uct-0100","LM","regional_capacity_share","100","0.097561"
"4x4","uct-0100","LH","active_turn_rate","100","0.520000"
"4x4","uct-0100","LH","both_invested_turn_rate","100","0.226667"
"4x4","uct-0100","LH","mean_regional_opportunity_share","100","0.136639"
"4x4","uct-0100","LH","opportunity_adjusted_activity","100","3.775121"
"4x4","uct-0100","LH","regional_capacity_share","100","0.121951"
"4x4","uct-0100","ML","active_turn_rate","100","0.416250"
"4x4","uct-0100","ML","both_invested_turn_rate","100","0.177083"
"4x4","uct-0100","ML","mean_regional_opportunity_share","100","0.090091"
"4x4","uct-0100","ML","opportunity_adjusted_activity","100","4.616691"
"4x4","uct-0100","ML","regional_capacity_share","100","0.097561"
"4x4","uct-0100","MM","active_turn_rate","100","0.475417"
"4x4","uct-0100","MM","both_invested_turn_rate","100","0.276250"
"4x4","uct-0100","MM","mean_regional_opportunity_share","100","0.092771"
"4x4","uct-0100","MM","opportunity_adjusted_activity","100","5.234250"
"4x4","uct-0100","MM","regional_capacity_share","100","0.121951"
"4x4","uct-0100","MH","active_turn_rate","100","0.398750"
"4x4","uct-0100","MH","both_invested_turn_rate","100","0.172500"
"4x4","uct-0100","MH","mean_regional_opportunity_share","100","0.091565"
"4x4","uct-0100","MH","opportunity_adjusted_activity","100","4.301417"
"4x4","uct-0100","MH","regional_capacity_share","100","0.097561"
"4x4","uct-0100","HL","active_turn_rate","100","0.499167"
"4x4","uct-0100","HL","both_invested_turn_rate","100","0.214583"
"4x4","uct-0100","HL","mean_regional_opportunity_share","100","0.135398"
"4x4","uct-0100","HL","opportunity_adjusted_activity","100","3.688250"
"4x4","uct-0100","HL","regional_capacity_share","100","0.121951"
"4x4","uct-0100","HM","active_turn_rate","100","0.397500"
"4x4","uct-0100","HM","both_invested_turn_rate","100","0.185833"
"4x4","uct-0100","HM","mean_regional_opportunity_share","100","0.091763"
"4x4","uct-0100","HM","opportunity_adjusted_activity","100","4.293448"
"4x4","uct-0100","HM","regional_capacity_share","100","0.097561"
"4x4","uct-0100","HH","active_turn_rate","100","0.525000"
"4x4","uct-0100","HH","both_invested_turn_rate","100","0.215833"
"4x4","uct-0100","HH","mean_regional_opportunity_share","100","0.136816"
"4x4","uct-0100","HH","opportunity_adjusted_activity","100","3.820129"
"4x4","uct-0100","HH","regional_capacity_share","100","0.121951"
"4x4","uct-0500","LL","active_turn_rate","100","0.425833"
"4x4","uct-0500","LL","both_invested_turn_rate","100","0.193333"
"4x4","uct-0500","LL","mean_regional_opportunity_share","100","0.138438"
"4x4","uct-0500","LL","opportunity_adjusted_activity","100","3.059961"
"4x4","uct-0500","LL","regional_capacity_share","100","0.121951"
"4x4","uct-0500","LM","active_turn_rate","100","0.373750"
"4x4","uct-0500","LM","both_invested_turn_rate","100","0.178333"
"4x4","uct-0500","LM","mean_regional_opportunity_share","100","0.089201"
"4x4","uct-0500","LM","opportunity_adjusted_activity","100","4.198315"
"4x4","uct-0500","LM","regional_capacity_share","100","0.097561"
"4x4","uct-0500","LH","active_turn_rate","100","0.419583"
"4x4","uct-0500","LH","both_invested_turn_rate","100","0.180417"
"4x4","uct-0500","LH","mean_regional_opportunity_share","100","0.140605"
"4x4","uct-0500","LH","opportunity_adjusted_activity","100","2.994859"
"4x4","uct-0500","LH","regional_capacity_share","100","0.121951"
"4x4","uct-0500","ML","active_turn_rate","100","0.396667"
"4x4","uct-0500","ML","both_invested_turn_rate","100","0.177500"
"4x4","uct-0500","ML","mean_regional_opportunity_share","100","0.089187"
"4x4","uct-0500","ML","opportunity_adjusted_activity","100","4.454169"
"4x4","uct-0500","ML","regional_capacity_share","100","0.097561"
"4x4","uct-0500","MM","active_turn_rate","100","0.505000"
"4x4","uct-0500","MM","both_invested_turn_rate","100","0.349167"
"4x4","uct-0500","MM","mean_regional_opportunity_share","100","0.086999"
"4x4","uct-0500","MM","opportunity_adjusted_activity","100","5.892527"
"4x4","uct-0500","MM","regional_capacity_share","100","0.121951"
"4x4","uct-0500","MH","active_turn_rate","100","0.375000"
"4x4","uct-0500","MH","both_invested_turn_rate","100","0.177917"
"4x4","uct-0500","MH","mean_regional_opportunity_share","100","0.089048"
"4x4","uct-0500","MH","opportunity_adjusted_activity","100","4.164218"
"4x4","uct-0500","MH","regional_capacity_share","100","0.097561"
"4x4","uct-0500","HL","active_turn_rate","100","0.365000"
"4x4","uct-0500","HL","both_invested_turn_rate","100","0.148750"
"4x4","uct-0500","HL","mean_regional_opportunity_share","100","0.138857"
"4x4","uct-0500","HL","opportunity_adjusted_activity","100","2.613061"
"4x4","uct-0500","HL","regional_capacity_share","100","0.121951"
"4x4","uct-0500","HM","active_turn_rate","100","0.331667"
"4x4","uct-0500","HM","both_invested_turn_rate","100","0.164583"
"4x4","uct-0500","HM","mean_regional_opportunity_share","100","0.088171"
"4x4","uct-0500","HM","opportunity_adjusted_activity","100","3.729735"
"4x4","uct-0500","HM","regional_capacity_share","100","0.097561"
"4x4","uct-0500","HH","active_turn_rate","100","0.439167"
"4x4","uct-0500","HH","both_invested_turn_rate","100","0.201250"
"4x4","uct-0500","HH","mean_regional_opportunity_share","100","0.139493"
"4x4","uct-0500","HH","opportunity_adjusted_activity","100","3.145749"
"4x4","uct-0500","HH","regional_capacity_share","100","0.121951"
"4x4","uct-1000","LL","active_turn_rate","100","0.382083"
"4x4","uct-1000","LL","both_invested_turn_rate","100","0.165417"
"4x4","uct-1000","LL","mean_regional_opportunity_share","100","0.142100"
"4x4","uct-1000","LL","opportunity_adjusted_activity","100","2.670568"
"4x4","uct-1000","LL","regional_capacity_share","100","0.121951"
"4x4","uct-1000","LM","active_turn_rate","100","0.354167"
"4x4","uct-1000","LM","both_invested_turn_rate","100","0.166250"
"4x4","uct-1000","LM","mean_regional_opportunity_share","100","0.086444"
"4x4","uct-1000","LM","opportunity_adjusted_activity","100","4.112718"
"4x4","uct-1000","LM","regional_capacity_share","100","0.097561"
"4x4","uct-1000","LH","active_turn_rate","100","0.365833"
"4x4","uct-1000","LH","both_invested_turn_rate","100","0.162500"
"4x4","uct-1000","LH","mean_regional_opportunity_share","100","0.141399"
"4x4","uct-1000","LH","opportunity_adjusted_activity","100","2.579103"
"4x4","uct-1000","LH","regional_capacity_share","100","0.121951"
"4x4","uct-1000","ML","active_turn_rate","100","0.372500"
"4x4","uct-1000","ML","both_invested_turn_rate","100","0.177083"
"4x4","uct-1000","ML","mean_regional_opportunity_share","100","0.088798"
"4x4","uct-1000","ML","opportunity_adjusted_activity","100","4.184766"
"4x4","uct-1000","ML","regional_capacity_share","100","0.097561"
"4x4","uct-1000","MM","active_turn_rate","100","0.525000"
"4x4","uct-1000","MM","both_invested_turn_rate","100","0.369167"
"4x4","uct-1000","MM","mean_regional_opportunity_share","100","0.081365"
"4x4","uct-1000","MM","opportunity_adjusted_activity","100","6.558908"
"4x4","uct-1000","MM","regional_capacity_share","100","0.121951"
"4x4","uct-1000","MH","active_turn_rate","100","0.390833"
"4x4","uct-1000","MH","both_invested_turn_rate","100","0.174167"
"4x4","uct-1000","MH","mean_regional_opportunity_share","100","0.088003"
"4x4","uct-1000","MH","opportunity_adjusted_activity","100","4.495937"
"4x4","uct-1000","MH","regional_capacity_share","100","0.097561"
"4x4","uct-1000","HL","active_turn_rate","100","0.347083"
"4x4","uct-1000","HL","both_invested_turn_rate","100","0.168750"
"4x4","uct-1000","HL","mean_regional_opportunity_share","100","0.141898"
"4x4","uct-1000","HL","opportunity_adjusted_activity","100","2.443099"
"4x4","uct-1000","HL","regional_capacity_share","100","0.121951"
"4x4","uct-1000","HM","active_turn_rate","100","0.292500"
"4x4","uct-1000","HM","both_invested_turn_rate","100","0.153750"
"4x4","uct-1000","HM","mean_regional_opportunity_share","100","0.087696"
"4x4","uct-1000","HM","opportunity_adjusted_activity","100","3.350636"
"4x4","uct-1000","HM","regional_capacity_share","100","0.097561"
"4x4","uct-1000","HH","active_turn_rate","100","0.330000"
"4x4","uct-1000","HH","both_invested_turn_rate","100","0.157917"
"4x4","uct-1000","HH","mean_regional_opportunity_share","100","0.142298"
"4x4","uct-1000","HH","opportunity_adjusted_activity","100","2.334594"
"4x4","uct-1000","HH","regional_capacity_share","100","0.121951"
"6x6","seeded-random","LL","active_turn_rate","100","0.770625"
"6x6","seeded-random","LL","both_invested_turn_rate","100","0.381667"
"6x6","seeded-random","LL","mean_regional_opportunity_share","100","0.160600"
"6x6","seeded-random","LL","opportunity_adjusted_activity","100","4.798143"
"6x6","seeded-random","LL","regional_capacity_share","100","0.152941"
"6x6","seeded-random","LM","active_turn_rate","100","0.651458"
"6x6","seeded-random","LM","both_invested_turn_rate","100","0.256667"
"6x6","seeded-random","LM","mean_regional_opportunity_share","100","0.119388"
"6x6","seeded-random","LM","opportunity_adjusted_activity","100","5.457949"
"6x6","seeded-random","LM","regional_capacity_share","100","0.117647"
"6x6","seeded-random","LH","active_turn_rate","100","0.654792"
"6x6","seeded-random","LH","both_invested_turn_rate","100","0.270000"
"6x6","seeded-random","LH","mean_regional_opportunity_share","100","0.119305"
"6x6","seeded-random","LH","opportunity_adjusted_activity","100","5.482333"
"6x6","seeded-random","LH","regional_capacity_share","100","0.117647"
"6x6","seeded-random","ML","active_turn_rate","100","0.651250"
"6x6","seeded-random","ML","both_invested_turn_rate","100","0.256458"
"6x6","seeded-random","ML","mean_regional_opportunity_share","100","0.118899"
"6x6","seeded-random","ML","opportunity_adjusted_activity","100","5.479068"
"6x6","seeded-random","ML","regional_capacity_share","100","0.117647"
"6x6","seeded-random","MM","active_turn_rate","100","0.533125"
"6x6","seeded-random","MM","both_invested_turn_rate","100","0.168958"
"6x6","seeded-random","MM","mean_regional_opportunity_share","100","0.091625"
"6x6","seeded-random","MM","opportunity_adjusted_activity","100","5.798505"
"6x6","seeded-random","MM","regional_capacity_share","100","0.094118"
"6x6","seeded-random","MH","active_turn_rate","100","0.504167"
"6x6","seeded-random","MH","both_invested_turn_rate","100","0.157500"
"6x6","seeded-random","MH","mean_regional_opportunity_share","100","0.090032"
"6x6","seeded-random","MH","opportunity_adjusted_activity","100","5.599553"
"6x6","seeded-random","MH","regional_capacity_share","100","0.094118"
"6x6","seeded-random","HL","active_turn_rate","100","0.675417"
"6x6","seeded-random","HL","both_invested_turn_rate","100","0.268958"
"6x6","seeded-random","HL","mean_regional_opportunity_share","100","0.118298"
"6x6","seeded-random","HL","opportunity_adjusted_activity","100","5.714716"
"6x6","seeded-random","HL","regional_capacity_share","100","0.117647"
"6x6","seeded-random","HM","active_turn_rate","100","0.527708"
"6x6","seeded-random","HM","both_invested_turn_rate","100","0.163958"
"6x6","seeded-random","HM","mean_regional_opportunity_share","100","0.091063"
"6x6","seeded-random","HM","opportunity_adjusted_activity","100","5.782721"
"6x6","seeded-random","HM","regional_capacity_share","100","0.094118"
"6x6","seeded-random","HH","active_turn_rate","100","0.537708"
"6x6","seeded-random","HH","both_invested_turn_rate","100","0.195000"
"6x6","seeded-random","HH","mean_regional_opportunity_share","100","0.090790"
"6x6","seeded-random","HH","opportunity_adjusted_activity","100","5.910803"
"6x6","seeded-random","HH","regional_capacity_share","100","0.094118"
"6x6","uct-0100","LL","active_turn_rate","50","0.751667"
"6x6","uct-0100","LL","both_invested_turn_rate","50","0.329167"
"6x6","uct-0100","LL","mean_regional_opportunity_share","50","0.162905"
"6x6","uct-0100","LL","opportunity_adjusted_activity","50","4.616286"
"6x6","uct-0100","LL","regional_capacity_share","50","0.152941"
"6x6","uct-0100","LM","active_turn_rate","50","0.683750"
"6x6","uct-0100","LM","both_invested_turn_rate","50","0.261667"
"6x6","uct-0100","LM","mean_regional_opportunity_share","50","0.119226"
"6x6","uct-0100","LM","opportunity_adjusted_activity","50","5.731744"
"6x6","uct-0100","LM","regional_capacity_share","50","0.117647"
"6x6","uct-0100","LH","active_turn_rate","50","0.657500"
"6x6","uct-0100","LH","both_invested_turn_rate","50","0.237500"
"6x6","uct-0100","LH","mean_regional_opportunity_share","50","0.119625"
"6x6","uct-0100","LH","opportunity_adjusted_activity","50","5.505862"
"6x6","uct-0100","LH","regional_capacity_share","50","0.117647"
"6x6","uct-0100","ML","active_turn_rate","50","0.642917"
"6x6","uct-0100","ML","both_invested_turn_rate","50","0.245417"
"6x6","uct-0100","ML","mean_regional_opportunity_share","50","0.118399"
"6x6","uct-0100","ML","opportunity_adjusted_activity","50","5.443913"
"6x6","uct-0100","ML","regional_capacity_share","50","0.117647"
