experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_with_placement,placement_player_game_frequency,pieces_placed,pieces_placed_per_player_game,mean_first_placement_turn,player_games_with_unsecured_control,unsecured_control_frequency,mean_first_unsecured_control_turn,player_games_with_controlled_or_secured,controlled_or_secured_frequency,mean_first_control_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turn_share,contested_turn_share,player_games_secured,secured_frequency,mean_first_securing_turn,legal_securable_opportunities,securing_opportunities_taken,securing_rate_per_repeated_opportunity,ever_securable_player_sites,ever_securable_eventually_secured,eventual_securing_rate_per_ever_securable_player_site,supply_usage_turns,objective_placements_supplied,objective_placements_supplied_per_player_game,player_games_with_supply_usage,supply_usage_player_game_frequency,mean_objective_sites_supplied,mean_objective_coverage,usage_after_first_control,usage_after_securing,mean_usage_after_securing_per_secured_player_site,final_unsecured_control_rate,final_secured_rate,final_controlled_or_secured_rate,player_result_status
uct-10000-self-play,10000,S43,edge,20,4,0.2,4,0.2,20,3,0.15,19,3,0.15,19,16,0,16,0.033333,0.0,0.033333,0.933333,0.008333,0,0.0,0.0,7,0,0.0,2,0,0.0,3,3,0.15,2,0.1,0.1,0.05,3,0,0.0,0.1,0.0,0.1,draw
uct-10000-self-play,10000,S44,corner,90,9,0.1,10,0.111111,21.777778,8,0.088889,21.625,8,0.088889,21.625,26,0,26,0.012037,0.0,0.012037,0.984722,0.001389,0,0.0,0.0,8,0,0.0,3,0,0.0,4,4,0.044444,2,0.022222,0.022222,0.022222,4,0,0.0,0.077778,0.0,0.077778,winner
uct-10000-self-play,10000,S44,corner,90,6,0.066667,6,0.066667,23.333333,5,0.055556,23.2,5,0.055556,23.2,7,0,7,0.003241,0.0,0.003241,0.984722,0.001389,0,0.0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.044444,0.0,0.044444,loser
uct-10000-self-play,10000,S44,corner,20,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,draw
uct-3000-self-play,3000,S00,corner,96,18,0.1875,20,0.208333,22.277778,15,0.15625,22.533333,15,0.15625,22.533333,29,0,29,0.012587,0.0,0.012587,0.967014,0.010417,0,0.0,0.0,13,0,0.0,8,0,0.0,2,2,0.020833,2,0.020833,0.020833,0.020833,2,0,0.0,0.135417,0.0,0.135417,winner
uct-3000-self-play,3000,S00,corner,96,11,0.114583,11,0.114583,18.545455,9,0.09375,18,9,0.09375,18,47,0,47,0.020399,0.0,0.020399,0.967014,0.010417,0,0.0,0.0,26,0,0.0,8,0,0.0,6,6,0.0625,4,0.041667,0.041667,0.041667,6,0,0.0,0.052083,0.0,0.052083,loser
uct-3000-self-play,3000,S00,corner,8,2,0.25,2,0.25,21,2,0.25,21,2,0.25,21,8,0,8,0.041667,0.0,0.041667,0.916667,0.0,0,0.0,0.0,3,0,0.0,1,0,0.0,1,1,0.125,1,0.125,0.125,0.125,1,0,0.0,0.25,0.0,0.25,draw
uct-3000-self-play,3000,S01,edge,96,39,0.40625,46,0.479167,14.794872,28,0.291667,12.392857,28,0.291667,12.392857,271,1,272,0.117622,0.000434,0.118056,0.773003,0.065104,1,0.010417,24,172,1,0.005814,31,1,0.032258,50,50,0.520833,18,0.1875,0.291667,0.145833,50,0,0.0,0.1875,0.010417,0.197917,winner
uct-3000-self-play,3000,S01,edge,96,38,0.395833,44,0.458333,14.605263,26,0.270833,13.807692,26,0.270833,13.807692,249,2,251,0.108073,0.000868,0.108941,0.773003,0.065104,1,0.010417,23,166,1,0.006024,33,1,0.030303,40,40,0.416667,14,0.145833,0.239583,0.119792,40,0,0.0,0.166667,0.010417,0.177083,loser
uct-3000-self-play,3000,S01,edge,8,3,0.375,5,0.625,3.333333,3,0.375,5.333333,3,0.375,5.333333,30,0,30,0.15625,0.0,0.15625,0.6875,0.21875,0,0.0,0.0,30,0,0.0,3,0,0.0,8,8,1.0,2,0.25,0.5,0.25,8,0,0.0,0.125,0.0,0.125,draw
uct-3000-self-play,3000,S02,edge,96,23,0.239583,28,0.291667,16.565217,15,0.15625,15.466667,15,0.15625,15.466667,108,5,113,0.046875,0.00217,0.049045,0.849392,0.042101,1,0.010417,20,81,1,0.012346,18,1,0.055556,17,17,0.177083,7,0.072917,0.104167,0.052083,17,1,1.0,0.104167,0.010417,0.114583,winner
uct-3000-self-play,3000,S02,edge,96,36,0.375,41,0.427083,15.861111,31,0.322917,15.548387,31,0.322917,15.548387,234,0,234,0.101562,0.0,0.101562,0.849392,0.042101,0,0.0,0.0,133,0,0.0,25,0,0.0,32,32,0.333333,14,0.145833,0.21875,0.109375,32,0,0.0,0.229167,0.0,0.229167,loser
uct-3000-self-play,3000,S02,edge,8,2,0.25,2,0.25,1.5,2,0.25,1.5,2,0.25,1.5,47,0,47,0.244792,0.0,0.244792,0.510417,0.0,0,0.0,0.0,22,0,0.0,2,0,0.0,9,9,1.125,2,0.25,0.5,0.25,9,0,0.0,0.25,0.0,0.25,draw
uct-3000-self-play,3000,S03,edge,96,23,0.239583,29,0.302083,16.347826,20,0.208333,16.4,20,0.208333,16.4,124,0,124,0.053819,0.0,0.053819,0.869792,0.040799,0,0.0,0.0,84,0,0.0,18,0,0.0,21,21,0.21875,10,0.104167,0.125,0.0625,21,0,0.0,0.166667,0.0,0.166667,winner
uct-3000-self-play,3000,S03,edge,96,27,0.28125,29,0.302083,15.037037,22,0.229167,15.727273,22,0.229167,15.727273,176,0,176,0.076389,0.0,0.076389,0.869792,0.040799,0,0.0,0.0,113,0,0.0,21,0,0.0,24,24,0.25,12,0.125,0.166667,0.083333,24,0,0.0,0.177083,0.0,0.177083,loser
uct-3000-self-play,3000,S03,edge,8,3,0.375,5,0.625,18,2,0.25,16.5,2,0.25,16.5,14,0,14,0.072917,0.0,0.072917,0.854167,0.041667,0,0.0,0.0,8,0,0.0,3,0,0.0,5,5,0.625,2,0.25,0.375,0.1875,5,0,0.0,0.25,0.0,0.25,draw
