experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_secured,secured_frequency,mean_first_securing_turn,secured_turns,secured_turn_share,legal_securable_opportunities,securing_opportunities_taken,securing_rate_per_repeated_opportunity,ever_securable_player_sites,ever_securable_eventually_secured,eventual_securing_rate_per_ever_securable_player_site,usage_after_securing,mean_usage_after_securing_per_secured_player_site
uct-3000-self-play,3000,S21,interior,200,36,0.18,14.722222,370,0.077083,901,36,0.039956,143,36,0.251748,104,2.888889
uct-3000-self-play,3000,S22,interior,200,25,0.125,13.36,291,0.060625,1186,25,0.021079,156,25,0.160256,65,2.6
uct-3000-self-play,3000,S23,interior,200,19,0.095,16.210526,167,0.034792,1054,19,0.018027,144,19,0.131944,44,2.315789
uct-3000-self-play,3000,S24,edge,200,0,0.0,0.0,0,0.0,216,0,0.0,45,0,0.0,0,0.0
uct-3000-self-play,3000,S30,edge,200,1,0.005,20,5,0.001042,210,1,0.004762,39,1,0.025641,1,1.0
uct-3000-self-play,3000,S31,interior,200,25,0.125,17.4,190,0.039583,1023,25,0.024438,147,25,0.170068,52,2.08
uct-3000-self-play,3000,S32,interior,200,26,0.13,17.346154,199,0.041458,1099,26,0.023658,152,26,0.171053,56,2.153846
uct-3000-self-play,3000,S33,interior,200,17,0.085,15.823529,156,0.0325,1107,17,0.015357,154,17,0.11039,46,2.705882
uct-3000-self-play,3000,S34,edge,200,3,0.015,17.333333,23,0.004792,346,3,0.008671,57,3,0.052632,2,0.666667
uct-3000-self-play,3000,S40,corner,200,1,0.005,24,1,0.000208,98,1,0.010204,27,1,0.037037,0,0.0
uct-3000-self-play,3000,S41,edge,200,2,0.01,24,2,0.000417,293,2,0.006826,57,2,0.035088,0,0.0
uct-3000-self-play,3000,S42,edge,200,3,0.015,21.333333,11,0.002292,187,3,0.016043,42,3,0.071429,2,0.666667
uct-3000-self-play,3000,S43,edge,200,1,0.005,24,1,0.000208,162,1,0.006173,38,1,0.026316,0,0.0
uct-3000-self-play,3000,S44,corner,200,0,0.0,0.0,0,0.0,74,0,0.0,22,0,0.0,0,0.0
