"board","search_level","threshold","revisit_lag","count","fraction"
"4x4","seeded-random","3","4","199","0.223596"
"4x4","seeded-random","3","5","135","0.151685"
"4x4","seeded-random","3","6","79","0.088764"
"4x4","seeded-random","3","7","43","0.048315"
"4x4","seeded-random","3","8","30","0.033708"
"4x4","seeded-random","3","9","19","0.021348"
"4x4","seeded-random","3","10","16","0.017978"
"4x4","seeded-random","3","11","5","0.005618"
"4x4","seeded-random","3","12","3","0.003371"
"4x4","seeded-random","3","13","4","0.004494"
"4x4","seeded-random","3","14","2","0.002247"
"4x4","seeded-random","3","15","1","0.001124"
"4x4","seeded-random","3","16","1","0.001124"
"4x4","uct-0100","1","1","913","0.418423"
"4x4","uct-0100","1","2","453","0.207608"
"4x4","uct-0100","1","3","310","0.142071"
"4x4","uct-0100","1","4","169","0.077452"
"4x4","uct-0100","1","5","114","0.052246"
"4x4","uct-0100","1","6","68","0.031164"
"4x4","uct-0100","1","7","60","0.027498"
"4x4","uct-0100","1","8","29","0.013291"
"4x4","uct-0100","1","9","18","0.008249"
"4x4","uct-0100","1","10","16","0.007333"
"4x4","uct-0100","1","11","16","0.007333"
"4x4","uct-0100","1","12","10","0.004583"
"4x4","uct-0100","1","13","1","0.000458"
"4x4","uct-0100","1","14","3","0.001375"
"4x4","uct-0100","1","15","1","0.000458"
"4x4","uct-0100","1","17","1","0.000458"
"4x4","uct-0100","2","2","453","0.356974"
"4x4","uct-0100","2","3","310","0.244287"
"4x4","uct-0100","2","4","169","0.133176"
"4x4","uct-0100","2","5","114","0.089835"
"4x4","uct-0100","2","6","68","0.053586"
"4x4","uct-0100","2","7","60","0.047281"
"4x4","uct-0100","2","8","29","0.022853"
"4x4","uct-0100","2","9","18","0.014184"
"4x4","uct-0100","2","10","16","0.012608"
"4x4","uct-0100","2","11","16","0.012608"
"4x4","uct-0100","2","12","10","0.007880"
"4x4","uct-0100","2","13","1","0.000788"
"4x4","uct-0100","2","14","3","0.002364"
"4x4","uct-0100","2","15","1","0.000788"
"4x4","uct-0100","2","17","1","0.000788"
"4x4","uct-0100","3","3","310","0.379902"
"4x4","uct-0100","3","4","169","0.207108"
