"board","experiment_id","search_level","game_index","region","threshold","cycle_index","departure_turn","departure_progress","qualification_turn","endpoint_turn","outcome","revisit_turn","duration","normalized_duration","revisit_lag","normalized_revisit_lag","active_lapsed","right_censored"
"6x6","6x6-seeded-random","seeded-random","69","LM","2","1","25","0.520833","26","33","reactivation_revisit","33","8","0.166667","8","0.166667","true","false"
"6x6","6x6-seeded-random","seeded-random","69","LM","2","2","36","0.750000","37","41","reactivation_revisit","41","5","0.104167","5","0.104167","true","false"
"6x6","6x6-seeded-random","seeded-random","69","LM","2","3","44","0.916667","45","47","persistent_revisit","47","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","2","1","8","0.166667","9","10","persistent_revisit","10","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","2","2","15","0.312500","16","17","persistent_revisit","17","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","2","3","18","0.375000","19","20","persistent_revisit","20","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","2","4","22","0.458333","23","25","persistent_revisit","25","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","2","5","26","0.541667","27","32","reactivation_revisit","32","6","0.125000","6","0.125000","true","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","2","6","33","0.687500","34","38","reactivation_revisit","38","5","0.104167","5","0.104167","true","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","2","7","39","0.812500","40","48","right_censored","","9","0.187500","","","true","true"
"6x6","6x6-seeded-random","seeded-random","69","ML","2","1","32","0.666667","33","34","persistent_revisit","34","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","ML","2","2","37","0.770833","38","39","persistent_revisit","39","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","ML","2","3","41","0.854167","42","44","persistent_revisit","44","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","ML","2","4","45","0.937500","46","48","persistent_revisit","48","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","MM","2","1","13","0.270833","14","15","persistent_revisit","15","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","MM","2","2","19","0.395833","20","28","reactivation_revisit","28","9","0.187500","9","0.187500","true","false"
