"board","search_level","threshold","lag","normalized_lag","at_risk","persistent_revisits","reactivation_revisits","never_revisited_resolved","never_revisited_nonfront_return","right_censored"
"4x4","seeded-random","1","18","0.750000","1","0","0","0","0","0"
"4x4","seeded-random","1","19","0.791667","1","0","0","0","0","1"
"4x4","seeded-random","3","0","0.000000","1167","0","0","0","0","0"
"4x4","seeded-random","3","1","0.041667","1167","0","0","0","0","0"
"4x4","seeded-random","3","2","0.083333","1167","0","0","0","0","73"
"4x4","seeded-random","3","3","0.125000","1094","353","0","0","13","46"
"4x4","seeded-random","3","4","0.166667","682","0","199","0","7","40"
"4x4","seeded-random","3","5","0.208333","436","0","135","0","9","21"
"4x4","seeded-random","3","6","0.250000","271","0","79","0","1","21"
"4x4","seeded-random","3","7","0.291667","170","0","43","0","0","16"
"4x4","seeded-random","3","8","0.333333","111","0","30","0","0","12"
"4x4","seeded-random","3","9","0.375000","69","0","19","0","0","3"
"4x4","seeded-random","3","10","0.416667","47","0","16","0","1","2"
"4x4","seeded-random","3","11","0.458333","28","0","5","0","0","4"
"4x4","seeded-random","3","12","0.500000","19","0","3","0","0","1"
"4x4","seeded-random","3","13","0.541667","15","0","4","0","0","2"
"4x4","seeded-random","3","14","0.583333","9","0","2","0","0","2"
"4x4","seeded-random","3","15","0.625000","5","0","1","0","0","1"
"4x4","seeded-random","3","16","0.666667","3","0","1","0","0","0"
"4x4","seeded-random","3","17","0.708333","2","0","0","0","0","1"
"4x4","seeded-random","3","18","0.750000","1","0","0","0","0","0"
"4x4","seeded-random","3","19","0.791667","1","0","0","0","0","1"
"4x4","uct-0100","2","0","0.000000","1683","0","0","0","0","0"
"4x4","uct-0100","2","1","0.041667","1683","0","0","0","0","95"
"4x4","uct-0100","2","2","0.083333","1588","453","0","22","0","73"
"4x4","uct-0100","2","3","0.125000","1040","310","0","0","13","54"
"4x4","uct-0100","2","4","0.166667","663","0","169","0","7","35"
"4x4","uct-0100","2","5","0.208333","452","0","114","0","5","25"
"4x4","uct-0100","2","6","0.250000","308","0","68","0","0","20"
"4x4","uct-0100","2","7","0.291667","220","0","60","0","0","20"
"4x4","uct-0100","2","8","0.333333","140","0","29","0","1","11"
"4x4","uct-0100","2","9","0.375000","99","0","18","0","4","7"
"4x4","uct-0100","2","10","0.416667","70","0","16","0","0","5"
"4x4","uct-0100","2","11","0.458333","49","0","16","0","0","5"
"4x4","uct-0100","2","12","0.500000","28","0","10","0","0","4"
"4x4","uct-0100","2","13","0.541667","14","0","1","0","1","3"
"4x4","uct-0100","2","14","0.583333","9","0","3","0","0","2"
"4x4","uct-0100","2","15","0.625000","4","0","1","0","0","2"
"4x4","uct-0100","2","16","0.666667","1","0","0","0","0","0"
"4x4","uct-0100","2","17","0.708333","1","0","1","0","0","0"
"4x4","uct-0100","1","0","0.000000","2770","0","0","0","0","151"
"4x4","uct-0100","1","1","0.041667","2619","913","0","0","23","95"
"4x4","uct-0100","1","2","0.083333","1588","453","0","22","0","73"
"4x4","uct-0100","1","3","0.125000","1040","310","0","0","13","54"
"4x4","uct-0100","1","4","0.166667","663","0","169","0","7","35"
"4x4","uct-0100","1","5","0.208333","452","0","114","0","5","25"
"4x4","uct-0100","1","6","0.250000","308","0","68","0","0","20"
"4x4","uct-0100","1","7","0.291667","220","0","60","0","0","20"
"4x4","uct-0100","1","8","0.333333","140","0","29","0","1","11"
"4x4","uct-0100","1","9","0.375000","99","0","18","0","4","7"
"4x4","uct-0100","1","10","0.416667","70","0","16","0","0","5"
"4x4","uct-0100","1","11","0.458333","49","0","16","0","0","5"
"4x4","uct-0100","1","12","0.500000","28","0","10","0","0","4"
"4x4","uct-0100","1","13","0.541667","14","0","1","0","1","3"
"4x4","uct-0100","1","14","0.583333","9","0","3","0","0","2"
"4x4","uct-0100","1","15","0.625000","4","0","1","0","0","2"
"4x4","uct-0100","1","16","0.666667","1","0","0","0","0","0"
"4x4","uct-0100","1","17","0.708333","1","0","1","0","0","0"
"4x4","uct-0100","3","0","0.000000","1113","0","0","0","0","0"
"4x4","uct-0100","3","1","0.041667","1113","0","0","0","0","0"
"4x4","uct-0100","3","2","0.083333","1113","0","0","0","0","73"
"4x4","uct-0100","3","3","0.125000","1040","310","0","0","13","54"
"4x4","uct-0100","3","4","0.166667","663","0","169","0","7","35"
"4x4","uct-0100","3","5","0.208333","452","0","114","0","5","25"
"4x4","uct-0100","3","6","0.250000","308","0","68","0","0","20"
"4x4","uct-0100","3","7","0.291667","220","0","60","0","0","20"
"4x4","uct-0100","3","8","0.333333","140","0","29","0","1","11"
"4x4","uct-0100","3","9","0.375000","99","0","18","0","4","7"
"4x4","uct-0100","3","10","0.416667","70","0","16","0","0","5"
"4x4","uct-0100","3","11","0.458333","49","0","16","0","0","5"
"4x4","uct-0100","3","12","0.500000","28","0","10","0","0","4"
"4x4","uct-0100","3","13","0.541667","14","0","1","0","1","3"
"4x4","uct-0100","3","14","0.583333","9","0","3","0","0","2"
"4x4","uct-0100","3","15","0.625000","4","0","1","0","0","2"
"4x4","uct-0100","3","16","0.666667","1","0","0","0","0","0"
"4x4","uct-0100","3","17","0.708333","1","0","1","0","0","0"
"4x4","uct-0500","2","0","0.000000","1359","0","0","0","0","0"
"4x4","uct-0500","2","1","0.041667","1359","0","0","0","0","88"
"4x4","uct-0500","2","2","0.083333","1271","315","0","39","0","60"
"4x4","uct-0500","2","3","0.125000","857","215","0","0","10","35"
"4x4","uct-0500","2","4","0.166667","597","0","118","0","3","34"
"4x4","uct-0500","2","5","0.208333","442","0","101","0","3","19"
"4x4","uct-0500","2","6","0.250000","319","0","57","0","1","22"
"4x4","uct-0500","2","7","0.291667","239","0","51","0","0","15"
"4x4","uct-0500","2","8","0.333333","173","0","34","0","0","8"
"4x4","uct-0500","2","9","0.375000","131","0","25","0","0","11"
"4x4","uct-0500","2","10","0.416667","95","0","20","0","0","13"
"4x4","uct-0500","2","11","0.458333","62","0","8","0","0","7"
"4x4","uct-0500","2","12","0.500000","47","0","10","0","1","7"
"4x4","uct-0500","2","13","0.541667","29","0","7","0","0","3"
"4x4","uct-0500","2","14","0.583333","19","0","4","0","0","3"
"4x4","uct-0500","2","15","0.625000","12","0","4","0","0","0"
"4x4","uct-0500","2","16","0.666667","8","0","2","0","0","1"
"4x4","uct-0500","2","17","0.708333","5","0","0","0","0","0"
"4x4","uct-0500","2","18","0.750000","5","0","3","0","0","0"
"4x4","uct-0500","2","19","0.791667","2","0","0","0","0","1"
"4x4","uct-0500","2","20","0.833333","1","0","0","0","0","0"
"4x4","uct-0500","2","21","0.875000","1","0","0","0","0","1"
"4x4","uct-0500","1","0","0.000000","2406","0","0","0","0","123"
"4x4","uct-0500","1","1","0.041667","2283","894","0","0","30","88"
"4x4","uct-0500","1","2","0.083333","1271","315","0","39","0","60"
"4x4","uct-0500","1","3","0.125000","857","215","0","0","10","35"
"4x4","uct-0500","1","4","0.166667","597","0","118","0","3","34"
"4x4","uct-0500","1","5","0.208333","442","0","101","0","3","19"
"4x4","uct-0500","1","6","0.250000","319","0","57","0","1","22"
"4x4","uct-0500","1","7","0.291667","239","0","51","0","0","15"
"4x4","uct-0500","1","8","0.333333","173","0","34","0","0","8"
"4x4","uct-0500","1","9","0.375000","131","0","25","0","0","11"
"4x4","uct-0500","1","10","0.416667","95","0","20","0","0","13"
"4x4","uct-0500","1","11","0.458333","62","0","8","0","0","7"
"4x4","uct-0500","1","12","0.500000","47","0","10","0","1","7"
"4x4","uct-0500","1","13","0.541667","29","0","7","0","0","3"
"4x4","uct-0500","1","14","0.583333","19","0","4","0","0","3"
"4x4","uct-0500","1","15","0.625000","12","0","4","0","0","0"
"4x4","uct-0500","1","16","0.666667","8","0","2","0","0","1"
"4x4","uct-0500","1","17","0.708333","5","0","0","0","0","0"
"4x4","uct-0500","1","18","0.750000","5","0","3","0","0","0"
"4x4","uct-0500","1","19","0.791667","2","0","0","0","0","1"
"4x4","uct-0500","1","20","0.833333","1","0","0","0","0","0"
"4x4","uct-0500","1","21","0.875000","1","0","0","0","0","1"
"4x4","uct-0500","3","0","0.000000","917","0","0","0","0","0"
"4x4","uct-0500","3","1","0.041667","917","0","0","0","0","0"
"4x4","uct-0500","3","2","0.083333","917","0","0","0","0","60"
"4x4","uct-0500","3","3","0.125000","857","215","0","0","10","35"
