"board","experiment_id","search_level","game_index","threshold","turns","mean_dormant_active_fronts","dormant_ge1_turn_rate","dormant_ge2_turn_rate","longest_dormant_run","longest_dormant_run_fraction","mean_backlog_size","max_backlog_size","backlog_ge1_turn_rate","backlog_ge2_turn_rate","longest_backlog_run","longest_backlog_run_fraction","qualifying_departures","persistent_revisits","reactivation_revisits","never_revisited","right_censored","revisit_rate_observed","never_revisited_rate_observed","right_censored_rate","simple_end_revisit_rate","mean_revisit_lag","median_revisit_lag","mean_normalized_revisit_lag","distinct_revisited_regions","repeated_revisit_regions","fixed_four_turn_eligible","revisit_within_four_turns_rate","early_departures","early_revisit_within_quarter_rate"
"3x3","3x3-uct-0100","uct-0100","31","3","18","0.166667","0.166667","0.000000","2","0.111111","1.444444","3","0.777778","0.555556","8","0.444444","3","0","1","0","2","1.000000","0.000000","0.666667","0.333333","8.000000","8.000000","0.444444","1","0","1","0.000000","1","0.000000"
"3x3","3x3-uct-0100","uct-0100","32","2","18","0.444444","0.388889","0.055556","3","0.166667","1.000000","2","0.722222","0.277778","10","0.555556","6","5","0","1","0","0.833333","0.166667","0.000000","0.833333","2.400000","2.000000","0.133333","2","2","4","0.750000","2","1.000000"
"3x3","3x3-uct-0100","uct-0100","32","1","18","1.000000","0.722222","0.277778","10","0.555556","1.000000","2","0.722222","0.277778","10","0.555556","10","7","0","1","2","0.875000","0.125000","0.200000","0.700000","2.000000","2.000000","0.111111","2","2","6","0.833333","3","1.000000"
"3x3","3x3-uct-0100","uct-0100","32","3","18","0.111111","0.111111","0.000000","2","0.111111","1.000000","2","0.722222","0.277778","10","0.555556","2","2","0","0","0","1.000000","0.000000","0.000000","1.000000","3.000000","3.000000","0.166667","2","0","2","1.000000","1","1.000000"
"3x3","3x3-uct-0100","uct-0100","33","2","18","1.111111","0.833333","0.277778","15","0.833333","2.666667","5","0.888889","0.777778","16","0.888889","12","5","3","1","3","0.888889","0.111111","0.250000","0.666667","3.250000","3.000000","0.180556","5","2","9","0.777778","5","1.000000"
"3x3","3x3-uct-0100","uct-0100","33","1","18","2.666667","0.888889","0.777778","16","0.888889","2.666667","5","0.888889","0.777778","16","0.888889","28","20","3","1","4","0.958333","0.041667","0.142857","0.821429","1.782609","1.000000","0.099034","8","6","20","0.900000","9","1.000000"
"3x3","3x3-uct-0100","uct-0100","33","3","18","0.444444","0.444444","0.000000","3","0.166667","2.666667","5","0.888889","0.777778","16","0.888889","8","3","3","1","1","0.857143","0.142857","0.125000","0.750000","3.666667","3.500000","0.203704","4","2","7","0.714286","4","1.000000"
"3x3","3x3-uct-0100","uct-0100","34","2","18","0.944444","0.722222","0.222222","8","0.444444","1.888889","3","0.833333","0.722222","15","0.833333","10","3","4","1","2","0.875000","0.125000","0.200000","0.700000","3.857143","4.000000","0.214286","4","3","8","0.375000","5","0.600000"
"3x3","3x3-uct-0100","uct-0100","34","1","18","1.888889","0.833333","0.722222","15","0.833333","1.888889","3","0.833333","0.722222","15","0.833333","17","9","4","2","2","0.866667","0.133333","0.117647","0.764706","2.538462","2.000000","0.141026","6","4","15","0.600000","9","0.777778"
"3x3","3x3-uct-0100","uct-0100","34","3","18","0.388889","0.388889","0.000000","2","0.111111","1.888889","3","0.833333","0.722222","15","0.833333","7","0","4","1","2","0.800000","0.200000","0.285714","0.571429","5.250000","5.500000","0.291667","3","1","6","0.166667","4","0.500000"
"3x3","3x3-uct-0100","uct-0100","35","2","18","0.722222","0.555556","0.166667","3","0.166667","1.555556","3","0.888889","0.555556","16","0.888889","8","4","2","1","1","0.857143","0.142857","0.125000","0.750000","3.666667","3.000000","0.203704","4","2","7","0.428571","4","0.750000"
"3x3","3x3-uct-0100","uct-0100","35","1","18","1.555556","0.888889","0.555556","16","0.888889","1.555556","3","0.888889","0.555556","16","0.888889","15","8","2","2","3","0.833333","0.166667","0.200000","0.666667","2.600000","2.000000","0.144444","6","3","12","0.583333","9","0.777778"
"3x3","3x3-uct-0100","uct-0100","35","3","18","0.277778","0.222222","0.055556","1","0.055556","1.555556","3","0.888889","0.555556","16","0.888889","5","2","2","0","1","1.000000","0.000000","0.200000","0.800000","4.500000","4.000000","0.250000","3","1","5","0.400000","4","0.750000"
"3x3","3x3-uct-0100","uct-0100","36","2","18","0.777778","0.555556","0.166667","7","0.388889","1.888889","4","0.833333","0.555556","13","0.722222","9","3","2","1","3","0.833333","0.166667","0.333333","0.555556","4.000000","3.000000","0.222222","4","1","8","0.375000","4","0.750000"
"3x3","3x3-uct-0100","uct-0100","36","1","18","1.888889","0.833333","0.555556","13","0.722222","1.888889","4","0.833333","0.555556","13","0.722222","20","12","2","2","4","0.875000","0.125000","0.200000","0.700000","2.071429","1.000000","0.115079","6","5","16","0.687500","8","0.875000"
"3x3","3x3-uct-0100","uct-0100","36","3","18","0.277778","0.222222","0.055556","3","0.166667","1.888889","4","0.833333","0.555556","13","0.722222","5","1","2","0","2","1.000000","0.000000","0.400000","0.600000","5.333333","6.000000","0.296296","3","0","5","0.200000","2","0.500000"
