experiment_id,comparison_layer,turn_number,games,games_with_current_leader,current_leader_eventually_wins,current_leader_eventually_loses,eventual_draws_from_current_lead,games_tied_at_turn,current_leader_win_rate,reversal_rate_current_leader_eventually_loses,eventual_draw_rate_from_current_lead
uct-10000-self-play,secured_advantage,15,100,96,46,40,10,4,0.479167,0.416667,0.104167
uct-10000-self-play,secured_advantage,16,100,84,39,37,8,16,0.464286,0.440476,0.095238
uct-10000-self-play,secured_advantage,17,100,96,49,37,10,4,0.510417,0.385417,0.104167
uct-10000-self-play,secured_advantage,18,100,79,47,24,8,21,0.594937,0.303797,0.101266
uct-10000-self-play,secured_advantage,19,100,94,47,37,10,6,0.5,0.393617,0.106383
uct-10000-self-play,secured_advantage,20,100,84,44,30,10,16,0.52381,0.357143,0.119048
uct-10000-self-play,secured_advantage,21,100,94,55,29,10,6,0.585106,0.308511,0.106383
uct-10000-self-play,secured_advantage,22,100,77,48,21,8,23,0.623377,0.272727,0.103896
uct-10000-self-play,secured_advantage,23,100,91,63,20,8,9,0.692308,0.21978,0.087912
uct-10000-self-play,secured_advantage,24,100,83,83,0,0,17,1.0,0.0,0.0
uct-100000-self-play,full_lexicographic,1,97,0,0,0,0,97,,,
uct-100000-self-play,full_lexicographic,2,97,0,0,0,0,97,,,
uct-100000-self-play,full_lexicographic,3,97,91,55,33,3,6,0.604396,0.362637,0.032967
uct-100000-self-play,full_lexicographic,4,97,80,49,29,2,17,0.6125,0.3625,0.025
uct-100000-self-play,full_lexicographic,5,97,95,57,34,4,2,0.6,0.357895,0.042105
uct-100000-self-play,full_lexicographic,6,97,85,51,31,3,12,0.6,0.364706,0.035294
uct-100000-self-play,full_lexicographic,7,97,97,58,35,4,0,0.597938,0.360825,0.041237
