checkpoint_turn,feature,uct_10000_standardized_mean_difference,uct_3000_standardized_mean_difference,direction_agreement,uct_10000_direction,uct_3000_direction
12,leader_cumulative_supply_source_usage,0.31426,0.19416,1,higher_in_reversal,higher_in_reversal
12,leader_cumulative_supply_source_usage_margin,-0.065316,0.043992,0,lower_in_reversal,higher_in_reversal
12,leader_objective_piece_margin,-0.065316,0.043992,0,lower_in_reversal,higher_in_reversal
12,leader_objective_pieces,0.31426,0.19416,1,higher_in_reversal,higher_in_reversal
12,leader_primary_important_control_margin,0.141715,-0.036335,0,higher_in_reversal,lower_in_reversal
12,leader_primary_important_sites_controlled,0.206988,0.115691,1,higher_in_reversal,higher_in_reversal
12,leader_recent_2_all_objective_turn_margin,0.192746,-0.115815,0,higher_in_reversal,lower_in_reversal
12,leader_recent_2_all_supply_turn_margin,0.0,-0.006434,0,no_difference,lower_in_reversal
12,leader_recent_2_important_site_usage,0.382898,-0.002316,0,higher_in_reversal,lower_in_reversal
12,leader_recent_2_important_site_usage_margin,0.137265,-0.056971,0,higher_in_reversal,lower_in_reversal
12,leader_recent_2_mixed_turn_margin,-0.17931,0.10857,0,lower_in_reversal,higher_in_reversal
12,leader_recent_2_objective_placements,0.384398,-0.151758,0,higher_in_reversal,lower_in_reversal
12,leader_recent_2_objective_share_margin,0.113477,-0.098278,0,higher_in_reversal,lower_in_reversal
12,leader_recent_2_supply_placements,-0.384398,0.151758,0,lower_in_reversal,higher_in_reversal
12,leader_recent_2_supply_source_usage_margin,0.113477,-0.098278,0,higher_in_reversal,lower_in_reversal
12,leader_recent_4_all_objective_turn_margin,0.210185,-0.199635,0,higher_in_reversal,lower_in_reversal
12,leader_recent_4_all_supply_turn_margin,0.20974,-0.378781,0,higher_in_reversal,lower_in_reversal
12,leader_recent_4_important_site_usage,0.202186,0.0896,1,higher_in_reversal,higher_in_reversal
12,leader_recent_4_important_site_usage_margin,0.00145,-0.024117,0,higher_in_reversal,lower_in_reversal
12,leader_recent_4_mixed_turn_margin,-0.284989,0.321522,0,lower_in_reversal,higher_in_reversal
12,leader_recent_4_objective_allocation_change_margin,0.259956,-0.055548,0,higher_in_reversal,lower_in_reversal
12,leader_recent_4_objective_placement_margin,-0.126865,-0.087226,1,lower_in_reversal,lower_in_reversal
12,leader_recent_4_objective_placements,0.300278,-0.033203,0,higher_in_reversal,lower_in_reversal
12,leader_recent_4_objective_share_margin,-0.126865,-0.087226,1,lower_in_reversal,lower_in_reversal
12,leader_recent_4_supply_allocation_change,-0.235069,0.183497,0,lower_in_reversal,higher_in_reversal
12,leader_recent_4_supply_allocation_change_margin,-0.259956,0.055548,0,lower_in_reversal,higher_in_reversal
12,leader_recent_4_supply_placements,-0.300278,0.033203,0,lower_in_reversal,higher_in_reversal
12,leader_recent_4_supply_source_usage_margin,-0.126865,-0.087226,1,lower_in_reversal,lower_in_reversal
12,leader_secured_objective_margin,-0.239169,0.072178,0,lower_in_reversal,higher_in_reversal
12,leader_secured_objectives,0.395308,0.216271,1,higher_in_reversal,higher_in_reversal
12,leader_secured_supply,-0.576111,-0.435308,1,lower_in_reversal,lower_in_reversal
12,leader_secured_supply_margin,-0.375303,-0.351462,1,lower_in_reversal,lower_in_reversal
12,leader_trend_2_advantage_objective_margin,-0.412327,-0.12098,1,lower_in_reversal,lower_in_reversal
12,leader_trend_2_important_control_margin,0.075488,0.12887,1,higher_in_reversal,higher_in_reversal
12,leader_trend_2_objective_piece_margin,0.113477,-0.098278,0,higher_in_reversal,lower_in_reversal
12,leader_trend_2_secured_objective_margin,0.271169,0.136205,1,higher_in_reversal,higher_in_reversal
12,leader_trend_2_secured_supply_margin,0.264326,0.157641,1,higher_in_reversal,higher_in_reversal
12,leader_trend_2_support_edge_margin,-0.274333,0.115907,0,lower_in_reversal,higher_in_reversal
12,leader_trend_2_unsecured_control_margin,-0.28815,0.022373,0,lower_in_reversal,higher_in_reversal
