experiment_id,checkpoint_turn,feature,reversal_n,lead_preserved_n,reversal_mean,reversal_median,lead_preserved_mean,lead_preserved_median,standardized_mean_difference,effect_direction,absolute_standardized_difference
uct-10000-self-play,8,leader_trend_2_unsecured_control_margin,38,36,0.0,0.0,-0.166667,0.0,0.206284,higher_in_reversal,0.206284
uct-10000-self-play,8,leader_trend_2_support_edge_margin,38,36,-1.131579,0.0,-0.055556,0.0,-0.394287,lower_in_reversal,0.394287
uct-10000-self-play,8,leader_trend_2_usable_support_edges,38,36,-0.894737,-1.0,0.416667,-0.5,-0.411759,lower_in_reversal,0.411759
uct-10000-self-play,8,opponent_trend_2_usable_support_edges,38,36,0.236842,0.0,0.472222,0.0,-0.078229,lower_in_reversal,0.078229
uct-10000-self-play,8,leader_trend_2_important_control_margin,38,36,0.026316,0.0,-0.138889,0.0,0.229591,higher_in_reversal,0.229591
uct-10000-self-play,8,leader_trend_4_secured_objective_margin,38,36,0.657895,1.0,0.527778,1.0,0.263738,higher_in_reversal,0.263738
uct-10000-self-play,8,leader_trend_4_advantage_objective_margin,38,36,-0.763158,-1.0,-0.666667,-1.0,-0.084961,lower_in_reversal,0.084961
uct-10000-self-play,8,leader_trend_4_objective_piece_margin,38,36,0.447368,0.5,0.25,0.0,0.246537,higher_in_reversal,0.246537
uct-10000-self-play,8,leader_trend_4_secured_supply_margin,38,36,-0.421053,0.0,0.194444,0.0,-0.658506,lower_in_reversal,0.658506
uct-10000-self-play,8,leader_trend_4_unsecured_control_margin,38,36,-0.026316,0.0,-0.444444,0.0,0.36237,higher_in_reversal,0.36237
uct-10000-self-play,8,leader_trend_4_support_edge_margin,38,36,-2.026316,-2.0,-1.583333,-2.0,-0.134439,lower_in_reversal,0.134439
uct-10000-self-play,8,leader_trend_4_usable_support_edges,38,36,-1.131579,-1.0,-1.138889,-1.0,0.001822,higher_in_reversal,0.001822
uct-10000-self-play,8,opponent_trend_4_usable_support_edges,38,36,0.894737,0.5,0.444444,0.0,0.128621,higher_in_reversal,0.128621
uct-10000-self-play,8,leader_trend_4_important_control_margin,38,36,-0.078947,0.0,-0.138889,0.0,0.048702,higher_in_reversal,0.048702
uct-10000-self-play,8,S23_leader_relative_state,38,36,0.078947,0.0,0.083333,0.0,-0.004401,lower_in_reversal,0.004401
uct-10000-self-play,8,S21_leader_relative_state,38,36,-0.263158,0.0,-0.611111,-0.5,0.402065,higher_in_reversal,0.402065
uct-10000-self-play,8,S12_leader_relative_state,38,36,-0.078947,0.0,0.166667,0.0,-0.265188,lower_in_reversal,0.265188
uct-10000-self-play,8,S13_leader_relative_state,38,36,-0.236842,0.0,0.083333,0.0,-0.37102,lower_in_reversal,0.37102
uct-10000-self-play,8,S22_leader_relative_state,38,36,0.236842,0.0,-0.027778,0.0,0.236893,higher_in_reversal,0.236893
uct-10000-self-play,12,leader_secured_objective_margin,37,35,0.648649,1.0,0.8,1.0,-0.239169,lower_in_reversal,0.239169
uct-10000-self-play,12,leader_advantage_objective_margin,37,35,-0.540541,-1.0,-0.628571,-1.0,0.068573,higher_in_reversal,0.068573
uct-10000-self-play,12,leader_objective_piece_margin,37,35,0.351351,0.0,0.4,1.0,-0.065316,lower_in_reversal,0.065316
uct-10000-self-play,12,live_objectives,37,35,12.378378,13.0,13.028571,13.0,-0.514772,lower_in_reversal,0.514772
uct-10000-self-play,12,leader_secured_objectives,37,35,2.135135,2.0,1.885714,2.0,0.395308,higher_in_reversal,0.395308
uct-10000-self-play,12,opponent_secured_objectives,37,35,1.486486,1.0,1.085714,1.0,0.51748,higher_in_reversal,0.51748
uct-10000-self-play,12,leader_advantage_objectives,37,35,0.945946,1.0,1.142857,1.0,-0.24244,lower_in_reversal,0.24244
uct-10000-self-play,12,opponent_advantage_objectives,37,35,1.486486,2.0,1.771429,2.0,-0.320253,lower_in_reversal,0.320253
uct-10000-self-play,12,leader_objective_pieces,37,35,7.72973,7.0,7.2,7.0,0.31426,higher_in_reversal,0.31426
uct-10000-self-play,12,opponent_objective_pieces,37,35,7.378378,7.0,6.8,7.0,0.30109,higher_in_reversal,0.30109
uct-10000-self-play,12,decisive_margin,37,35,1.054054,1.0,1.142857,1.0,-0.298928,lower_in_reversal,0.298928
uct-10000-self-play,12,decisive_layer_secured_objectives,37,35,0.594595,1.0,0.657143,1.0,-0.127659,lower_in_reversal,0.127659
uct-10000-self-play,12,decisive_layer_advantage_objectives,37,35,0.324324,0.0,0.257143,0.0,0.146136,higher_in_reversal,0.146136
uct-10000-self-play,12,decisive_layer_objective_pieces,37,35,0.081081,0.0,0.085714,0.0,-0.01653,lower_in_reversal,0.01653
uct-10000-self-play,12,leader_secured_supply,37,35,0.891892,1.0,1.285714,1.0,-0.576111,lower_in_reversal,0.576111
uct-10000-self-play,12,opponent_secured_supply,37,35,1.081081,1.0,1.085714,1.0,-0.006168,lower_in_reversal,0.006168
uct-10000-self-play,12,leader_secured_supply_margin,37,35,-0.189189,0.0,0.2,0.0,-0.375303,lower_in_reversal,0.375303
uct-10000-self-play,12,leader_unsecured_controlled_supply,37,35,1.594595,2.0,1.257143,1.0,0.348573,higher_in_reversal,0.348573
uct-10000-self-play,12,opponent_unsecured_controlled_supply,37,35,1.756757,2.0,1.857143,2.0,-0.102535,lower_in_reversal,0.102535
uct-10000-self-play,12,leader_unsecured_controlled_supply_margin,37,35,-0.162162,0.0,-0.6,-1.0,0.363735,higher_in_reversal,0.363735
uct-10000-self-play,12,contested_supply_count,37,35,5.405405,5.0,5.542857,5.0,-0.094021,lower_in_reversal,0.094021
uct-10000-self-play,12,leader_usable_supply_support_edges,37,35,5.243243,5.0,6.257143,6.0,-0.411241,lower_in_reversal,0.411241
uct-10000-self-play,12,opponent_usable_supply_support_edges,37,35,7.378378,7.0,8.485714,9.0,-0.502856,lower_in_reversal,0.502856
uct-10000-self-play,12,leader_usable_supply_support_edge_margin,37,35,-2.135135,-2.0,-2.228571,-2.0,0.032903,higher_in_reversal,0.032903
