experiment_id,iteration_limit,game_index,player,player_result_status,supply_point,spatial_category,first_piece_placement_turn,first_control_turn,first_unsecured_control_turn,first_securing_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turns,contested_turns,own_pieces_placed,opponent_pieces_placed,supply_usage_turns,objective_placements_supplied,objective_sites_supplied,objective_sites_supplied_count,adjacent_objective_count,objective_coverage,usage_after_first_control,usage_after_securing,adjacent_live_objectives_at_first_control,adjacent_live_objectives_at_securing,legal_securable_opportunities,ever_securable,securing_opportunities_taken,final_state,final_own_pieces,final_opponent_pieces,final_is_unsecured_controlled,final_is_secured,final_is_controlled_or_secured
uct-10000-self-play,10000,24,1,winner,S23,interior,3,3,3,,1,0,1,0.041667,0.0,0.041667,23,21,1,1,0,0,,0,4,0.0,0,0,4,,10,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,24,2,loser,S23,interior,4,,,,0,0,0,0.0,0.0,0.0,23,21,1,1,0,0,,0,4,0.0,0,0,,,10,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,24,1,winner,S24,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,24,2,loser,S24,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,24,1,winner,S30,edge,23,23,23,,2,0,2,0.083333,0.0,0.083333,22,0,1,0,0,0,,0,2,0.0,0,0,0,,0,false,0,1,1,0,true,false,true
uct-10000-self-play,10000,24,2,loser,S30,edge,,,,,0,0,0,0.0,0.0,0.0,22,0,0,1,0,0,,0,2,0.0,0,0,,,0,false,0,1,0,1,false,false,false
uct-10000-self-play,10000,24,1,winner,S31,interior,15,,,,0,0,0,0.0,0.0,0.0,5,10,2,3,0,0,,0,4,0.0,0,0,,,1,true,0,4,2,3,false,false,false
uct-10000-self-play,10000,24,2,loser,S31,interior,4,4,4,18,12,7,19,0.5,0.291667,0.791667,5,10,3,2,8,8,O20;O21;O30;O31,4,4,1.0,8,3,4,2,7,true,1,4,3,2,false,true,true
uct-10000-self-play,10000,24,1,winner,S32,interior,1,1,1,,7,0,7,0.291667,0.0,0.291667,17,23,2,1,1,1,O32,1,4,0.25,1,0,4,,11,true,0,1,2,1,true,false,true
uct-10000-self-play,10000,24,2,loser,S32,interior,2,,,,0,0,0,0.0,0.0,0.0,17,23,1,2,0,0,,0,4,0.0,0,0,,,11,true,0,1,1,2,false,false,false
uct-10000-self-play,10000,24,1,winner,S33,interior,3,3,3,,13,0,13,0.541667,0.0,0.541667,11,9,1,1,6,6,O22;O23;O32,3,4,0.75,6,0,4,,10,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,24,2,loser,S33,interior,16,,,,0,0,0,0.0,0.0,0.0,11,9,1,1,0,0,,0,4,0.0,0,0,,,4,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,24,1,winner,S34,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,24,2,loser,S34,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,24,1,winner,S40,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,24,2,loser,S40,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,24,1,winner,S41,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,24,2,loser,S41,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,24,1,winner,S42,edge,23,,,,0,0,0,0.0,0.0,0.0,22,2,1,2,0,0,,0,2,0.0,0,0,,,0,false,0,2,1,2,false,false,false
uct-10000-self-play,10000,24,2,loser,S42,edge,22,22,22,,2,0,2,0.083333,0.0,0.083333,22,2,2,1,0,0,,0,2,0.0,0,0,1,,1,true,0,2,2,1,true,false,true
uct-10000-self-play,10000,24,1,winner,S43,edge,,,,,0,0,0,0.0,0.0,0.0,23,0,0,1,0,0,,0,2,0.0,0,0,,,0,false,0,2,0,1,false,false,false
uct-10000-self-play,10000,24,2,loser,S43,edge,24,24,24,,1,0,1,0.041667,0.0,0.041667,23,0,1,0,0,0,,0,2,0.0,0,0,1,,0,false,0,2,1,0,true,false,true
uct-10000-self-play,10000,24,1,winner,S44,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,24,2,loser,S44,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,1,winner,S00,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,2,loser,S00,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,1,winner,S01,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,2,loser,S01,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,1,winner,S02,edge,23,23,23,,1,0,1,0.041667,0.0,0.041667,23,1,1,1,0,0,,0,2,0.0,0,0,0,,0,false,0,0,1,1,false,false,false
uct-10000-self-play,10000,25,2,loser,S02,edge,24,,,,0,0,0,0.0,0.0,0.0,23,1,1,1,0,0,,0,2,0.0,0,0,,,0,false,0,0,1,1,false,false,false
uct-10000-self-play,10000,25,1,winner,S03,edge,21,21,21,,4,0,4,0.166667,0.0,0.166667,20,0,1,0,0,0,,0,2,0.0,0,0,1,,1,true,0,1,1,0,true,false,true
uct-10000-self-play,10000,25,2,loser,S03,edge,,,,,0,0,0,0.0,0.0,0.0,20,0,0,1,0,0,,0,2,0.0,0,0,,,0,false,0,1,0,1,false,false,false
uct-10000-self-play,10000,25,1,winner,S04,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,2,loser,S04,corner,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,1,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,1,winner,S10,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,2,loser,S10,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
