"board","search_level","censor_mode","metric","games","value","ci_low","ci_high","primary"
"4x4","uct-0500","0.1","mechanically_closed_rate","100","0.008206","0.001667","0.016095","false"
"4x4","uct-0500","0.1","resolved_or_settled_rate","100","0.786802","0.755544","0.817845","false"
"4x4","uct-0500","0.1","end_censored_rate","100","0.088738","0.067937","0.108972","false"
"4x4","uct-0500","0.1","selectively_abandoned_rate","100","0.116254","0.094417","0.139127","false"
"4x4","uct-0500","0.2","final_band_survival_rate","100","0.795833","0.769746","0.820694","false"
"4x4","uct-0500","0.2","mechanically_closed_rate","100","0.008206","0.002000","0.016111","false"
"4x4","uct-0500","0.2","resolved_or_settled_rate","100","0.786802","0.755913","0.816992","false"
"4x4","uct-0500","0.2","end_censored_rate","100","0.125706","0.099683","0.151679","false"
"4x4","uct-0500","0.2","selectively_abandoned_rate","100","0.079286","0.061345","0.099198","false"
"4x4","uct-1000","turns4","final_band_survival_rate","100","0.768052","0.737040","0.796873","true"
"4x4","uct-1000","turns4","mechanically_closed_rate","100","0.010036","0.002679","0.019393","true"
"4x4","uct-1000","turns4","resolved_or_settled_rate","100","0.813179","0.780857","0.845024","true"
"4x4","uct-1000","turns4","end_censored_rate","100","0.088067","0.066988","0.109313","true"
"4x4","uct-1000","turns4","selectively_abandoned_rate","100","0.088718","0.067254","0.109135","true"
"4x4","uct-1000","0.1","final_band_survival_rate","100","0.768052","0.737377","0.795357","false"
"4x4","uct-1000","0.1","mechanically_closed_rate","100","0.010036","0.002679","0.018821","false"
"4x4","uct-1000","0.1","resolved_or_settled_rate","100","0.813179","0.782988","0.844262","false"
"4x4","uct-1000","0.1","end_censored_rate","100","0.067258","0.048464","0.087302","false"
"4x4","uct-1000","0.1","selectively_abandoned_rate","100","0.109528","0.085770","0.135599","false"
"4x4","uct-1000","0.2","final_band_survival_rate","100","0.768052","0.736881","0.796528","false"
"4x4","uct-1000","0.2","mechanically_closed_rate","100","0.010036","0.002679","0.018536","false"
"4x4","uct-1000","0.2","resolved_or_settled_rate","100","0.813179","0.783429","0.844417","false"
"4x4","uct-1000","0.2","end_censored_rate","100","0.102746","0.081952","0.124940","false"
"4x4","uct-1000","0.2","selectively_abandoned_rate","100","0.074040","0.053972","0.096599","false"
"6x6","seeded-random","turns4","final_band_survival_rate","100","0.983194","0.973194","0.991111","false"
"6x6","seeded-random","turns4","mechanically_closed_rate","100","0.000000","0.000000","0.000000","false"
"6x6","seeded-random","turns4","resolved_or_settled_rate","100","0.447976","0.425575","0.471706","false"
"6x6","seeded-random","turns4","end_censored_rate","100","0.322222","0.297341","0.347024","false"
"6x6","seeded-random","turns4","selectively_abandoned_rate","100","0.229801","0.207718","0.251409","false"
"6x6","seeded-random","0.1","final_band_survival_rate","100","0.983194","0.973333","0.992083","false"
