"board","experiment_id","search_level","game_index","censor_mode","cohort_regions","final_band_survival_rate","mechanically_closed_rate","resolved_or_settled_rate","end_censored_rate","selectively_abandoned_rate"
"3x3","3x3-seeded-random","seeded-random","29","0.1","6","0.833333","0.000000","0.333333","0.333333","0.333333"
"3x3","3x3-seeded-random","seeded-random","29","0.2","6","0.833333","0.000000","0.333333","0.500000","0.166667"
"3x3","3x3-seeded-random","seeded-random","30","turns4","6","0.833333","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","30","0.1","6","0.833333","0.000000","0.500000","0.000000","0.500000"
"3x3","3x3-seeded-random","seeded-random","30","0.2","6","0.833333","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","31","turns4","5","0.800000","0.000000","0.800000","0.200000","0.000000"
"3x3","3x3-seeded-random","seeded-random","31","0.1","5","0.800000","0.000000","0.800000","0.200000","0.000000"
"3x3","3x3-seeded-random","seeded-random","31","0.2","5","0.800000","0.000000","0.800000","0.200000","0.000000"
"3x3","3x3-seeded-random","seeded-random","32","turns4","7","0.714286","0.000000","0.714286","0.142857","0.142857"
"3x3","3x3-seeded-random","seeded-random","32","0.1","7","0.714286","0.000000","0.714286","0.000000","0.285714"
"3x3","3x3-seeded-random","seeded-random","32","0.2","7","0.714286","0.000000","0.714286","0.142857","0.142857"
"3x3","3x3-seeded-random","seeded-random","33","turns4","5","1.000000","0.000000","0.400000","0.600000","0.000000"
"3x3","3x3-seeded-random","seeded-random","33","0.1","5","1.000000","0.000000","0.400000","0.400000","0.200000"
"3x3","3x3-seeded-random","seeded-random","33","0.2","5","1.000000","0.000000","0.400000","0.600000","0.000000"
"3x3","3x3-seeded-random","seeded-random","34","turns4","6","0.833333","0.000000","0.666667","0.333333","0.000000"
"3x3","3x3-seeded-random","seeded-random","34","0.1","6","0.833333","0.000000","0.666667","0.166667","0.166667"
"3x3","3x3-seeded-random","seeded-random","34","0.2","6","0.833333","0.000000","0.666667","0.333333","0.000000"
"3x3","3x3-seeded-random","seeded-random","35","turns4","6","1.000000","0.000000","0.500000","0.500000","0.000000"
"3x3","3x3-seeded-random","seeded-random","35","0.1","6","1.000000","0.000000","0.500000","0.166667","0.333333"
"3x3","3x3-seeded-random","seeded-random","35","0.2","6","1.000000","0.000000","0.500000","0.500000","0.000000"
"3x3","3x3-seeded-random","seeded-random","36","turns4","8","0.875000","0.000000","0.625000","0.375000","0.000000"
"3x3","3x3-seeded-random","seeded-random","36","0.1","8","0.875000","0.000000","0.625000","0.000000","0.375000"
"3x3","3x3-seeded-random","seeded-random","36","0.2","8","0.875000","0.000000","0.625000","0.375000","0.000000"
"3x3","3x3-seeded-random","seeded-random","37","turns4","6","1.000000","0.000000","0.500000","0.500000","0.000000"
"3x3","3x3-seeded-random","seeded-random","37","0.1","6","1.000000","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","37","0.2","6","1.000000","0.000000","0.500000","0.500000","0.000000"
"3x3","3x3-seeded-random","seeded-random","38","turns4","7","0.714286","0.142857","0.285714","0.285714","0.285714"
"3x3","3x3-seeded-random","seeded-random","38","0.1","7","0.714286","0.142857","0.285714","0.142857","0.428571"
"3x3","3x3-seeded-random","seeded-random","38","0.2","7","0.714286","0.142857","0.285714","0.285714","0.285714"
"3x3","3x3-seeded-random","seeded-random","39","turns4","4","1.000000","0.000000","0.750000","0.250000","0.000000"
"3x3","3x3-seeded-random","seeded-random","39","0.1","4","1.000000","0.000000","0.750000","0.000000","0.250000"
"3x3","3x3-seeded-random","seeded-random","39","0.2","4","1.000000","0.000000","0.750000","0.250000","0.000000"
"3x3","3x3-seeded-random","seeded-random","40","turns4","6","0.833333","0.000000","0.666667","0.166667","0.166667"
"3x3","3x3-seeded-random","seeded-random","40","0.1","6","0.833333","0.000000","0.666667","0.166667","0.166667"
"3x3","3x3-seeded-random","seeded-random","40","0.2","6","0.833333","0.000000","0.666667","0.166667","0.166667"
"3x3","3x3-seeded-random","seeded-random","41","turns4","4","0.750000","0.000000","0.250000","0.500000","0.250000"
"3x3","3x3-seeded-random","seeded-random","41","0.1","4","0.750000","0.000000","0.250000","0.250000","0.500000"
"3x3","3x3-seeded-random","seeded-random","41","0.2","4","0.750000","0.000000","0.250000","0.500000","0.250000"
"3x3","3x3-seeded-random","seeded-random","42","turns4","4","1.000000","0.000000","0.750000","0.250000","0.000000"
"3x3","3x3-seeded-random","seeded-random","42","0.1","4","1.000000","0.000000","0.750000","0.000000","0.250000"
"3x3","3x3-seeded-random","seeded-random","42","0.2","4","1.000000","0.000000","0.750000","0.250000","0.000000"
"3x3","3x3-seeded-random","seeded-random","43","turns4","4","1.000000","0.000000","0.750000","0.250000","0.000000"
"3x3","3x3-seeded-random","seeded-random","43","0.1","4","1.000000","0.000000","0.750000","0.000000","0.250000"
"3x3","3x3-seeded-random","seeded-random","43","0.2","4","1.000000","0.000000","0.750000","0.250000","0.000000"
"3x3","3x3-seeded-random","seeded-random","44","turns4","8","0.875000","0.000000","0.625000","0.250000","0.125000"
"3x3","3x3-seeded-random","seeded-random","44","0.1","8","0.875000","0.000000","0.625000","0.125000","0.250000"
