"board","experiment_id","search_level","game_index","band","mean_active_fronts","mean_dormant_fronts","mean_backlog","multi_active_turn_rate","multi_unattended_turn_rate","decline_from_game_peak","placement_entropy","opportunity_entropy","entropy_gap","placement_hhi","opportunity_hhi","hhi_gap","placement_largest_share","opportunity_largest_share","largest_share_gap","placement_top_two_share","opportunity_top_two_share","top_two_share_gap","placement_regions","opportunity_regions"
"3x3","3x3-seeded-random","seeded-random","8","4","5.400000","1.800000","3.200000","1.000000","1.000000","0.600000","0.735953","0.970314","-0.234362","0.226667","0.126614","0.100053","0.333333","0.204082","0.129252","0.600000","0.346939","0.253061","6","9"
"3x3","3x3-seeded-random","seeded-random","9","1","0.750000","0.000000","0.250000","0.250000","0.000000","4.250000","0.775775","0.963367","-0.187592","0.194444","0.129956","0.064489","0.250000","0.213333","0.036667","0.500000","0.346667","0.153333","6","9"
"3x3","3x3-seeded-random","seeded-random","9","2","2.800000","0.400000","1.200000","1.000000","0.400000","2.200000","0.804201","0.982148","-0.177948","0.200000","0.120781","0.079219","0.333333","0.192661","0.140673","0.533333","0.321101","0.212232","7","9"
"3x3","3x3-seeded-random","seeded-random","9","3","4.250000","1.000000","2.250000","1.000000","1.000000","0.750000","0.815465","0.980689","-0.165224","0.166667","0.121152","0.045515","0.166667","0.183908","-0.017241","0.333333","0.321839","0.011494","6","9"
"3x3","3x3-seeded-random","seeded-random","9","4","2.800000","0.800000","1.600000","1.000000","0.400000","2.200000","0.838053","0.963704","-0.125651","0.173333","0.129477","0.043857","0.266667","0.202020","0.064646","0.466667","0.353535","0.113131","7","9"
"3x3","3x3-seeded-random","seeded-random","10","1","1.000000","0.000000","0.250000","0.500000","0.000000","6.000000","0.720572","0.952633","-0.232061","0.250000","0.136048","0.113952","0.416667","0.232877","0.183790","0.583333","0.369863","0.213470","6","9"
"3x3","3x3-seeded-random","seeded-random","10","2","3.000000","0.600000","1.400000","1.000000","0.400000","4.000000","0.838053","0.965074","-0.127021","0.173333","0.129679","0.043655","0.266667","0.217391","0.049275","0.466667","0.347826","0.118841","7","9"
"3x3","3x3-seeded-random","seeded-random","10","3","5.750000","1.250000","3.250000","1.000000","1.000000","1.250000","0.815465","0.971374","-0.155909","0.194444","0.126090","0.068354","0.333333","0.200000","0.133333","0.500000","0.341176","0.158824","7","9"
"3x3","3x3-seeded-random","seeded-random","10","4","4.800000","2.000000","3.000000","1.000000","0.800000","2.200000","0.848363","0.971983","-0.123620","0.164444","0.126000","0.038444","0.200000","0.200000","0.000000","0.400000","0.350000","0.050000","7","9"
"3x3","3x3-seeded-random","seeded-random","11","1","0.750000","0.000000","0.250000","0.000000","0.000000","4.250000","0.828352","0.956852","-0.128499","0.180556","0.135289","0.045267","0.250000","0.240000","0.010000","0.500000","0.373333","0.126667","7","9"
"3x3","3x3-seeded-random","seeded-random","11","2","3.000000","1.200000","1.800000","1.000000","0.600000","2.000000","0.780115","0.970049","-0.189935","0.226667","0.126806","0.099861","0.400000","0.208333","0.191667","0.533333","0.333333","0.200000","7","9"
"3x3","3x3-seeded-random","seeded-random","11","3","3.250000","0.750000","1.750000","1.000000","0.750000","1.750000","0.900775","0.957900","-0.057126","0.152778","0.133287","0.019491","0.250000","0.223529","0.026471","0.416667","0.364706","0.051961","8","9"
"3x3","3x3-seeded-random","seeded-random","11","4","4.400000","1.600000","2.400000","1.000000","1.000000","0.600000","0.838053","0.900174","-0.062121","0.173333","0.152099","0.021235","0.266667","0.244444","0.022222","0.466667","0.411111","0.055556","7","8"
"3x3","3x3-seeded-random","seeded-random","12","1","1.500000","0.000000","0.500000","0.500000","0.000000","5.500000","0.710310","0.945691","-0.235381","0.222222","0.140818","0.081404","0.333333","0.250000","0.083333","0.500000","0.375000","0.125000","5","9"
"3x3","3x3-seeded-random","seeded-random","12","2","3.800000","1.000000","2.400000","1.000000","0.800000","3.200000","0.922177","0.962414","-0.040237","0.137778","0.131218","0.006560","0.200000","0.223214","-0.023214","0.333333","0.357143","-0.023810","8","9"
