"board","experiment_id","search_level","game_index","late_objective_placements","target_state_changed_rate","local_lead_changed_rate","contributes_to_securing_rate","global_comparison_changed_rate","global_outcome_still_mutable_rate","region_outcome_fixed_before_rate"
"3x3","3x3-uct-0100","uct-0100","8","4","0.750000","0.250000","0.500000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","9","9","1.000000","0.222222","0.666667","0.111111","0.777778","0.222222"
"3x3","3x3-uct-0100","uct-0100","10","9","1.000000","0.444444","0.333333","0.111111","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","11","4","1.000000","0.250000","0.750000","0.000000","0.500000","0.000000"
"3x3","3x3-uct-0100","uct-0100","12","10","0.800000","0.300000","0.300000","0.500000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","13","7","0.714286","0.142857","0.714286","0.285714","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","14","7","0.714286","0.428571","0.285714","0.000000","0.857143","0.142857"
"3x3","3x3-uct-0100","uct-0100","15","10","0.800000","0.400000","0.500000","0.300000","1.000000","0.200000"
"3x3","3x3-uct-0100","uct-0100","16","7","1.000000","0.428571","0.714286","0.142857","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","17","8","1.000000","0.375000","0.750000","0.125000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","18","5","1.000000","0.200000","0.800000","0.200000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","19","11","1.000000","0.272727","0.363636","0.000000","0.818182","0.181818"
"3x3","3x3-uct-0100","uct-0100","20","6","0.666667","0.333333","0.166667","0.000000","1.000000","0.166667"
"3x3","3x3-uct-0100","uct-0100","21","10","1.000000","0.300000","0.700000","0.100000","1.000000","0.200000"
"3x3","3x3-uct-0100","uct-0100","22","10","0.800000","0.300000","0.400000","0.200000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","23","7","0.714286","0.142857","0.428571","0.142857","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","24","7","0.857143","0.285714","0.428571","0.000000","1.000000","0.285714"
"3x3","3x3-uct-0100","uct-0100","25","10","1.000000","0.500000","0.300000","0.100000","1.000000","0.100000"
"3x3","3x3-uct-0100","uct-0100","26","14","0.714286","0.214286","0.357143","0.500000","1.000000","0.071429"
"3x3","3x3-uct-0100","uct-0100","27","7","1.000000","0.428571","0.428571","0.285714","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","28","13","1.000000","0.384615","0.538462","0.307692","1.000000","0.076923"
"3x3","3x3-uct-0100","uct-0100","29","8","0.875000","0.250000","0.375000","0.000000","1.000000","0.250000"
"3x3","3x3-uct-0100","uct-0100","30","5","0.800000","0.600000","0.400000","0.400000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","31","8","0.875000","0.750000","0.250000","0.000000","0.750000","0.000000"
"3x3","3x3-uct-0100","uct-0100","32","9","1.000000","0.333333","0.666667","0.111111","1.000000","0.222222"
"3x3","3x3-uct-0100","uct-0100","33","8","0.500000","0.125000","0.375000","0.000000","1.000000","0.125000"
"3x3","3x3-uct-0100","uct-0100","34","9","0.888889","0.222222","0.555556","0.222222","1.000000","0.111111"
"3x3","3x3-uct-0100","uct-0100","35","6","0.833333","0.500000","0.333333","0.000000","0.833333","0.166667"
"3x3","3x3-uct-0100","uct-0100","36","10","1.000000","0.700000","0.200000","0.400000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","37","10","1.000000","0.500000","0.400000","0.100000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","38","11","0.818182","0.545455","0.090909","0.363636","1.000000","0.090909"
"3x3","3x3-uct-0100","uct-0100","39","6","1.000000","0.500000","0.666667","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","40","10","0.800000","0.500000","0.300000","0.000000","0.900000","0.000000"
"3x3","3x3-uct-0100","uct-0100","41","7","0.857143","0.428571","0.285714","0.142857","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","42","11","0.818182","0.090909","0.636364","0.090909","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","43","11","0.818182","0.272727","0.454545","0.090909","1.000000","0.272727"
"3x3","3x3-uct-0100","uct-0100","44","8","0.875000","0.500000","0.250000","0.125000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","45","8","0.875000","0.500000","0.375000","0.500000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","46","8","0.875000","0.250000","0.625000","0.125000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","47","8","1.000000","0.500000","0.500000","0.125000","1.000000","0.250000"
"3x3","3x3-uct-0100","uct-0100","48","10","1.000000","0.400000","0.400000","0.200000","1.000000","0.100000"
"3x3","3x3-uct-0100","uct-0100","49","6","1.000000","0.333333","0.666667","0.166667","1.000000","0.166667"
"3x3","3x3-uct-0100","uct-0100","50","5","0.600000","0.200000","0.400000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","51","9","1.000000","0.333333","0.555556","0.222222","1.000000","0.222222"
"3x3","3x3-uct-0100","uct-0100","52","10","1.000000","0.400000","0.400000","0.100000","1.000000","0.100000"
"3x3","3x3-uct-0100","uct-0100","53","8","1.000000","0.500000","0.375000","0.000000","1.000000","0.125000"
"3x3","3x3-uct-0100","uct-0100","54","11","0.818182","0.454545","0.363636","0.272727","1.000000","0.181818"
"3x3","3x3-uct-0100","uct-0100","55","9","0.888889","0.111111","0.777778","0.222222","1.000000","0.111111"
"3x3","3x3-uct-0100","uct-0100","56","10","0.900000","0.100000","0.700000","0.200000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","57","4","1.000000","0.250000","0.750000","0.250000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","58","9","0.888889","0.444444","0.111111","0.444444","1.000000","0.111111"
"3x3","3x3-uct-0100","uct-0100","59","9","0.444444","0.111111","0.333333","0.111111","1.000000","0.111111"
"3x3","3x3-uct-0100","uct-0100","60","7","0.857143","0.428571","0.428571","0.285714","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","61","9","0.888889","0.444444","0.555556","0.333333","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","62","5","0.800000","0.200000","0.400000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","63","7","1.000000","0.428571","0.428571","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","64","11","1.000000","0.454545","0.636364","0.363636","1.000000","0.181818"
"3x3","3x3-uct-0100","uct-0100","65","6","1.000000","0.333333","0.500000","0.166667","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","66","8","0.875000","0.375000","0.375000","0.250000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","67","11","0.909091","0.363636","0.454545","0.090909","1.000000","0.090909"
"3x3","3x3-uct-0100","uct-0100","68","7","0.714286","0.142857","0.571429","0.142857","0.857143","0.142857"
"3x3","3x3-uct-0100","uct-0100","69","9","1.000000","0.555556","0.444444","0.222222","0.888889","0.000000"
"3x3","3x3-uct-0100","uct-0100","70","9","0.888889","0.222222","0.555556","0.222222","1.000000","0.111111"
"3x3","3x3-uct-0100","uct-0100","71","6","0.666667","0.666667","0.166667","0.000000","0.833333","0.166667"
"3x3","3x3-uct-0100","uct-0100","72","4","1.000000","0.500000","0.000000","0.000000","0.250000","0.000000"
"3x3","3x3-uct-0100","uct-0100","73","8","1.000000","0.625000","0.375000","0.000000","0.750000","0.000000"
"3x3","3x3-uct-0100","uct-0100","74","8","0.750000","0.125000","0.625000","0.000000","1.000000","0.125000"
"3x3","3x3-uct-0100","uct-0100","75","9","0.777778","0.555556","0.111111","0.222222","0.777778","0.111111"
"3x3","3x3-uct-0100","uct-0100","76","8","1.000000","0.250000","0.375000","0.375000","0.875000","0.000000"
"3x3","3x3-uct-0100","uct-0100","77","10","0.800000","0.400000","0.400000","0.300000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","78","7","0.857143","0.571429","0.285714","0.428571","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","79","6","0.666667","0.500000","0.166667","0.000000","0.833333","0.166667"
"3x3","3x3-uct-0100","uct-0100","80","8","1.000000","0.250000","0.750000","0.125000","1.000000","0.125000"
"3x3","3x3-uct-0100","uct-0100","81","10","0.900000","0.500000","0.400000","0.300000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","82","8","0.875000","0.250000","0.500000","0.375000","1.000000","0.125000"
"3x3","3x3-uct-0100","uct-0100","83","10","1.000000","0.400000","0.600000","0.300000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","84","9","0.888889","0.333333","0.444444","0.000000","1.000000","0.111111"
"3x3","3x3-uct-0100","uct-0100","85","8","1.000000","0.250000","0.750000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","86","10","1.000000","0.400000","0.500000","0.100000","1.000000","0.100000"
"3x3","3x3-uct-0100","uct-0100","87","9","0.888889","0.444444","0.222222","0.333333","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","88","7","0.857143","0.285714","0.285714","0.285714","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","89","6","1.000000","0.666667","0.166667","0.166667","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","90","11","1.000000","0.454545","0.454545","0.363636","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","91","4","0.750000","0.500000","0.250000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","92","11","0.727273","0.181818","0.454545","0.090909","1.000000","0.090909"
"3x3","3x3-uct-0100","uct-0100","93","6","1.000000","0.666667","0.500000","0.166667","1.000000","0.166667"
"3x3","3x3-uct-0100","uct-0100","94","13","0.923077","0.461538","0.307692","0.230769","1.000000","0.076923"
"3x3","3x3-uct-0100","uct-0100","95","4","1.000000","0.500000","0.500000","0.000000","0.500000","0.000000"
"3x3","3x3-uct-0100","uct-0100","96","5","1.000000","0.600000","0.400000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","97","7","0.857143","0.571429","0.000000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","98","5","1.000000","0.400000","0.800000","0.000000","1.000000","0.200000"
"3x3","3x3-uct-0100","uct-0100","99","13","1.000000","0.307692","0.615385","0.230769","1.000000","0.000000"
"3x3","3x3-uct-0100","uct-0100","100","10","1.000000","0.600000","0.400000","0.400000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","1","8","0.750000","0.500000","0.125000","0.000000","0.875000","0.000000"
"3x3","3x3-uct-0500","uct-0500","2","11","0.909091","0.363636","0.454545","0.090909","1.000000","0.090909"
"3x3","3x3-uct-0500","uct-0500","3","10","1.000000","0.600000","0.300000","0.100000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","4","4","1.000000","0.250000","0.750000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","5","3","0.666667","0.333333","0.000000","0.000000","0.666667","0.000000"
"3x3","3x3-uct-0500","uct-0500","6","4","0.500000","0.000000","0.500000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","7","7","0.857143","0.142857","0.571429","0.285714","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","8","8","0.750000","0.500000","0.000000","0.000000","0.875000","0.125000"
"3x3","3x3-uct-0500","uct-0500","9","3","0.666667","0.333333","0.333333","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","10","10","0.900000","0.400000","0.500000","0.100000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","11","9","0.888889","0.222222","0.333333","0.555556","1.000000","0.111111"
"3x3","3x3-uct-0500","uct-0500","12","6","0.833333","0.000000","0.833333","0.333333","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","13","11","0.818182","0.545455","0.181818","0.454545","1.000000","0.090909"
"3x3","3x3-uct-0500","uct-0500","14","8","1.000000","0.375000","0.500000","0.250000","0.875000","0.000000"
"3x3","3x3-uct-0500","uct-0500","15","11","0.909091","0.272727","0.545455","0.000000","1.000000","0.181818"
"3x3","3x3-uct-0500","uct-0500","16","6","0.666667","0.500000","0.166667","0.000000","0.833333","0.166667"
"3x3","3x3-uct-0500","uct-0500","17","6","0.833333","0.500000","0.166667","0.000000","0.833333","0.333333"
"3x3","3x3-uct-0500","uct-0500","18","5","0.800000","0.200000","0.600000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","19","7","0.714286","0.571429","0.285714","0.142857","0.857143","0.142857"
"3x3","3x3-uct-0500","uct-0500","20","9","0.888889","0.444444","0.333333","0.000000","1.000000","0.111111"
"3x3","3x3-uct-0500","uct-0500","21","3","0.666667","0.333333","0.333333","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","22","6","0.833333","0.333333","0.333333","0.000000","1.000000","0.166667"
"3x3","3x3-uct-0500","uct-0500","23","8","0.875000","0.375000","0.250000","0.500000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","24","6","0.833333","0.333333","0.666667","0.500000","1.000000","0.000000"
