"board","search_level","band","metric","games","value","ci_low","ci_high","primary"
"3x3","uct-0100","3","mean_dormant_fronts","100","1.115000","1.025000","1.202500","false"
"3x3","uct-0100","3","mean_backlog","100","2.315000","2.185000","2.450000","false"
"3x3","uct-0100","3","multi_active_turn_rate","100","0.995000","0.987500","1.000000","false"
"3x3","uct-0100","3","multi_unattended_turn_rate","100","0.785000","0.740000","0.830000","false"
"3x3","uct-0100","3","decline_from_game_peak","100","1.587500","1.417500","1.767500","false"
"3x3","uct-0100","3","placement_entropy","100","0.807565","0.794239","0.822084","false"
"3x3","uct-0100","3","opportunity_entropy","100","0.965278","0.962543","0.967757","false"
"3x3","uct-0100","3","entropy_gap","100","-0.157713","-0.172288","-0.143134","false"
"3x3","uct-0100","3","placement_hhi","100","0.191250","0.184167","0.198611","false"
"3x3","uct-0100","3","opportunity_hhi","100","0.129055","0.127888","0.130220","false"
"3x3","uct-0100","3","hhi_gap","100","0.062195","0.054762","0.069907","false"
"3x3","uct-0100","3","placement_largest_share","100","0.278333","0.265000","0.292500","false"
"3x3","uct-0100","3","opportunity_largest_share","100","0.212087","0.208156","0.215780","false"
"3x3","uct-0100","3","largest_share_gap","100","0.066246","0.051726","0.081115","false"
"3x3","uct-0100","3","placement_top_two_share","100","0.484167","0.465000","0.502500","false"
"3x3","uct-0100","3","opportunity_top_two_share","100","0.349075","0.344883","0.353213","false"
"3x3","uct-0100","3","top_two_share_gap","100","0.135091","0.116580","0.153698","false"
"3x3","uct-0100","3","placement_regions","100","6.690000","6.500000","6.870000","false"
"3x3","uct-0100","3","opportunity_regions","100","8.980000","8.950000","9.000000","false"
"3x3","uct-0100","4","mean_active_fronts","100","4.556000","4.376000","4.736000","false"
"3x3","uct-0100","4","mean_dormant_fronts","100","1.290000","1.198000","1.374000","false"
"3x3","uct-0100","4","mean_backlog","100","2.550000","2.418000","2.688000","false"
"3x3","uct-0100","4","multi_active_turn_rate","100","0.992000","0.982000","1.000000","false"
