"board","search_level","turn_number","metric","games","value","ci_low","ci_high","primary"
"3x3","uct-0100","9","decline_from_game_peak","100","1.950000","1.730000","2.170000","false"
"3x3","uct-0100","10","active_fronts","100","4.050000","3.830000","4.260000","false"
"3x3","uct-0100","10","dormant_fronts","100","1.070000","0.920000","1.230000","false"
"3x3","uct-0100","10","backlog","100","2.180000","1.990000","2.360000","false"
"3x3","uct-0100","10","decline_from_game_peak","100","1.730000","1.510000","1.960000","false"
"3x3","uct-0100","11","active_fronts","100","4.150000","3.910000","4.370000","false"
"3x3","uct-0100","11","dormant_fronts","100","1.150000","0.990000","1.320000","false"
"3x3","uct-0100","11","backlog","100","2.350000","2.160000","2.560000","false"
"3x3","uct-0100","11","decline_from_game_peak","100","1.630000","1.420000","1.850000","false"
"3x3","uct-0100","12","active_fronts","100","4.160000","3.930000","4.390000","false"
"3x3","uct-0100","12","dormant_fronts","100","1.010000","0.850000","1.170000","false"
"3x3","uct-0100","12","backlog","100","2.190000","2.000000","2.390000","false"
"3x3","uct-0100","12","decline_from_game_peak","100","1.620000","1.400000","1.850000","false"
"3x3","uct-0100","13","active_fronts","100","4.410000","4.180000","4.630000","false"
"3x3","uct-0100","13","dormant_fronts","100","1.230000","1.060000","1.400000","false"
"3x3","uct-0100","13","backlog","100","2.540000","2.340000","2.730000","false"
"3x3","uct-0100","13","decline_from_game_peak","100","1.370000","1.180000","1.580000","false"
"3x3","uct-0100","14","active_fronts","100","4.620000","4.390000","4.840000","false"
"3x3","uct-0100","14","dormant_fronts","100","1.380000","1.190000","1.580000","false"
"3x3","uct-0100","14","backlog","100","2.610000","2.390000","2.840000","false"
"3x3","uct-0100","14","decline_from_game_peak","100","1.160000","0.960000","1.370000","false"
"3x3","uct-0100","15","active_fronts","100","4.490000","4.230000","4.740000","false"
"3x3","uct-0100","15","dormant_fronts","100","1.150000","0.970000","1.340000","false"
"3x3","uct-0100","15","backlog","100","2.520000","2.290000","2.730000","false"
"3x3","uct-0100","15","decline_from_game_peak","100","1.290000","1.100000","1.480000","false"
"3x3","uct-0100","16","active_fronts","100","4.540000","4.280000","4.790000","false"
"3x3","uct-0100","16","dormant_fronts","100","1.240000","1.060000","1.410000","false"
"3x3","uct-0100","16","backlog","100","2.560000","2.340000","2.770000","false"
"3x3","uct-0100","16","decline_from_game_peak","100","1.240000","1.040000","1.440000","false"
"3x3","uct-0100","17","active_fronts","100","4.590000","4.360000","4.820000","false"
"3x3","uct-0100","17","dormant_fronts","100","1.420000","1.250000","1.590000","false"
"3x3","uct-0100","17","backlog","100","2.600000","2.390000","2.810000","false"
"3x3","uct-0100","17","decline_from_game_peak","100","1.190000","1.000000","1.380000","false"
"3x3","uct-0100","18","active_fronts","100","4.540000","4.320000","4.760000","false"
"3x3","uct-0100","18","dormant_fronts","100","1.260000","1.110000","1.410000","false"
"3x3","uct-0100","18","backlog","100","2.460000","2.270000","2.660000","false"
"3x3","uct-0100","18","decline_from_game_peak","100","1.240000","1.030000","1.460000","false"
"3x3","uct-0500","1","active_fronts","100","0.000000","0.000000","0.000000","false"
"3x3","uct-0500","1","dormant_fronts","100","0.000000","0.000000","0.000000","false"
"3x3","uct-0500","1","backlog","100","0.000000","0.000000","0.000000","false"
"3x3","uct-0500","1","decline_from_game_peak","100","5.110000","4.930000","5.300000","false"
"3x3","uct-0500","2","active_fronts","100","1.180000","1.050000","1.320000","false"
"3x3","uct-0500","2","dormant_fronts","100","0.000000","0.000000","0.000000","false"
"3x3","uct-0500","2","backlog","100","0.000000","0.000000","0.000000","false"
"3x3","uct-0500","2","decline_from_game_peak","100","3.930000","3.710000","4.160000","false"
"3x3","uct-0500","3","active_fronts","100","1.700000","1.560000","1.850000","false"
"3x3","uct-0500","3","dormant_fronts","100","0.000000","0.000000","0.000000","false"
"3x3","uct-0500","3","backlog","100","0.700000","0.580000","0.820000","false"
"3x3","uct-0500","3","decline_from_game_peak","100","3.410000","3.170000","3.650000","false"
"3x3","uct-0500","4","active_fronts","100","2.500000","2.310000","2.690000","false"
"3x3","uct-0500","4","dormant_fronts","100","0.480000","0.380000","0.580000","false"
"3x3","uct-0500","4","backlog","100","0.960000","0.830000","1.090000","false"
"3x3","uct-0500","4","decline_from_game_peak","100","2.610000","2.340000","2.870000","false"
"3x3","uct-0500","5","active_fronts","100","2.870000","2.670000","3.060000","false"
"3x3","uct-0500","5","dormant_fronts","100","0.640000","0.520000","0.770000","false"
"3x3","uct-0500","5","backlog","100","1.510000","1.340000","1.700000","false"
"3x3","uct-0500","5","decline_from_game_peak","100","2.240000","2.010000","2.480000","false"
"3x3","uct-0500","6","active_fronts","100","3.140000","2.920000","3.370000","false"
"3x3","uct-0500","6","dormant_fronts","100","0.720000","0.590000","0.860000","false"
"3x3","uct-0500","6","backlog","100","1.450000","1.280000","1.620000","false"
"3x3","uct-0500","6","decline_from_game_peak","100","1.970000","1.730000","2.220000","false"
"3x3","uct-0500","7","active_fronts","100","3.300000","3.070000","3.540000","false"
"3x3","uct-0500","7","dormant_fronts","100","0.790000","0.640000","0.940000","false"
"3x3","uct-0500","7","backlog","100","1.710000","1.510000","1.910000","false"
"3x3","uct-0500","7","decline_from_game_peak","100","1.810000","1.580000","2.040000","false"
"3x3","uct-0500","8","active_fronts","100","3.470000","3.240000","3.710000","false"
"3x3","uct-0500","8","dormant_fronts","100","0.810000","0.660000","0.970000","false"
"3x3","uct-0500","8","backlog","100","1.730000","1.540000","1.920000","false"
"3x3","uct-0500","8","decline_from_game_peak","100","1.640000","1.410000","1.880000","false"
"3x3","uct-0500","9","active_fronts","100","3.590000","3.370000","3.820000","false"
"3x3","uct-0500","9","dormant_fronts","100","0.940000","0.790000","1.070000","false"
"3x3","uct-0500","9","backlog","100","1.920000","1.740000","2.110000","false"
"3x3","uct-0500","9","decline_from_game_peak","100","1.520000","1.290000","1.760000","false"
"3x3","uct-0500","10","active_fronts","100","3.560000","3.350000","3.770000","false"
"3x3","uct-0500","10","dormant_fronts","100","0.960000","0.810000","1.120000","false"
"3x3","uct-0500","10","backlog","100","1.920000","1.720000","2.130000","false"
"3x3","uct-0500","10","decline_from_game_peak","100","1.550000","1.350000","1.750000","false"
"3x3","uct-0500","11","active_fronts","100","3.540000","3.320000","3.770000","false"
"3x3","uct-0500","11","dormant_fronts","100","0.870000","0.720000","1.020000","false"
"3x3","uct-0500","11","backlog","100","1.980000","1.780000","2.180000","false"
"3x3","uct-0500","11","decline_from_game_peak","100","1.570000","1.350000","1.800000","false"
"3x3","uct-0500","12","active_fronts","100","3.610000","3.410000","3.850000","false"
"3x3","uct-0500","12","dormant_fronts","100","0.930000","0.770000","1.090000","false"
"3x3","uct-0500","12","backlog","100","1.800000","1.630000","1.960000","false"
"3x3","uct-0500","12","decline_from_game_peak","100","1.500000","1.310000","1.690000","false"
"3x3","uct-0500","13","active_fronts","100","3.500000","3.270000","3.720000","false"
"3x3","uct-0500","13","dormant_fronts","100","0.730000","0.600000","0.870000","false"
"3x3","uct-0500","13","backlog","100","1.930000","1.730000","2.150000","false"
"3x3","uct-0500","13","decline_from_game_peak","100","1.610000","1.420000","1.800000","false"
"3x3","uct-0500","14","active_fronts","100","3.660000","3.420000","3.890000","false"
"3x3","uct-0500","14","dormant_fronts","100","0.970000","0.810000","1.140000","false"
"3x3","uct-0500","14","backlog","100","1.900000","1.700000","2.100000","false"
"3x3","uct-0500","14","decline_from_game_peak","100","1.450000","1.260000","1.640000","false"
"3x3","uct-0500","15","active_fronts","100","3.770000","3.520000","4.010000","false"
"3x3","uct-0500","15","dormant_fronts","100","1.080000","0.920000","1.250000","false"
"3x3","uct-0500","15","backlog","100","2.080000","1.880000","2.300000","false"
"3x3","uct-0500","15","decline_from_game_peak","100","1.340000","1.140000","1.540000","false"
"3x3","uct-0500","16","active_fronts","100","3.690000","3.460000","3.900000","false"
"3x3","uct-0500","16","dormant_fronts","100","1.000000","0.840000","1.160000","false"
"3x3","uct-0500","16","backlog","100","1.850000","1.640000","2.050000","false"
"3x3","uct-0500","16","decline_from_game_peak","100","1.420000","1.230000","1.610000","false"
"3x3","uct-0500","17","active_fronts","100","3.910000","3.700000","4.110000","false"
"3x3","uct-0500","17","dormant_fronts","100","1.040000","0.880000","1.200000","false"
"3x3","uct-0500","17","backlog","100","1.970000","1.780000","2.150000","false"
"3x3","uct-0500","17","decline_from_game_peak","100","1.200000","1.010000","1.390000","false"
"3x3","uct-0500","18","active_fronts","100","4.170000","3.950000","4.400000","false"
"3x3","uct-0500","18","dormant_fronts","100","0.890000","0.750000","1.030000","false"
"3x3","uct-0500","18","backlog","100","2.160000","1.940000","2.360000","false"
"3x3","uct-0500","18","decline_from_game_peak","100","0.940000","0.730000","1.150000","false"
"3x3","uct-1000","1","active_fronts","100","0.000000","0.000000","0.000000","true"
"3x3","uct-1000","1","dormant_fronts","100","0.000000","0.000000","0.000000","true"
"3x3","uct-1000","1","backlog","100","0.000000","0.000000","0.000000","true"
"3x3","uct-1000","1","decline_from_game_peak","100","4.620000","4.430000","4.800000","true"
"3x3","uct-1000","2","active_fronts","100","1.340000","1.220000","1.460000","true"
"3x3","uct-1000","2","dormant_fronts","100","0.000000","0.000000","0.000000","true"
"3x3","uct-1000","2","backlog","100","0.000000","0.000000","0.000000","true"
"3x3","uct-1000","2","decline_from_game_peak","100","3.280000","3.050000","3.540000","true"
"3x3","uct-1000","3","active_fronts","100","1.780000","1.630000","1.950000","true"
"3x3","uct-1000","3","dormant_fronts","100","0.000000","0.000000","0.000000","true"
"3x3","uct-1000","3","backlog","100","0.660000","0.530000","0.790000","true"
"3x3","uct-1000","3","decline_from_game_peak","100","2.840000","2.580000","3.090000","true"
"3x3","uct-1000","4","active_fronts","100","2.390000","2.200000","2.570000","true"
"3x3","uct-1000","4","dormant_fronts","100","0.330000","0.240000","0.430000","true"
"3x3","uct-1000","4","backlog","100","0.840000","0.710000","0.970000","true"
"3x3","uct-1000","4","decline_from_game_peak","100","2.230000","1.970000","2.500000","true"
"3x3","uct-1000","5","active_fronts","100","2.660000","2.460000","2.860000","true"
"3x3","uct-1000","5","dormant_fronts","100","0.520000","0.410000","0.630000","true"
