experiment_id,game_index,turn_number,placement_number,mover,target,target_type,supply_source
"uct-10000-self-play","4","13","1","1","O01","objective","S11"
"uct-10000-self-play","4","13","2","1","S21","supply",""
"uct-10000-self-play","4","13","3","1","O02","objective","S12"
"uct-10000-self-play","4","14","1","2","O12","objective","S23"
"uct-10000-self-play","4","14","2","2","S31","supply",""
"uct-10000-self-play","4","14","3","2","O21","objective","S22"
"uct-10000-self-play","4","15","1","1","S31","supply",""
"uct-10000-self-play","4","15","2","1","O02","objective","S02"
"uct-10000-self-play","4","15","3","1","O02","objective","S12"
"uct-10000-self-play","4","16","1","2","S31","supply",""
"uct-10000-self-play","4","16","2","2","O22","objective","S22"
"uct-10000-self-play","4","16","3","2","S21","supply",""
"uct-10000-self-play","4","17","1","1","S31","supply",""
"uct-10000-self-play","4","17","2","1","O00","objective","S11"
"uct-10000-self-play","4","17","3","1","O33","objective","S44"
"uct-10000-self-play","4","18","1","2","O20","objective","S21"
"uct-10000-self-play","4","18","2","2","O21","objective","S22"
"uct-10000-self-play","4","18","3","2","O23","objective","S23"
"uct-10000-self-play","4","19","1","1","S33","supply",""
"uct-10000-self-play","4","19","2","1","O33","objective","S44"
"uct-10000-self-play","4","19","3","1","S13","supply",""
"uct-10000-self-play","4","20","1","2","O13","objective","S23"
"uct-10000-self-play","4","20","2","2","O21","objective","S21"
"uct-10000-self-play","4","20","3","2","S14","supply",""
"uct-10000-self-play","4","21","1","1","O33","objective","S44"
"uct-10000-self-play","4","21","2","1","O03","objective","S13"
"uct-10000-self-play","4","21","3","1","S30","supply",""
"uct-10000-self-play","4","22","1","2","O13","objective","S23"
"uct-10000-self-play","4","22","2","2","O13","objective","S14"
"uct-10000-self-play","4","22","3","2","S32","supply",""
"uct-10000-self-play","4","23","1","1","O30","objective","S30"
"uct-10000-self-play","4","23","2","1","S14","supply",""
"uct-10000-self-play","4","23","3","1","O23","objective","S33"
"uct-10000-self-play","4","24","1","2","S44","supply",""
"uct-10000-self-play","4","24","2","2","S34","supply",""
