"board","experiment_id","game_index","turn_number","progress","mover","allocation_pattern","regions_used","supply_placements","objective_placements","mixed_layers"
"4x4","seeded-random-self-play","42","17","0.708333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","42","18","0.750000","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","42","19","0.791667","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","42","20","0.833333","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","42","21","0.875000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","42","22","0.916667","2","2+1","2","2","1","true"
"4x4","seeded-random-self-play","42","23","0.958333","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","42","24","1.000000","2","2+1","2","1","2","true"
"4x4","seeded-random-self-play","43","1","0.041667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","43","2","0.083333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","43","3","0.125000","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","43","4","0.166667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","43","5","0.208333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","43","6","0.250000","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","43","7","0.291667","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","43","8","0.333333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","43","9","0.375000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","43","10","0.416667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","43","11","0.458333","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","43","12","0.500000","2","2+1","2","2","1","true"
"4x4","seeded-random-self-play","43","13","0.541667","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","43","14","0.583333","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","43","15","0.625000","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","43","16","0.666667","2","2+1","2","1","2","true"
"4x4","seeded-random-self-play","43","17","0.708333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","43","18","0.750000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","43","19","0.791667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","43","20","0.833333","2","2+1","2","2","1","true"
"4x4","seeded-random-self-play","43","21","0.875000","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","43","22","0.916667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","43","23","0.958333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","43","24","1.000000","2","2+1","2","1","2","true"
"4x4","seeded-random-self-play","44","1","0.041667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","44","2","0.083333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","44","3","0.125000","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","44","4","0.166667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","44","5","0.208333","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","44","6","0.250000","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","44","7","0.291667","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","44","8","0.333333","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","44","9","0.375000","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","44","10","0.416667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","44","11","0.458333","1","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","44","12","0.500000","2","2+1","2","2","1","true"
"4x4","seeded-random-self-play","44","13","0.541667","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","44","14","0.583333","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","44","15","0.625000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","44","16","0.666667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","44","17","0.708333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","44","18","0.750000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","44","19","0.791667","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","44","20","0.833333","2","2+1","2","0","3","false"
"4x4","seeded-random-self-play","44","21","0.875000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","44","22","0.916667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","44","23","0.958333","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","44","24","1.000000","2","2+1","2","1","2","true"
"4x4","seeded-random-self-play","45","1","0.041667","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","45","2","0.083333","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","45","3","0.125000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","45","4","0.166667","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","45","5","0.208333","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","45","6","0.250000","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","45","7","0.291667","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","45","8","0.333333","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","45","9","0.375000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","45","10","0.416667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","45","11","0.458333","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","45","12","0.500000","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","45","13","0.541667","1","3","1","3","0","false"
"4x4","seeded-random-self-play","45","14","0.583333","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","45","15","0.625000","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","45","16","0.666667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","45","17","0.708333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","45","18","0.750000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","45","19","0.791667","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","45","20","0.833333","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","45","21","0.875000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","45","22","0.916667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","45","23","0.958333","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","45","24","1.000000","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","46","1","0.041667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","46","2","0.083333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","46","3","0.125000","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","46","4","0.166667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","46","5","0.208333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","46","6","0.250000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","46","7","0.291667","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","46","8","0.333333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","46","9","0.375000","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","46","10","0.416667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","46","11","0.458333","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","46","12","0.500000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","46","13","0.541667","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","46","14","0.583333","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","46","15","0.625000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","46","16","0.666667","2","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","46","17","0.708333","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","46","18","0.750000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","46","19","0.791667","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","46","20","0.833333","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","46","21","0.875000","1","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","46","22","0.916667","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","46","23","0.958333","1","2+1","2","1","2","true"
"4x4","seeded-random-self-play","46","24","1.000000","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","47","1","0.041667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","47","2","0.083333","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","47","3","0.125000","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","47","4","0.166667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","47","5","0.208333","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","47","6","0.250000","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","47","7","0.291667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","47","8","0.333333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","47","9","0.375000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","47","10","0.416667","2","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","47","11","0.458333","1","2+1","2","1","2","true"
"4x4","seeded-random-self-play","47","12","0.500000","2","2+1","2","2","1","true"
"4x4","seeded-random-self-play","47","13","0.541667","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","47","14","0.583333","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","47","15","0.625000","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","47","16","0.666667","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","47","17","0.708333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","47","18","0.750000","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","47","19","0.791667","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","47","20","0.833333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","47","21","0.875000","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","47","22","0.916667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","47","23","0.958333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","47","24","1.000000","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","48","1","0.041667","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","48","2","0.083333","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","48","3","0.125000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","48","4","0.166667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","48","5","0.208333","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","48","6","0.250000","2","2+1","2","2","1","true"
"4x4","seeded-random-self-play","48","7","0.291667","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","48","8","0.333333","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","48","9","0.375000","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","48","10","0.416667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","48","11","0.458333","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","48","12","0.500000","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","48","13","0.541667","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","48","14","0.583333","2","2+1","2","1","2","true"
