"board","experiment_id","progress_band","allocation_pattern","turns","pattern_turns","turn_share"
"4x4","uct-0500-self-play","50-75%","2+1","600","238","0.396667"
"4x4","uct-0500-self-play","50-75%","1+1+1","600","344","0.573333"
"4x4","uct-0500-self-play","50-75%","mixed_layers","600","373","0.621667"
"4x4","uct-0500-self-play","75-100%","3","600","18","0.030000"
"4x4","uct-0500-self-play","75-100%","2+1","600","227","0.378333"
"4x4","uct-0500-self-play","75-100%","1+1+1","600","355","0.591667"
"4x4","uct-0500-self-play","75-100%","mixed_layers","600","374","0.623333"
"6x6","6x6-seeded-random","0-25%","3","1200","29","0.024167"
"6x6","6x6-seeded-random","0-25%","2+1","1200","373","0.310833"
"6x6","6x6-seeded-random","0-25%","1+1+1","1200","798","0.665000"
"6x6","6x6-seeded-random","0-25%","mixed_layers","1200","558","0.465000"
"6x6","6x6-seeded-random","25-50%","3","1200","10","0.008333"
"6x6","6x6-seeded-random","25-50%","2+1","1200","364","0.303333"
"6x6","6x6-seeded-random","25-50%","1+1+1","1200","826","0.688333"
"6x6","6x6-seeded-random","25-50%","mixed_layers","1200","886","0.738333"
"6x6","6x6-seeded-random","50-75%","3","1200","6","0.005000"
"6x6","6x6-seeded-random","50-75%","2+1","1200","379","0.315833"
"6x6","6x6-seeded-random","50-75%","1+1+1","1200","815","0.679167"
"6x6","6x6-seeded-random","50-75%","mixed_layers","1200","921","0.767500"
"6x6","6x6-seeded-random","75-100%","3","1200","21","0.017500"
"6x6","6x6-seeded-random","75-100%","2+1","1200","316","0.263333"
"6x6","6x6-seeded-random","75-100%","1+1+1","1200","863","0.719167"
"6x6","6x6-seeded-random","75-100%","mixed_layers","1200","944","0.786667"
"6x6","6x6-uct-0100","0-25%","3","600","9","0.015000"
"6x6","6x6-uct-0100","0-25%","2+1","600","176","0.293333"
"6x6","6x6-uct-0100","0-25%","1+1+1","600","415","0.691667"
"6x6","6x6-uct-0100","0-25%","mixed_layers","600","310","0.516667"
"6x6","6x6-uct-0100","25-50%","3","600","8","0.013333"
"6x6","6x6-uct-0100","25-50%","2+1","600","150","0.250000"
"6x6","6x6-uct-0100","25-50%","1+1+1","600","442","0.736667"
"6x6","6x6-uct-0100","25-50%","mixed_layers","600","459","0.765000"
"6x6","6x6-uct-0100","50-75%","3","600","4","0.006667"
"6x6","6x6-uct-0100","50-75%","2+1","600","168","0.280000"
"6x6","6x6-uct-0100","50-75%","1+1+1","600","428","0.713333"
"6x6","6x6-uct-0100","50-75%","mixed_layers","600","457","0.761667"
"6x6","6x6-uct-0100","75-100%","3","600","3","0.005000"
"6x6","6x6-uct-0100","75-100%","2+1","600","182","0.303333"
"6x6","6x6-uct-0100","75-100%","1+1+1","600","415","0.691667"
"6x6","6x6-uct-0100","75-100%","mixed_layers","600","461","0.768333"
"6x6","6x6-uct-0500","0-25%","3","240","4","0.016667"
"6x6","6x6-uct-0500","0-25%","2+1","240","89","0.370833"
"6x6","6x6-uct-0500","0-25%","1+1+1","240","147","0.612500"
"6x6","6x6-uct-0500","0-25%","mixed_layers","240","139","0.579167"
"6x6","6x6-uct-0500","25-50%","3","240","2","0.008333"
"6x6","6x6-uct-0500","25-50%","2+1","240","79","0.329167"
"6x6","6x6-uct-0500","25-50%","1+1+1","240","159","0.662500"
"6x6","6x6-uct-0500","25-50%","mixed_layers","240","178","0.741667"
"6x6","6x6-uct-0500","50-75%","3","240","2","0.008333"
"6x6","6x6-uct-0500","50-75%","2+1","240","79","0.329167"
"6x6","6x6-uct-0500","50-75%","1+1+1","240","159","0.662500"
"6x6","6x6-uct-0500","50-75%","mixed_layers","240","155","0.645833"
"6x6","6x6-uct-0500","75-100%","3","240","7","0.029167"
"6x6","6x6-uct-0500","75-100%","2+1","240","98","0.408333"
"6x6","6x6-uct-0500","75-100%","1+1+1","240","135","0.562500"
"6x6","6x6-uct-0500","75-100%","mixed_layers","240","135","0.562500"
