"board","experiment_id","game_index","checkpoint","turn_number","cumulative_placements","supply_share","secured_supply","secured_objectives","recent_normalized_entropy","recent_largest_region_share","recent_hhi","recent_region_coverage"
"6x6","6x6-seeded-random","30","0.5","24","72","0.638889","1","2","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","30","0.75","36","108","0.657407","4","5","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","30","0.9","44","132","0.636364","7","5","0.667994","0.416667","0.263889","0.555556"
"6x6","6x6-seeded-random","31","0.25","12","36","0.750000","0","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","31","0.5","24","72","0.722222","2","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","31","0.75","36","108","0.694444","4","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","31","0.9","44","132","0.651515","7","1","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","32","0.25","12","36","0.777778","0","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","32","0.5","24","72","0.777778","0","0","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","32","0.75","36","108","0.703704","3","0","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","32","0.9","44","132","0.674242","3","1","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","33","0.25","12","36","0.777778","0","1","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","33","0.5","24","72","0.680556","1","1","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","33","0.75","36","108","0.620370","3","2","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","33","0.9","44","132","0.613636","4","5","0.723197","0.250000","0.208333","0.555556"
"6x6","6x6-seeded-random","34","0.25","12","36","0.722222","0","1","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","34","0.5","24","72","0.652778","2","1","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","34","0.75","36","108","0.611111","4","5","0.703352","0.250000","0.222222","0.555556"
"6x6","6x6-seeded-random","34","0.9","44","132","0.613636","5","5","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","35","0.25","12","36","0.861111","0","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","35","0.5","24","72","0.708333","2","2","0.795620","0.333333","0.208333","0.777778"
"6x6","6x6-seeded-random","35","0.75","36","108","0.675926","4","2","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","35","0.9","44","132","0.621212","8","3","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","36","0.25","12","36","0.805556","0","0","0.562840","0.416667","0.319444","0.444444"
"6x6","6x6-seeded-random","36","0.5","24","72","0.694444","2","1","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","36","0.75","36","108","0.666667","5","4","0.703352","0.250000","0.222222","0.555556"
"6x6","6x6-seeded-random","36","0.9","44","132","0.659091","6","5","0.710310","0.333333","0.222222","0.555556"
"6x6","6x6-seeded-random","37","0.25","12","36","0.750000","1","0","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","37","0.5","24","72","0.708333","4","1","0.710310","0.333333","0.250000","0.666667"
