"board","experiment_id","game_index","window_first_turn","window_last_turn","window_turns","placements","normalized_entropy","largest_region_share","hhi","region_coverage"
"6x6","6x6-seeded-random","4","3","6","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","4","4","7","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","5","8","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","6","9","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","7","10","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","4","8","11","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","9","12","4","12","0.670620","0.333333","0.250000","0.555556"
"6x6","6x6-seeded-random","4","10","13","4","12","0.670620","0.333333","0.250000","0.555556"
"6x6","6x6-seeded-random","4","11","14","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","4","12","15","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","13","16","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","4","14","17","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","4","15","18","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","4","16","19","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","17","20","4","12","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","4","18","21","4","12","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","4","19","22","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","20","23","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","4","21","24","4","12","0.657732","0.333333","0.263889","0.555556"
"6x6","6x6-seeded-random","4","22","25","4","12","0.648149","0.416667","0.277778","0.555556"
"6x6","6x6-seeded-random","4","23","26","4","12","0.648149","0.416667","0.277778","0.555556"
"6x6","6x6-seeded-random","4","24","27","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","25","28","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","4","26","29","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","4","27","30","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","28","31","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","29","32","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","30","33","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","31","34","4","12","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","4","32","35","4","12","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","4","33","36","4","12","0.667994","0.416667","0.263889","0.555556"
"6x6","6x6-seeded-random","4","34","37","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","4","35","38","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","36","39","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","4","37","40","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","4","38","41","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","4","39","42","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","4","40","43","4","12","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","4","41","44","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","4","42","45","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","4","43","46","4","12","0.775775","0.250000","0.194444","0.666667"
