position_id,iteration_budget,transition_type,transition,count,rate_per_turn
turn-3-supply-securing-choice,10000,unresolved,S33:0:0:0>1:1:0,8,0.266667
turn-3-supply-securing-choice,30000,unresolved,S11:0:0:0>1:1:0,7,0.233333
turn-3-supply-securing-choice,30000,unresolved,S12:0:1:1>1:2:1,13,0.433333
turn-3-supply-securing-choice,30000,unresolved,S13:0:1:1>1:2:1,3,0.1
turn-3-supply-securing-choice,30000,unresolved,S21:0:0:0>1:1:0,9,0.3
turn-3-supply-securing-choice,30000,unresolved,S23:2:0:1>0:1:1,9,0.3
turn-3-supply-securing-choice,30000,unresolved,S23:2:0:1>1:2:1,1,0.033333
turn-3-supply-securing-choice,30000,unresolved,S31:0:0:0>1:1:0,3,0.1
turn-3-supply-securing-choice,30000,unresolved,S32:0:0:0>1:1:0,11,0.366667
turn-3-supply-securing-choice,30000,unresolved,S33:0:0:0>1:1:0,3,0.1
turn-3-supply-securing-choice,100000,unresolved,S11:0:0:0>1:1:0,2,0.066667
turn-3-supply-securing-choice,100000,unresolved,S12:0:1:1>1:2:1,10,0.333333
turn-3-supply-securing-choice,100000,unresolved,S13:0:1:1>1:2:1,1,0.033333
turn-3-supply-securing-choice,100000,unresolved,S21:0:0:0>1:1:0,17,0.566667
turn-3-supply-securing-choice,100000,unresolved,S23:2:0:1>0:1:1,12,0.4
turn-3-supply-securing-choice,100000,unresolved,S23:2:0:1>1:2:1,1,0.033333
turn-3-supply-securing-choice,100000,unresolved,S31:0:0:0>1:1:0,4,0.133333
turn-3-supply-securing-choice,100000,unresolved,S32:0:0:0>1:1:0,10,0.333333
turn-3-supply-securing-choice,100000,unresolved,S33:0:0:0>1:1:0,3,0.1
turn-4-central-peripheral-competition,10000,unresolved,S12:0:0:0>2:0:1,1,0.033333
turn-4-central-peripheral-competition,10000,unresolved,S31:1:1:0>0:1:1,2,0.066667
turn-4-central-peripheral-competition,10000,unresolved,S32:1:1:0>0:1:1,15,0.5
turn-4-central-peripheral-competition,10000,unresolved,S32:1:1:0>2:1:2,1,0.033333
turn-4-central-peripheral-competition,10000,unresolved,S33:1:1:0>0:1:1,2,0.066667
turn-4-central-peripheral-competition,30000,unresolved,S31:1:1:0>0:1:1,1,0.033333
turn-4-central-peripheral-competition,30000,unresolved,S32:1:1:0>0:1:1,25,0.833333
turn-4-central-peripheral-competition,100000,unresolved,S32:1:1:0>0:1:1,25,0.833333
turn-4-central-peripheral-competition,100000,unresolved,S33:1:1:0>0:1:1,1,0.033333
turn-5-objective-supply-tradeoff,10000,unresolved,S23:2:0:1>0:1:1,14,0.466667
turn-5-objective-supply-tradeoff,10000,unresolved,S32:2:0:1>0:1:1,3,0.1
