"board","experiment_id","search_level","game_index","window_first_turn","window_last_turn","normalized_entropy","largest_region_share","hhi","region_coverage"
"7x7","7x7-seeded-random","seeded-random","34","21","24","0.7430423562500169","0.3333333333333333","0.22222222222222224","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","34","22","25","0.8154648767857287","0.3333333333333333","0.19444444444444442","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","34","23","26","0.7757747946428812","0.25","0.19444444444444445","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","34","24","27","0.8481973151785931","0.25","0.16666666666666669","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","34","25","28","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","34","26","29","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","34","27","30","0.8154648767857287","0.3333333333333333","0.19444444444444448","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","34","28","31","0.8481973151785929","0.25","0.16666666666666666","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","34","29","32","0.7956198357143048","0.25","0.18055555555555555","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","34","30","33","0.7430423562500168","0.3333333333333333","0.2222222222222222","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","34","31","34","0.7430423562500169","0.3333333333333333","0.22222222222222224","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","34","32","35","0.775774794642881","0.25","0.19444444444444442","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","34","33","36","0.7757747946428812","0.25","0.19444444444444445","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","34","34","37","0.7956198357143048","0.25","0.18055555555555555","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","34","35","38","0.8283522741071695","0.25","0.18055555555555558","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","34","36","39","0.8154648767857287","0.3333333333333333","0.19444444444444448","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","34","37","40","0.7731494572909345","0.4166666666666667","0.23611111111111116","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","34","38","41","0.8257269367552228","0.4166666666666667","0.22222222222222227","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","34","39","42","0.670619835714305","0.5","0.30555555555555547","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","34","40","43","0.6481494572909344","0.4166666666666667","0.2777777777777778","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","34","41","44","0.670619835714305","0.3333333333333333","0.25","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","34","42","45","0.7757747946428812","0.25","0.19444444444444448","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","34","43","46","0.7757747946428812","0.25","0.19444444444444445","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","34","44","47","0.7628873973214406","0.3333333333333333","0.20833333333333334","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","34","45","48","0.7628873973214406","0.3333333333333333","0.20833333333333331","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","35","1","4","0.8481973151785931","0.25","0.16666666666666666","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","2","5","0.9533522741071694","0.25","0.1388888888888889","1"
"7x7","7x7-seeded-random","seeded-random","35","3","6","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","35","4","7","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","35","5","8","0.775774794642881","0.25","0.19444444444444442","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","35","6","9","0.6904648767857287","0.3333333333333333","0.2361111111111111","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","35","7","10","0.6180423562500168","0.3333333333333333","0.2638888888888889","0.4444444444444444"
"7x7","7x7-seeded-random","seeded-random","35","8","11","0.7628873973214406","0.3333333333333333","0.20833333333333331","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","35","9","12","0.8283522741071693","0.25","0.18055555555555558","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","10","13","0.670619835714305","0.3333333333333333","0.25","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","35","11","14","0.8154648767857287","0.3333333333333333","0.19444444444444445","0.7777777777777778"
