"board","experiment_id","search_level","game_index","supply_share","objective_share","secured_supply","secured_objectives","secured_supply_events","secured_supply_later_use_rate","mean_regions_used"
"7x7","7x7-seeded-random","seeded-random","83","0.6666666666666666","0.3333333333333333","6","1","6","0.16666666666666666","2.5833333333333335"
"7x7","7x7-seeded-random","seeded-random","84","0.5902777777777778","0.4097222222222222","4","7","4","0.25","2.625"
"7x7","7x7-seeded-random","seeded-random","85","0.5902777777777778","0.4097222222222222","1","3","1","1","2.7083333333333335"
"7x7","7x7-seeded-random","seeded-random","86","0.6180555555555556","0.3819444444444444","5","1","5","0.8","2.6458333333333335"
"7x7","7x7-seeded-random","seeded-random","87","0.6666666666666666","0.3333333333333333","4","4","4","0.25","2.6875"
"7x7","7x7-seeded-random","seeded-random","88","0.6597222222222222","0.3402777777777778","7","4","7","0.42857142857142855","2.7291666666666665"
"7x7","7x7-seeded-random","seeded-random","89","0.625","0.375","2","2","2","0","2.7291666666666665"
"7x7","7x7-seeded-random","seeded-random","90","0.6111111111111112","0.3888888888888889","6","6","6","0.6666666666666666","2.7083333333333335"
"7x7","7x7-seeded-random","seeded-random","91","0.6666666666666666","0.3333333333333333","6","3","6","0.5","2.8125"
"7x7","7x7-seeded-random","seeded-random","92","0.6319444444444444","0.3680555555555556","4","2","4","0.25","2.625"
"7x7","7x7-seeded-random","seeded-random","93","0.7013888888888888","0.2986111111111111","7","0","7","0.2857142857142857","2.75"
"7x7","7x7-seeded-random","seeded-random","94","0.6527777777777778","0.3472222222222222","3","5","3","0.6666666666666666","2.7291666666666665"
"7x7","7x7-seeded-random","seeded-random","95","0.6319444444444444","0.3680555555555556","3","4","3","0","2.7083333333333335"
"7x7","7x7-seeded-random","seeded-random","96","0.6597222222222222","0.3402777777777778","6","4","6","0.6666666666666666","2.7708333333333335"
"7x7","7x7-seeded-random","seeded-random","97","0.6944444444444444","0.3055555555555556","5","2","5","0.2","2.75"
"7x7","7x7-seeded-random","seeded-random","98","0.6597222222222222","0.3402777777777778","1","1","1","0","2.6666666666666665"
"7x7","7x7-seeded-random","seeded-random","99","0.6319444444444444","0.3680555555555556","3","4","3","0.3333333333333333","2.75"
"7x7","7x7-seeded-random","seeded-random","100","0.6736111111111112","0.3263888888888889","6","3","6","0.16666666666666666","2.6458333333333335"
"7x7","7x7-uct-0100","uct-0100","1","0.5","0.5","2","15","2","0.5","2.7708333333333335"
"7x7","7x7-uct-0100","uct-0100","2","0.5138888888888888","0.4861111111111111","1","8","1","0","2.5833333333333335"
"7x7","7x7-uct-0100","uct-0100","3","0.5833333333333334","0.4166666666666667","2","11","2","0.5","2.6666666666666665"
"7x7","7x7-uct-0100","uct-0100","4","0.5902777777777778","0.4097222222222222","3","12","3","0.3333333333333333","2.5833333333333335"
"7x7","7x7-uct-0100","uct-0100","5","0.5555555555555556","0.4444444444444444","2","10","2","0","2.6875"
"7x7","7x7-uct-0100","uct-0100","6","0.5555555555555556","0.4444444444444444","1","14","1","1","2.5833333333333335"
"7x7","7x7-uct-0100","uct-0100","7","0.5555555555555556","0.4444444444444444","1","10","1","0","2.7083333333333335"
"7x7","7x7-uct-0100","uct-0100","8","0.5694444444444444","0.4305555555555556","2","10","2","1","2.6041666666666665"
"7x7","7x7-uct-0100","uct-0100","9","0.5902777777777778","0.4097222222222222","4","12","4","0.75","2.75"
"7x7","7x7-uct-0100","uct-0100","10","0.5347222222222222","0.4652777777777778","0","12","0","","2.7083333333333335"
"7x7","7x7-uct-0100","uct-0100","11","0.5416666666666666","0.4583333333333333","3","12","3","0.3333333333333333","2.6666666666666665"
"7x7","7x7-uct-0100","uct-0100","12","0.6041666666666666","0.3958333333333333","2","12","2","0","2.6041666666666665"
"7x7","7x7-uct-0100","uct-0100","13","0.5694444444444444","0.4305555555555556","1","9","1","0","2.7083333333333335"
"7x7","7x7-uct-0100","uct-0100","14","0.6111111111111112","0.3888888888888889","4","6","4","0.5","2.5625"
"7x7","7x7-uct-0100","uct-0100","15","0.5763888888888888","0.4236111111111111","2","10","2","1","2.6458333333333335"
"7x7","7x7-uct-0100","uct-0100","16","0.5486111111111112","0.4513888888888889","1","13","1","1","2.7291666666666665"
"7x7","7x7-uct-0100","uct-0100","17","0.5208333333333334","0.4791666666666667","3","11","3","0","2.8125"
"7x7","7x7-uct-0100","uct-0100","18","0.5138888888888888","0.4861111111111111","2","12","2","1","2.7708333333333335"
"7x7","7x7-uct-0100","uct-0100","19","0.5416666666666666","0.4583333333333333","2","16","2","1","2.625"
"7x7","7x7-uct-0100","uct-0100","20","0.6458333333333334","0.3541666666666667","2","8","2","0","2.6875"
"7x7","7x7-uct-0100","uct-0100","21","0.5277777777777778","0.4722222222222222","1","11","1","1","2.7708333333333335"
"7x7","7x7-uct-0100","uct-0100","22","0.5486111111111112","0.4513888888888889","3","14","3","0.6666666666666666","2.6458333333333335"
