"board","experiment_id","search_level","game_index","turn_number","progress","active_fronts","backlog_size","dormant_k2","dominant_focus"
"7x7","7x7-uct-1000","uct-1000","9","46","0.9583333333333334","5","3","1","HL"
"7x7","7x7-uct-1000","uct-1000","9","47","0.9791666666666666","6","4","3","HH"
"7x7","7x7-uct-1000","uct-1000","9","48","1","6","3","2",""
"7x7","7x7-uct-1000","uct-1000","10","1","0.020833333333333332","0","0","0",""
"7x7","7x7-uct-1000","uct-1000","10","2","0.041666666666666664","1","0","0",""
"7x7","7x7-uct-1000","uct-1000","10","3","0.0625","1","1","0",""
"7x7","7x7-uct-1000","uct-1000","10","4","0.08333333333333333","2","0","0","MM"
"7x7","7x7-uct-1000","uct-1000","10","5","0.10416666666666667","2","2","0","HH"
"7x7","7x7-uct-1000","uct-1000","10","6","0.125","3","2","2",""
"7x7","7x7-uct-1000","uct-1000","10","7","0.14583333333333334","3","1","0",""
"7x7","7x7-uct-1000","uct-1000","10","8","0.16666666666666666","3","1","1","ML"
"7x7","7x7-uct-1000","uct-1000","10","9","0.1875","4","2","0",""
"7x7","7x7-uct-1000","uct-1000","10","10","0.20833333333333334","4","2","0","MM"
"7x7","7x7-uct-1000","uct-1000","10","11","0.22916666666666666","4","3","1","HH"
"7x7","7x7-uct-1000","uct-1000","10","12","0.25","5","2","2",""
"7x7","7x7-uct-1000","uct-1000","10","13","0.2708333333333333","5","3","1","MM"
"7x7","7x7-uct-1000","uct-1000","10","14","0.2916666666666667","5","2","2",""
"7x7","7x7-uct-1000","uct-1000","10","15","0.3125","5","4","1","MH"
"7x7","7x7-uct-1000","uct-1000","10","16","0.3333333333333333","5","3","2",""
"7x7","7x7-uct-1000","uct-1000","10","17","0.3541666666666667","5","3","2","MM"
"7x7","7x7-uct-1000","uct-1000","10","18","0.375","5","2","1",""
"7x7","7x7-uct-1000","uct-1000","10","19","0.3958333333333333","6","4","1",""
"7x7","7x7-uct-1000","uct-1000","10","20","0.4166666666666667","6","4","3","MH"
"7x7","7x7-uct-1000","uct-1000","10","21","0.4375","7","5","3",""
"7x7","7x7-uct-1000","uct-1000","10","22","0.4583333333333333","5","3","1",""
"7x7","7x7-uct-1000","uct-1000","10","23","0.4791666666666667","5","3","1","MM"
"7x7","7x7-uct-1000","uct-1000","10","24","0.5","5","2","1",""
"7x7","7x7-uct-1000","uct-1000","10","25","0.5208333333333334","6","4","2",""
"7x7","7x7-uct-1000","uct-1000","10","26","0.5416666666666666","5","3","1","HL"
