"domain","scope","board","search_level","metric","games","mean"
"concurrent","window-4","4x4","uct-0100","mean_opportunity_adjusted_activity","100","4.187915"
"concurrent","window-4","4x4","uct-0500","mean_active_regions","100","3.631667"
"concurrent","window-4","4x4","uct-0500","multi_active_turn_rate","100","0.866667"
"concurrent","window-4","4x4","uct-0500","mixed_leadership_turn_rate","100","0.825000"
"concurrent","window-4","4x4","uct-0500","mean_opportunity_adjusted_activity","100","3.805844"
"concurrent","window-4","4x4","uct-1000","mean_active_regions","100","3.360000"
"concurrent","window-4","4x4","uct-1000","multi_active_turn_rate","100","0.863750"
"concurrent","window-4","4x4","uct-1000","mixed_leadership_turn_rate","100","0.837083"
"concurrent","window-4","4x4","uct-1000","mean_opportunity_adjusted_activity","100","3.636703"
"concurrent","window-4","6x6","seeded-random","mean_active_regions","100","5.506250"
"concurrent","window-4","6x6","seeded-random","multi_active_turn_rate","100","0.941667"
"concurrent","window-4","6x6","seeded-random","mixed_leadership_turn_rate","100","0.847292"
"concurrent","window-4","6x6","seeded-random","mean_opportunity_adjusted_activity","100","5.558199"
"concurrent","window-4","6x6","uct-0100","mean_active_regions","50","5.500417"
"concurrent","window-4","6x6","uct-0100","multi_active_turn_rate","50","0.936667"
"concurrent","window-4","6x6","uct-0100","mixed_leadership_turn_rate","50","0.871667"
"concurrent","window-4","6x6","uct-0100","mean_opportunity_adjusted_activity","50","5.580967"
"concurrent","window-4","6x6","uct-0500","mean_active_regions","50","5.013333"
"concurrent","window-4","6x6","uct-0500","multi_active_turn_rate","50","0.944167"
"concurrent","window-4","6x6","uct-0500","mixed_leadership_turn_rate","50","0.890417"
"concurrent","window-4","6x6","uct-0500","mean_opportunity_adjusted_activity","50","5.077939"
"concurrent","window-4","6x6","uct-1000","mean_active_regions","50","4.810000"
"concurrent","window-4","6x6","uct-1000","multi_active_turn_rate","50","0.930417"
"concurrent","window-4","6x6","uct-1000","mixed_leadership_turn_rate","50","0.906250"
"concurrent","window-4","6x6","uct-1000","mean_opportunity_adjusted_activity","50","4.889570"
"concurrent","window-4","7x7","seeded-random","mean_active_regions","100","5.606250"
"concurrent","window-4","7x7","seeded-random","multi_active_turn_rate","100","0.942083"
"concurrent","window-4","7x7","seeded-random","mixed_leadership_turn_rate","100","0.852917"
"concurrent","window-4","7x7","seeded-random","mean_opportunity_adjusted_activity","100","5.605763"
"concurrent","window-4","7x7","uct-0100","mean_active_regions","50","5.572500"
"concurrent","window-4","7x7","uct-0100","multi_active_turn_rate","50","0.938333"
"concurrent","window-4","7x7","uct-0100","mixed_leadership_turn_rate","50","0.850417"
"concurrent","window-4","7x7","uct-0100","mean_opportunity_adjusted_activity","50","5.579094"
"concurrent","window-4","7x7","uct-0500","mean_active_regions","50","5.162083"
"concurrent","window-4","7x7","uct-0500","multi_active_turn_rate","50","0.934583"
"concurrent","window-4","7x7","uct-0500","mixed_leadership_turn_rate","50","0.881667"
"concurrent","window-4","7x7","uct-0500","mean_opportunity_adjusted_activity","50","5.187325"
"concurrent","window-4","7x7","uct-1000","mean_active_regions","50","5.066250"
"concurrent","window-4","7x7","uct-1000","multi_active_turn_rate","50","0.932500"
"concurrent","window-4","7x7","uct-1000","mixed_leadership_turn_rate","50","0.893333"
"concurrent","window-4","7x7","uct-1000","mean_opportunity_adjusted_activity","50","5.122987"
"dormant-revisit","k-2","3x3","seeded-random","mean_dormant_active_fronts","100","0.930000"
"dormant-revisit","k-2","3x3","seeded-random","mean_backlog_size","100","1.933889"
"dormant-revisit","k-2","3x3","seeded-random","revisit_rate_observed","100","0.912771"
"dormant-revisit","k-2","3x3","seeded-random","mean_normalized_revisit_lag","100","0.192963"
"dormant-revisit","k-2","3x3","uct-0100","mean_dormant_active_fronts","100","0.859444"
"dormant-revisit","k-2","3x3","uct-0100","mean_backlog_size","100","1.804444"
"dormant-revisit","k-2","3x3","uct-0100","revisit_rate_observed","100","0.896177"
"dormant-revisit","k-2","3x3","uct-0100","mean_normalized_revisit_lag","100","0.201301"
"dormant-revisit","k-2","3x3","uct-0500","mean_dormant_active_fronts","100","0.713889"
"dormant-revisit","k-2","3x3","uct-0500","mean_backlog_size","100","1.531667"
"dormant-revisit","k-2","3x3","uct-0500","revisit_rate_observed","100","0.857121"
"dormant-revisit","k-2","3x3","uct-0500","mean_normalized_revisit_lag","100","0.204707"
"dormant-revisit","k-2","3x3","uct-1000","mean_dormant_active_fronts","100","0.569444"
"dormant-revisit","k-2","3x3","uct-1000","mean_backlog_size","100","1.286667"
"dormant-revisit","k-2","3x3","uct-1000","revisit_rate_observed","100","0.773782"
"dormant-revisit","k-2","3x3","uct-1000","mean_normalized_revisit_lag","100","0.192769"
"dormant-revisit","k-2","4x4","seeded-random","mean_dormant_active_fronts","100","1.259167"
"dormant-revisit","k-2","4x4","seeded-random","mean_backlog_size","100","2.480417"
"dormant-revisit","k-2","4x4","seeded-random","revisit_rate_observed","100","0.968941"
"dormant-revisit","k-2","4x4","seeded-random","mean_normalized_revisit_lag","100","0.149056"
"dormant-revisit","k-2","4x4","uct-0100","mean_dormant_active_fronts","100","1.165000"
"dormant-revisit","k-2","4x4","uct-0100","mean_backlog_size","100","2.319167"
"dormant-revisit","k-2","4x4","uct-0100","revisit_rate_observed","100","0.957495"
"dormant-revisit","k-2","4x4","uct-0100","mean_normalized_revisit_lag","100","0.159917"
"dormant-revisit","k-2","4x4","uct-0500","mean_dormant_active_fronts","100","0.948333"
"dormant-revisit","k-2","4x4","uct-0500","mean_backlog_size","100","1.950833"
"dormant-revisit","k-2","4x4","uct-0500","revisit_rate_observed","100","0.942878"
"dormant-revisit","k-2","4x4","uct-0500","mean_normalized_revisit_lag","100","0.181374"
"dormant-revisit","k-2","4x4","uct-1000","mean_dormant_active_fronts","100","0.833750"
"dormant-revisit","k-2","4x4","uct-1000","mean_backlog_size","100","1.751667"
"dormant-revisit","k-2","4x4","uct-1000","revisit_rate_observed","100","0.946376"
"dormant-revisit","k-2","4x4","uct-1000","mean_normalized_revisit_lag","100","0.193274"
"dormant-revisit","k-2","6x6","seeded-random","mean_dormant_active_fronts","100","1.691667"
"dormant-revisit","k-2","6x6","seeded-random","mean_backlog_size","100","3.232917"
"dormant-revisit","k-2","6x6","seeded-random","revisit_rate_observed","100","0.995247"
"dormant-revisit","k-2","6x6","seeded-random","mean_normalized_revisit_lag","100","0.086614"
"dormant-revisit","k-2","6x6","uct-0100","mean_dormant_active_fronts","50","1.679167"
"dormant-revisit","k-2","6x6","uct-0100","mean_backlog_size","50","3.225833"
"dormant-revisit","k-2","6x6","uct-0100","revisit_rate_observed","50","0.993212"
"dormant-revisit","k-2","6x6","uct-0100","mean_normalized_revisit_lag","50","0.086290"
