"board","experiment_id","search_level","game_index","band","mean_active_fronts","mean_dormant_fronts","mean_backlog","multi_active_turn_rate","multi_unattended_turn_rate","decline_from_game_peak","placement_entropy","opportunity_entropy","entropy_gap","placement_hhi","opportunity_hhi","hhi_gap","placement_largest_share","opportunity_largest_share","largest_share_gap","placement_regions","opportunity_regions"
"7x7","7x7-uct-0100","uct-0100","9","4","6.75","1.9166666666666667","4.083333333333333","1","1","2.25","0.9485239926088821","0.9970486971880115","-0.048524704579129385","0.13734567901234568","0.11255652173913044","0.024789157273215234","0.2222222222222222","0.1356521739130435","0.08657004830917872","9","9"
"7x7","7x7-uct-0100","uct-0100","10","1","3.5","1","1.8333333333333333","0.9166666666666666","0.75","4.5","0.8496414173112719","0.9884131467721852","-0.13877172946091332","0.16512345679012347","0.1166004528172925","0.048523003972830964","0.25","0.14052287581699346","0.10947712418300654","7","9"
"7x7","7x7-uct-0100","uct-0100","10","2","5.916666666666667","1.6666666666666667","3.3333333333333335","1","1","2.0833333333333335","0.891510398493737","0.9926894425922207","-0.10117904409848366","0.1527777777777778","0.11458123683398411","0.03819654094379368","0.2222222222222222","0.14102564102564102","0.08119658119658119","8","9"
"7x7","7x7-uct-0100","uct-0100","10","3","6.166666666666667","1.8333333333333333","3.5","1","1","1.8333333333333333","0.9546320155894152","0.9964804609510959","-0.04184844536168064","0.1342592592592593","0.11280410365935051","0.021455155599908793","0.19444444444444445","0.13100436681222707","0.06344007763221737","9","9"
"7x7","7x7-uct-0100","uct-0100","10","4","6.916666666666667","2.0833333333333335","4.083333333333333","1","1","1.0833333333333333","0.9335437403266352","0.9988155305380377","-0.0652717902114025","0.1496913580246914","0.11168805177768865","0.038003306247002766","0.2777777777777778","0.1229000884173298","0.154877689360448","9","9"
"7x7","7x7-uct-0100","uct-0100","11","1","2.5833333333333335","0.6666666666666666","1.25","0.75","0.4166666666666667","4.416666666666667","0.877405258662139","0.995959166518117","-0.11855390785597797","0.14814814814814814","0.11305705468868217","0.03509109345946597","0.19444444444444445","0.13383297644539616","0.06061146799904829","7","9"
"7x7","7x7-uct-0100","uct-0100","11","2","4.666666666666667","1.1666666666666667","2.4166666666666665","1","0.9166666666666666","2.3333333333333335","0.8936272985612662","0.9954610796514783","-0.10183378109021213","0.15123456790123457","0.1131880329774935","0.03804653492374108","0.2222222222222222","0.12613430127041741","0.0960879209518048","8","9"
"7x7","7x7-uct-0100","uct-0100","11","3","4.5","1.1666666666666667","2.6666666666666665","1","0.8333333333333334","2.5","0.9778357443452487","0.9973685880822322","-0.019532843736983496","0.12191358024691358","0.11234052629530858","0.009573053951605001","0.16666666666666666","0.12556869881710647","0.041097967849560185","9","9"
"7x7","7x7-uct-0100","uct-0100","11","4","6","1.8333333333333333","3.5833333333333335","1","1","1","0.9562404783725271","0.9957247841221557","-0.03948430574962858","0.12962962962962965","0.11325113844996036","0.01637849117966929","0.16666666666666666","0.1397544853635505","0.02691218130311615","9","9"
"7x7","7x7-uct-0100","uct-0100","12","1","2.8333333333333335","0.5","1.3333333333333333","0.75","0.4166666666666667","6.166666666666667","0.9059822134915665","0.9900126727621765","-0.08403045927061004","0.15586419753086422","0.11591429023187724","0.03994990729898698","0.2222222222222222","0.14511041009463724","0.07711181212758497","9","9"
"7x7","7x7-uct-0100","uct-0100","12","2","6.166666666666667","2.1666666666666665","3.9166666666666665","1","1","2.8333333333333335","0.9372705497517521","0.9945576987366999","-0.0572871489849478","0.14506172839506176","0.11373713391078245","0.03132459448427931","0.25","0.13370473537604458","0.11629526462395542","9","9"
"7x7","7x7-uct-0100","uct-0100","12","3","6.5","2","3.8333333333333335","1","1","2.5","0.968228718136596","0.9966302698755476","-0.028401551738951647","0.12654320987654322","0.11268683695091655","0.013856372925626664","0.19444444444444445","0.1264266900790167","0.06801775436542776","9","9"
"7x7","7x7-uct-0100","uct-0100","12","4","7.083333333333333","2.3333333333333335","4.333333333333333","1","1","1.9166666666666667","0.9378395394337821","0.9980594642728285","-0.06021992483904648","0.1481481481481482","0.1120500595552105","0.0360980885929377","0.2777777777777778","0.12386156648451731","0.1539162112932605","9","9"
"7x7","7x7-uct-0100","uct-0100","13","1","3.75","1.1666666666666667","2.25","0.9166666666666666","0.6666666666666666","4.25","0.9835756455850743","0.9935818501102986","-0.010006204525224383","0.11882716049382716","0.11428096396314065","0.004546196530686511","0.16666666666666666","0.1385099685204617","0.028156698146204945","9","9"
"7x7","7x7-uct-0100","uct-0100","13","2","5.75","1.8333333333333333","3.3333333333333335","1","0.9166666666666666","2.25","0.9156512386723077","0.9975932633568606","-0.08194202468455292","0.14969135802469136","0.11227855500314746","0.0374128030215439","0.2222222222222222","0.12544802867383512","0.0967741935483871","9","9"
"7x7","7x7-uct-0100","uct-0100","13","3","6.583333333333333","2.0833333333333335","3.8333333333333335","1","1","1.4166666666666667","0.886363532042664","0.9980578499831854","-0.11169431794052131","0.15586419753086422","0.11205931770034333","0.04380487983052089","0.25","0.1282051282051282","0.1217948717948718","8","9"
"7x7","7x7-uct-0100","uct-0100","13","4","7.416666666666667","2.5","4.583333333333333","1","1","0.5833333333333334","0.9637306045136504","0.9975660313018826","-0.03383542678823215","0.12654320987654322","0.11231346171435806","0.014229748162185155","0.16666666666666666","0.1290893015030946","0.037577365163572046","9","9"
"7x7","7x7-uct-0100","uct-0100","14","1","2.25","0.5","1.1666666666666667","0.6666666666666666","0.16666666666666666","6.75","0.8460923733619196","0.9914492712279964","-0.14535689786607686","0.18518518518518523","0.11525548720138173","0.0699296979838035","0.3055555555555556","0.14317180616740088","0.1623837493881547","8","9"
"7x7","7x7-uct-0100","uct-0100","14","2","5.75","1.9166666666666667","3.5833333333333335","1","1","3.25","0.96248881689677","0.9949104730434677","-0.032421656146697675","0.12962962962962965","0.11354229840297063","0.01608733122665902","0.19444444444444445","0.128060263653484","0.06638418079096045","9","9"
