"board","experiment_id","search_level","game_index","threshold","turns","mean_dormant_active_fronts","dormant_ge2_turn_rate","mean_backlog_size","backlog_ge2_turn_rate","qualifying_departures","revisit_rate_observed","right_censored_rate","mean_revisit_lag","mean_normalized_revisit_lag","revisit_within_four_turns_rate"
"7x7","7x7-seeded-random","seeded-random","63","3","48","0.7291666666666666","0.125","3.5416666666666665","0.875","35","1","0.11428571428571428","5.225806451612903","0.10887096774193548","0.5294117647058824"
"7x7","7x7-seeded-random","seeded-random","64","2","48","1.7083333333333333","0.6041666666666666","3.1041666666666665","0.875","49","1","0.061224489795918366","4.086956521739131","0.08514492753623186","0.6739130434782609"
"7x7","7x7-seeded-random","seeded-random","64","1","48","3.1041666666666665","0.875","3.1041666666666665","0.875","67","1","0.08955223880597014","3.3278688524590163","0.06933060109289618","0.7413793103448276"
"7x7","7x7-seeded-random","seeded-random","64","3","48","0.6875","0.125","3.1041666666666665","0.875","33","1","0.09090909090909091","5.2","0.10833333333333334","0.5161290322580645"
"7x7","7x7-seeded-random","seeded-random","65","2","48","1.6875","0.625","3.4375","0.8541666666666666","48","1","0.0625","4.4","0.09166666666666665","0.5581395348837209"
"7x7","7x7-seeded-random","seeded-random","65","1","48","3.4375","0.8541666666666666","3.4375","0.8541666666666666","84","1","0.07142857142857142","2.9615384615384617","0.06169871794871795","0.7397260273972602"
"7x7","7x7-seeded-random","seeded-random","65","3","48","0.6875","0.1875","3.4375","0.8541666666666666","33","1","0.030303030303030304","5.375","0.11197916666666669","0.36666666666666664"
"7x7","7x7-seeded-random","seeded-random","66","2","48","1.4583333333333333","0.4791666666666667","2.8333333333333335","0.8333333333333334","42","1","0.11904761904761904","4.54054054054054","0.0945945945945946","0.6486486486486487"
"7x7","7x7-seeded-random","seeded-random","66","1","48","2.8333333333333335","0.8333333333333334","2.8333333333333335","0.8333333333333334","66","1","0.09090909090909091","3.183333333333333","0.06631944444444446","0.7833333333333333"
"7x7","7x7-seeded-random","seeded-random","66","3","48","0.5833333333333334","0.10416666666666667","2.8333333333333335","0.8333333333333334","28","1","0.10714285714285714","5.76","0.12000000000000002","0.5185185185185185"
"7x7","7x7-seeded-random","seeded-random","67","2","48","1.4791666666666667","0.4583333333333333","2.7916666666666665","0.75","44","1","0.06818181818181818","4.024390243902439","0.08384146341463414","0.6585365853658537"
"7x7","7x7-seeded-random","seeded-random","67","1","48","2.7916666666666665","0.75","2.7916666666666665","0.75","63","1","0.09523809523809523","3.175438596491228","0.06615497076023392","0.75"
"7x7","7x7-seeded-random","seeded-random","67","3","48","0.5625","0.14583333333333334","2.7916666666666665","0.75","27","1","0.07407407407407407","5.32","0.11083333333333335","0.48148148148148145"
"7x7","7x7-seeded-random","seeded-random","68","2","48","2.0625","0.7083333333333334","3.7083333333333335","0.8958333333333334","58","1","0.10344827586206896","4.019230769230769","0.08373397435897437","0.6428571428571429"
"7x7","7x7-seeded-random","seeded-random","68","1","48","3.7083333333333335","0.8958333333333334","3.7083333333333335","0.8958333333333334","79","1","0.08860759493670886","3.1805555555555554","0.06626157407407407","0.7333333333333333"
"7x7","7x7-seeded-random","seeded-random","68","3","48","0.8541666666666666","0.16666666666666666","3.7083333333333335","0.8958333333333334","41","1","0.12195121951219512","4.916666666666667","0.10243055555555555","0.5"
"7x7","7x7-seeded-random","seeded-random","69","2","48","1.6666666666666667","0.5625","3.1875","0.8333333333333334","48","1","0.08333333333333333","4.863636363636363","0.10132575757575757","0.627906976744186"
"7x7","7x7-seeded-random","seeded-random","69","1","48","3.1875","0.8333333333333334","3.1875","0.8333333333333334","73","1","0.0958904109589041","3.5757575757575757","0.07449494949494949","0.75"
"7x7","7x7-seeded-random","seeded-random","69","3","48","0.6666666666666666","0.16666666666666666","3.1875","0.8333333333333334","32","1","0.0625","6.2","0.12916666666666668","0.4482758620689655"
"7x7","7x7-seeded-random","seeded-random","70","2","48","1.9166666666666667","0.625","3.5625","0.9375","53","1","0.09433962264150944","4.3125","0.08984375","0.673469387755102"
