"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"7x7-p84","7x7-p84-seeded-random","-1","1","46","0.821429","1","2","S57","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","46","0.821429","2","2","S62","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","46","0.821429","3","2","O13","objective","S14","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","47","0.839286","1","1","O63","objective","S73","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","47","0.839286","2","1","O62","objective","S63","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","47","0.839286","3","1","O11","objective","S11","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","48","0.857143","1","2","S30","supply","","ML"
"7x7-p84","7x7-p84-seeded-random","-1","1","48","0.857143","2","2","S25","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","48","0.857143","3","2","O46","objective","S57","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","49","0.875000","1","1","S14","supply","","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","49","0.875000","2","1","S04","supply","","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","49","0.875000","3","1","O43","objective","S43","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","50","0.892857","1","2","S21","supply","","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","50","0.892857","2","2","S64","supply","","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","50","0.892857","3","2","S15","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","51","0.910714","1","1","S73","supply","","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","51","0.910714","2","1","O34","objective","S45","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","51","0.910714","3","1","O01","objective","S11","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","52","0.928571","1","2","O14","objective","S15","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","52","0.928571","2","2","S62","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","52","0.928571","3","2","O51","objective","S61","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","53","0.946429","1","1","S60","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","53","0.946429","2","1","O10","objective","S11","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","53","0.946429","3","1","O16","objective","S26","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","54","0.964286","1","2","O61","objective","S61","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","54","0.964286","2","2","S33","supply","","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","54","0.964286","3","2","S77","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","55","0.982143","1","1","S01","supply","","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","55","0.982143","2","1","S16","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","55","0.982143","3","1","S47","supply","","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","56","1.000000","1","2","S73","supply","","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","56","1.000000","2","2","O31","objective","S32","ML"
"7x7-p84","7x7-p84-seeded-random","-1","1","56","1.000000","3","2","S33","supply","","MM"
"7x7-p84","7x7-p84-uct-0100","100","1","1","0.017857","1","1","S62","supply","","HL"
"7x7-p84","7x7-p84-uct-0100","100","1","1","0.017857","2","1","S01","supply","","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","1","0.017857","3","1","S41","supply","","ML"
"7x7-p84","7x7-p84-uct-0100","100","1","2","0.035714","1","2","S03","supply","","LM"
"7x7-p84","7x7-p84-uct-0100","100","1","2","0.035714","2","2","S43","supply","","MM"
"7x7-p84","7x7-p84-uct-0100","100","1","2","0.035714","3","2","S05","supply","","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","3","0.053571","1","1","S76","supply","","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","3","0.053571","2","1","S77","supply","","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","3","0.053571","3","1","S36","supply","","MH"
"7x7-p84","7x7-p84-uct-0100","100","1","4","0.071429","1","2","S66","supply","","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","4","0.071429","2","2","S55","supply","","HH"
