"board","experiment_id","iteration_limit","game_index","turn_number","progress","mover","region","legal_target_count","total_legal_target_count","regional_opportunity_share"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","2","LH","12","89","0.134831"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","2","ML","12","89","0.134831"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","2","MM","9","89","0.101124"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","2","MH","9","89","0.101124"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","2","HL","13","89","0.146067"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","2","HM","6","89","0.067416"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","2","HH","10","89","0.112360"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","1","LL","13","95","0.136842"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","1","LM","10","95","0.105263"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","1","LH","9","95","0.094737"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","1","ML","10","95","0.105263"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","1","MM","12","95","0.126316"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","1","MH","10","95","0.105263"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","1","HL","11","95","0.115789"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","1","HM","8","95","0.084211"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","1","HH","12","95","0.126316"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","2","LL","11","90","0.122222"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","2","LM","7","90","0.077778"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","2","LH","12","90","0.133333"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","2","ML","12","90","0.133333"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","2","MM","9","90","0.100000"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","2","MH","9","90","0.100000"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","2","HL","13","90","0.144444"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","2","HM","6","90","0.066667"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","2","HH","11","90","0.122222"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","1","LL","13","97","0.134021"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","1","LM","10","97","0.103093"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","1","LH","9","97","0.092784"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","1","ML","11","97","0.113402"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","1","MM","12","97","0.123711"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","1","MH","11","97","0.113402"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","1","HL","11","97","0.113402"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","1","HM","8","97","0.082474"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","1","HH","12","97","0.123711"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","2","LL","11","91","0.120879"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","2","LM","7","91","0.076923"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","2","LH","12","91","0.131868"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","2","ML","12","91","0.131868"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","2","MM","9","91","0.098901"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","2","MH","9","91","0.098901"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","2","HL","13","91","0.142857"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","2","HM","6","91","0.065934"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","2","HH","12","91","0.131868"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","1","LL","13","99","0.131313"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","1","LM","10","99","0.101010"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","1","LH","9","99","0.090909"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","1","ML","10","99","0.101010"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","1","MM","12","99","0.121212"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","1","MH","10","99","0.101010"
