"board","experiment_id","iteration_limit","game_index","turn_number","progress","mover","p1_placements_so_far","p2_placements_so_far","objective_snapshot"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","1","33","30","0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|0:1:1|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","2","33","33","2:0:1|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|0:1:1|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","1","36","33","2:0:1|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|0:1:1|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:1:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","2","36","36","2:0:1|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:1:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","1","39","36","2:0:1|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:1|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:1:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","2","39","39","2:0:1|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:1|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:1:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","1","42","39","2:0:1|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:1|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:1:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","2","42","42","2:0:1|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:1|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:1|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:1:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","29","0.517857","1","45","42","2:0:1|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:1|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:1|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","30","0.535714","2","45","45","2:0:1|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:1|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:1|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0"
