"board","experiment_id","search_level","game_index","window_turns","mean_active_regions","multi_active_turn_rate","longest_multi_active_run","longest_multi_active_run_fraction","mean_both_invested_regions","multi_both_invested_turn_rate","mixed_leadership_turn_rate","mean_opportunity_adjusted_activity","focus_switch_rate","focus_eligible_fraction","no_dominant_turn_rate"
"7x7-p84","7x7-p84-seeded-random","seeded-random","76","2","3.982142857142857","0.9285714285714286","52","0.9285714285714286","0.7857142857142857","0.14285714285714285","0.875","3.9301276925595783","1","0.03636363636363636","0.7142857142857143"
"7x7-p84","7x7-p84-seeded-random","seeded-random","77","2","4","0.9285714285714286","50","0.8928571428571429","0.75","0.125","0.9107142857142857","4.005808388326413","0.7142857142857143","0.12727272727272726","0.6428571428571429"
"7x7-p84","7x7-p84-seeded-random","seeded-random","78","2","3.767857142857143","0.9821428571428571","55","0.9821428571428571","0.8392857142857143","0.14285714285714285","0.875","3.7103086486676156","1","0.05454545454545454","0.75"
"7x7-p84","7x7-p84-seeded-random","seeded-random","79","2","4.142857142857143","0.9821428571428571","55","0.9821428571428571","0.875","0.21428571428571427","0.8571428571428571","4.059602988732328","0","0.01818181818181818","0.7678571428571429"
"7x7-p84","7x7-p84-seeded-random","seeded-random","80","2","3.517857142857143","0.8928571428571429","47","0.8392857142857143","0.75","0.10714285714285714","0.875","3.479068749304131","0.6666666666666666","0.10909090909090909","0.7321428571428571"
"7x7-p84","7x7-p84-seeded-random","seeded-random","81","2","4.017857142857143","0.9285714285714286","52","0.9285714285714286","0.6785714285714286","0.08928571428571429","0.9107142857142857","4.013786439306285","1","0.09090909090909091","0.6607142857142857"
"7x7-p84","7x7-p84-seeded-random","seeded-random","82","2","4.035714285714286","0.9642857142857143","48","0.8571428571428571","0.6785714285714286","0.10714285714285714","0.8571428571428571","4.015226931941665","0.875","0.14545454545454545","0.6071428571428571"
"7x7-p84","7x7-p84-seeded-random","seeded-random","83","2","4.339285714285714","0.9464285714285714","53","0.9464285714285714","0.8571428571428571","0.17857142857142858","0.8035714285714286","4.383717343153645","1","0.01818181818181818","0.8035714285714286"
"7x7-p84","7x7-p84-seeded-random","seeded-random","84","2","4.392857142857143","0.9285714285714286","52","0.9285714285714286","0.7678571428571429","0.16071428571428573","0.8035714285714286","4.381162248401538","1","0.03636363636363636","0.8035714285714286"
"7x7-p84","7x7-p84-seeded-random","seeded-random","85","2","4.321428571428571","0.9285714285714286","52","0.9285714285714286","0.5892857142857143","0.10714285714285714","0.8571428571428571","4.302531288425664","1","0.09090909090909091","0.6607142857142857"
