"board","experiment_id","search_level","game_index","threshold","region","cycle_index","departure_turn","departure_progress","qualification_turn","endpoint_turn","outcome","revisit_turn","revisit_lag","normalized_revisit_lag","right_censored"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HL","10","45","0.9375","45","48","right_censored","","","","true"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HM","1","4","0.08333333333333333","4","5","persistent_revisit","5","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HM","2","6","0.125","6","17","reactivation_revisit","17","11","0.22916666666666666","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HM","3","18","0.375","18","19","persistent_revisit","19","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HM","4","20","0.4166666666666667","20","22","persistent_revisit","22","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HM","5","26","0.5416666666666666","26","27","persistent_revisit","27","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HM","6","31","0.6458333333333334","31","32","persistent_revisit","32","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HM","7","33","0.6875","33","42","reactivation_revisit","42","9","0.1875","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HM","8","44","0.9166666666666666","44","48","reactivation_revisit","48","4","0.08333333333333333","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HH","1","11","0.22916666666666666","11","14","persistent_revisit","14","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HH","2","15","0.3125","15","19","reactivation_revisit","19","4","0.08333333333333333","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HH","3","23","0.4791666666666667","23","25","persistent_revisit","25","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HH","4","26","0.5416666666666666","26","33","reactivation_revisit","33","7","0.14583333333333334","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HH","5","34","0.7083333333333334","34","37","persistent_revisit","37","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HH","6","38","0.7916666666666666","38","39","persistent_revisit","39","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HH","7","40","0.8333333333333334","40","45","reactivation_revisit","45","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HH","8","47","0.9791666666666666","47","48","right_censored","","","","true"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","LM","1","5","0.10416666666666667","7","8","persistent_revisit","8","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","LM","2","11","0.22916666666666666","13","18","reactivation_revisit","18","7","0.14583333333333334","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","LM","3","19","0.3958333333333333","21","23","reactivation_revisit","23","4","0.08333333333333333","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","LM","4","25","0.5208333333333334","27","28","persistent_revisit","28","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","LM","5","29","0.6041666666666666","31","32","persistent_revisit","32","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","LM","6","33","0.6875","35","36","persistent_revisit","36","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","LM","7","39","0.8125","41","45","reactivation_revisit","45","6","0.125","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","LM","8","46","0.9583333333333334","48","48","right_censored","","","","true"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","LH","1","9","0.1875","11","12","persistent_revisit","12","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","LH","2","21","0.4375","23","35","reactivation_revisit","35","14","0.2916666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","LH","3","36","0.75","38","47","reactivation_revisit","47","11","0.22916666666666666","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","ML","1","18","0.375","20","24","reactivation_revisit","24","6","0.125","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","ML","2","25","0.5208333333333334","27","30","reactivation_revisit","30","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","ML","3","37","0.7708333333333334","39","40","persistent_revisit","40","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","ML","4","44","0.9166666666666666","46","48","reactivation_revisit","48","4","0.08333333333333333","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","MM","1","7","0.14583333333333334","9","10","persistent_revisit","10","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","MM","2","19","0.3958333333333333","21","26","reactivation_revisit","26","7","0.14583333333333334","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","MM","3","37","0.7708333333333334","39","40","persistent_revisit","40","3","0.0625","false"
