"board","experiment_id","search_level","game_index","checkpoint","turn_number","supply_share","secured_supply","secured_objectives","recent_normalized_entropy","recent_largest_region_share","recent_hhi","recent_region_coverage"
"7x7-p72","7x7-seeded-random","seeded-random","29","0.25","12","0.8055555555555556","0","0","0.8481973151785931","0.25","0.16666666666666669","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","29","0.5","24","0.7361111111111112","0","0","0.8154648767857287","0.3333333333333333","0.19444444444444442","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","29","0.75","36","0.6851851851851852","3","0","0.7033522741071694","0.25","0.22222222222222224","0.5555555555555556"
"7x7-p72","7x7-seeded-random","seeded-random","29","0.9","44","0.6363636363636364","4","0","0.8481973151785931","0.25","0.16666666666666669","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","30","0.25","12","0.8333333333333334","0","0","0.8481973151785931","0.25","0.16666666666666666","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","30","0.5","24","0.7083333333333334","0","0","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","30","0.75","36","0.6388888888888888","1","0","0.8481973151785931","0.25","0.16666666666666666","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","30","0.9","44","0.6287878787878788","3","1","0.670619835714305","0.3333333333333333","0.25","0.5555555555555556"
"7x7-p72","7x7-seeded-random","seeded-random","31","0.25","12","0.8611111111111112","0","0","0.8680423562500167","0.16666666666666666","0.1527777777777778","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","31","0.5","24","0.7222222222222222","2","0","0.7757747946428812","0.25","0.19444444444444448","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","31","0.75","36","0.6574074074074074","2","1","0.7628873973214406","0.3333333333333333","0.20833333333333334","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","31","0.9","44","0.6363636363636364","2","2","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","32","0.25","12","0.8888888888888888","0","0","0.7430423562500168","0.3333333333333333","0.22222222222222224","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","32","0.5","24","0.7638888888888888","1","0","0.6904648767857287","0.3333333333333333","0.2361111111111111","0.5555555555555556"
"7x7-p72","7x7-seeded-random","seeded-random","32","0.75","36","0.7407407407407407","3","0","0.8481973151785929","0.25","0.16666666666666666","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","32","0.9","44","0.6893939393939394","7","1","0.723197315178593","0.25","0.20833333333333331","0.5555555555555556"
"7x7-p72","7x7-seeded-random","seeded-random","33","0.25","12","0.7222222222222222","0","0","0.7757747946428812","0.25","0.19444444444444445","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","33","0.5","24","0.6944444444444444","1","1","0.8283522741071695","0.25","0.18055555555555558","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","33","0.75","36","0.7129629629629629","4","2","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","33","0.9","44","0.7045454545454546","5","2","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","34","0.25","12","0.7777777777777778","0","0","0.6904648767857287","0.3333333333333333","0.2361111111111111","0.5555555555555556"
"7x7-p72","7x7-seeded-random","seeded-random","34","0.5","24","0.75","0","0","0.7430423562500169","0.3333333333333333","0.22222222222222224","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","34","0.75","36","0.6851851851851852","2","1","0.7757747946428812","0.25","0.19444444444444445","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","34","0.9","44","0.6590909090909091","3","3","0.670619835714305","0.3333333333333333","0.25","0.5555555555555556"
"7x7-p72","7x7-seeded-random","seeded-random","35","0.25","12","0.8055555555555556","0","0","0.8283522741071693","0.25","0.18055555555555558","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","35","0.5","24","0.7638888888888888","2","0","0.7757747946428812","0.25","0.19444444444444448","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","35","0.75","36","0.6574074074074074","3","3","0.7757747946428812","0.25","0.19444444444444445","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","35","0.9","44","0.6060606060606061","3","4","0.8481973151785931","0.25","0.16666666666666669","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","36","0.25","12","0.7777777777777778","0","1","0.775774794642881","0.25","0.19444444444444445","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","36","0.5","24","0.7638888888888888","0","1","0.8283522741071693","0.25","0.18055555555555558","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","36","0.75","36","0.6759259259259259","1","2","0.973197315178593","0.16666666666666666","0.125","1"
"7x7-p72","7x7-seeded-random","seeded-random","36","0.9","44","0.6287878787878788","1","3","0.8481973151785931","0.25","0.16666666666666669","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","37","0.25","12","0.8333333333333334","2","0","0.6180423562500168","0.5","0.3194444444444444","0.5555555555555556"
"7x7-p72","7x7-seeded-random","seeded-random","37","0.5","24","0.7777777777777778","3","0","0.7103099178571525","0.3333333333333333","0.25","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","37","0.75","36","0.6944444444444444","4","2","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","37","0.9","44","0.6742424242424242","7","2","0.670619835714305","0.5","0.30555555555555547","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","38","0.25","12","0.7777777777777778","1","0","0.7628873973214406","0.3333333333333333","0.20833333333333331","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","38","0.5","24","0.6111111111111112","1","1","0.8680423562500169","0.3333333333333333","0.18055555555555555","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","38","0.75","36","0.6296296296296297","3","2","0.7757747946428812","0.25","0.19444444444444445","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","38","0.9","44","0.5757575757575758","3","5","0.6577324383928642","0.3333333333333333","0.26388888888888884","0.5555555555555556"
"7x7-p72","7x7-seeded-random","seeded-random","39","0.25","12","0.8333333333333334","0","0","0.8481973151785931","0.25","0.16666666666666666","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","39","0.5","24","0.75","0","0","0.9007747946428813","0.25","0.1527777777777778","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","39","0.75","36","0.6296296296296297","1","2","0.8154648767857287","0.3333333333333333","0.19444444444444442","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","39","0.9","44","0.5909090909090909","3","2","0.8481973151785931","0.25","0.16666666666666666","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","40","0.25","12","0.7222222222222222","1","0","0.7757747946428812","0.25","0.19444444444444445","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","40","0.5","24","0.6666666666666666","3","1","0.7956198357143051","0.3333333333333333","0.20833333333333334","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","40","0.75","36","0.6296296296296297","3","4","0.775774794642881","0.25","0.19444444444444445","0.6666666666666666"
