"board","experiment_id","search_level","game_index","late_objective_placements","late_objective_placements_per_total","target_state_changed_rate","local_lead_changed_rate","contributes_to_securing_rate","global_comparison_changed_rate","global_outcome_still_mutable_rate","region_outcome_fixed_before_rate"
"7x7-p72","7x7-uct-0100","uct-0100","12","17","0.11805555555555555","0.8823529411764706","0.17647058823529413","0.5294117647058824","0.11764705882352941","1","0.11764705882352941"
"7x7-p72","7x7-uct-0100","uct-0100","13","19","0.13194444444444445","0.8421052631578947","0.21052631578947367","0.3157894736842105","0.05263157894736842","0.9473684210526315","0.05263157894736842"
"7x7-p72","7x7-uct-0100","uct-0100","14","16","0.1111111111111111","0.6875","0.0625","0","0","0.8125","0.375"
"7x7-p72","7x7-uct-0100","uct-0100","15","25","0.1736111111111111","0.84","0.16","0.32","0.24","1","0.16"
"7x7-p72","7x7-uct-0100","uct-0100","16","19","0.13194444444444445","0.8947368421052632","0.05263157894736842","0.5263157894736842","0.10526315789473684","1","0.15789473684210525"
"7x7-p72","7x7-uct-0100","uct-0100","17","24","0.16666666666666666","0.7916666666666666","0.125","0.25","0.08333333333333333","1","0.125"
"7x7-p72","7x7-uct-0100","uct-0100","18","26","0.18055555555555555","0.9615384615384616","0.038461538461538464","0.34615384615384615","0.19230769230769232","1","0.15384615384615385"
"7x7-p72","7x7-uct-0100","uct-0100","19","19","0.13194444444444445","0.7368421052631579","0","0.5789473684210527","0.21052631578947367","1","0.3157894736842105"
"7x7-p72","7x7-uct-0100","uct-0100","20","15","0.10416666666666667","0.7333333333333333","0","0.3333333333333333","0.13333333333333333","1","0.06666666666666667"
"7x7-p72","7x7-uct-0100","uct-0100","21","18","0.125","0.8333333333333334","0.05555555555555555","0.3333333333333333","0.05555555555555555","1","0.1111111111111111"
"7x7-p72","7x7-uct-0100","uct-0100","22","27","0.1875","0.8518518518518519","0.07407407407407407","0.48148148148148145","0.18518518518518517","1","0.18518518518518517"
