"board","experiment_id","search_level","game_index","focus_switches","unresolved_carryover_switches","unresolved_carryover_rate","mean_carryover_duration","carryover_later_revisited","carryover_later_revisit_rate"
"7x7-p72","7x7-uct-0100","uct-0100","20","2","1","0.5","12","1","1"
"7x7-p72","7x7-uct-0100","uct-0100","21","1","1","1","7","1","1"
"7x7-p72","7x7-uct-0100","uct-0100","22","5","5","1","3.2","3","0.6"
"7x7-p72","7x7-uct-0100","uct-0100","23","8","7","0.875","4.571428571428571","5","0.7142857142857143"
"7x7-p72","7x7-uct-0100","uct-0100","24","3","2","0.6666666666666666","4","2","1"
"7x7-p72","7x7-uct-0100","uct-0100","25","4","4","1","7.75","3","0.75"
"7x7-p72","7x7-uct-0100","uct-0100","26","3","3","1","4","2","0.6666666666666666"
"7x7-p72","7x7-uct-0100","uct-0100","27","5","5","1","11.4","5","1"
"7x7-p72","7x7-uct-0100","uct-0100","28","2","2","1","6","1","0.5"
"7x7-p72","7x7-uct-0100","uct-0100","29","3","3","1","3.3333333333333335","3","1"
"7x7-p72","7x7-uct-0100","uct-0100","30","8","7","0.875","7.142857142857143","7","1"
"7x7-p72","7x7-uct-0100","uct-0100","31","4","4","1","5.25","4","1"
"7x7-p72","7x7-uct-0100","uct-0100","32","10","10","1","10.8","10","1"
"7x7-p72","7x7-uct-0100","uct-0100","33","2","2","1","7","2","1"
"7x7-p72","7x7-uct-0100","uct-0100","34","7","6","0.8571428571428571","6.833333333333333","6","1"
"7x7-p72","7x7-uct-0100","uct-0100","35","3","1","0.3333333333333333","3","1","1"
"7x7-p72","7x7-uct-0100","uct-0100","36","1","0","0","","0",""
"7x7-p72","7x7-uct-0100","uct-0100","37","3","2","0.6666666666666666","4","2","1"
"7x7-p72","7x7-uct-0100","uct-0100","38","3","3","1","7.666666666666667","3","1"
"7x7-p72","7x7-uct-0100","uct-0100","39","3","3","1","4.666666666666667","2","0.6666666666666666"
"7x7-p72","7x7-uct-0100","uct-0100","40","4","4","1","5.75","3","0.75"
"7x7-p72","7x7-uct-0100","uct-0100","41","2","2","1","3","2","1"
"7x7-p72","7x7-uct-0100","uct-0100","42","1","1","1","21","1","1"
"7x7-p72","7x7-uct-0100","uct-0100","43","1","1","1","3","1","1"
"7x7-p72","7x7-uct-0100","uct-0100","44","5","4","0.8","6","4","1"
"7x7-p72","7x7-uct-0100","uct-0100","45","2","2","1","7","1","0.5"
"7x7-p72","7x7-uct-0100","uct-0100","46","4","4","1","11","4","1"
"7x7-p72","7x7-uct-0100","uct-0100","47","0","0","","","0",""
"7x7-p72","7x7-uct-0100","uct-0100","48","5","5","1","6.4","5","1"
"7x7-p72","7x7-uct-0100","uct-0100","49","1","0","0","","0",""
"7x7-p72","7x7-uct-0100","uct-0100","50","3","3","1","10","3","1"
"7x7-p72","7x7-uct-0500","uct-0500","1","5","5","1","9.8","3","0.6"
"7x7-p72","7x7-uct-0500","uct-0500","2","4","4","1","12.5","3","0.75"
"7x7-p72","7x7-uct-0500","uct-0500","3","9","8","0.8888888888888888","7.5","6","0.75"
"7x7-p72","7x7-uct-0500","uct-0500","4","3","3","1","6.333333333333333","2","0.6666666666666666"
"7x7-p72","7x7-uct-0500","uct-0500","5","3","2","0.6666666666666666","8.5","2","1"
