"contrast_id","minuend_budget","subtrahend_budget","domain","scope","metric","games_minuend","games_subtrahend","mean_minuend","mean_subtrahend","difference_minuend_minus_subtrahend","ci_low","ci_high"
"96-minus-72","96","72","progress","0.5","recent_largest_region_share","50","50","0.271667","0.291667","-0.020000","-0.045000","0.005000"
"96-minus-72","96","72","progress","0.5","recent_hhi","50","50","0.186111","0.192500","-0.006389","-0.020833","0.007778"
"96-minus-72","96","72","progress","0.5","recent_region_coverage","50","50","0.751111","0.751111","0.000000","-0.048889","0.046667"
"96-minus-84","96","84","progress","0.5","supply_share","50","50","0.550417","0.547857","0.002560","-0.013839","0.018363"
"96-minus-84","96","84","progress","0.5","secured_supply","50","50","0.640000","0.640000","0.000000","-0.280000","0.280000"
"96-minus-84","96","84","progress","0.5","secured_objectives","50","50","5.560000","5.840000","-0.280000","-0.980000","0.460000"
"96-minus-84","96","84","progress","0.5","recent_normalized_entropy","50","50","0.815752","0.803364","0.012388","-0.017381","0.041732"
"96-minus-84","96","84","progress","0.5","recent_largest_region_share","50","50","0.271667","0.296667","-0.025000","-0.051667","0.001667"
"96-minus-84","96","84","progress","0.5","recent_hhi","50","50","0.186111","0.195556","-0.009444","-0.025833","0.005000"
"96-minus-84","96","84","progress","0.5","recent_region_coverage","50","50","0.751111","0.742222","0.008889","-0.035556","0.051111"
"84-minus-72","84","72","progress","0.75","supply_share","50","50","0.473333","0.470926","0.002407","-0.014286","0.019127"
"84-minus-72","84","72","progress","0.75","secured_supply","50","50","1.360000","0.560000","0.800000","0.420000","1.200000"
"84-minus-72","84","72","progress","0.75","secured_objectives","50","50","15.920000","13.760000","2.160000","1.160000","3.180000"
"84-minus-72","84","72","progress","0.75","recent_normalized_entropy","50","50","0.792057","0.775990","0.016067","-0.015137","0.049820"
"84-minus-72","84","72","progress","0.75","recent_largest_region_share","50","50","0.298333","0.305000","-0.006667","-0.038333","0.025000"
"84-minus-72","84","72","progress","0.75","recent_hhi","50","50","0.200556","0.206667","-0.006111","-0.025833","0.012500"
"84-minus-72","84","72","progress","0.75","recent_region_coverage","50","50","0.726667","0.697778","0.028889","-0.013333","0.068889"
"96-minus-72","96","72","progress","0.75","supply_share","50","50","0.479028","0.470926","0.008102","-0.007870","0.022870"
"96-minus-72","96","72","progress","0.75","secured_supply","50","50","1.700000","0.560000","1.140000","0.740000","1.520000"
"96-minus-72","96","72","progress","0.75","secured_objectives","50","50","17.900000","13.760000","4.140000","3.100000","5.200000"
"96-minus-72","96","72","progress","0.75","recent_normalized_entropy","50","50","0.785586","0.775990","0.009596","-0.025977","0.045310"
"96-minus-72","96","72","progress","0.75","recent_largest_region_share","50","50","0.295000","0.305000","-0.010000","-0.041667","0.021667"
