"domain","scope","board","search_level","metric","games","mean"
"spatial","mean-four-turn-window","7x7-p84","uct-1000","largest_region_share","50","0.293805"
"spatial","mean-four-turn-window","7x7-p84","uct-1000","hhi","50","0.200739"
"spatial","mean-four-turn-window","7x7-p84","uct-1000","region_coverage","50","0.716310"
"spatial","mean-four-turn-window","7x7-p96","seeded-random","normalized_entropy","100","0.818960"
"spatial","mean-four-turn-window","7x7-p96","seeded-random","largest_region_share","100","0.271038"
"spatial","mean-four-turn-window","7x7-p96","seeded-random","hhi","100","0.185061"
"spatial","mean-four-turn-window","7x7-p96","seeded-random","region_coverage","100","0.755829"
"spatial","mean-four-turn-window","7x7-p96","uct-0100","normalized_entropy","50","0.817701"
"spatial","mean-four-turn-window","7x7-p96","uct-0100","largest_region_share","50","0.272541"
"spatial","mean-four-turn-window","7x7-p96","uct-0100","hhi","50","0.185692"
"spatial","mean-four-turn-window","7x7-p96","uct-0100","region_coverage","50","0.754098"
"spatial","mean-four-turn-window","7x7-p96","uct-0500","normalized_entropy","50","0.801590"
"spatial","mean-four-turn-window","7x7-p96","uct-0500","largest_region_share","50","0.284809"
"spatial","mean-four-turn-window","7x7-p96","uct-0500","hhi","50","0.193679"
"spatial","mean-four-turn-window","7x7-p96","uct-0500","region_coverage","50","0.733552"
"spatial","mean-four-turn-window","7x7-p96","uct-1000","normalized_entropy","50","0.796589"
"spatial","mean-four-turn-window","7x7-p96","uct-1000","largest_region_share","50","0.286967"
"spatial","mean-four-turn-window","7x7-p96","uct-1000","hhi","50","0.196339"
"spatial","mean-four-turn-window","7x7-p96","uct-1000","region_coverage","50","0.727359"
"concurrent","window-4","7x7-p72","seeded-random","mean_active_regions","100","5.606250"
"concurrent","window-4","7x7-p72","seeded-random","multi_active_turn_rate","100","0.942083"
"concurrent","window-4","7x7-p72","seeded-random","mixed_leadership_turn_rate","100","0.852917"
"concurrent","window-4","7x7-p72","seeded-random","mean_opportunity_adjusted_activity","100","5.605763"
"concurrent","window-4","7x7-p72","uct-0100","mean_active_regions","50","5.572500"
"concurrent","window-4","7x7-p72","uct-0100","multi_active_turn_rate","50","0.938333"
"concurrent","window-4","7x7-p72","uct-0100","mixed_leadership_turn_rate","50","0.850417"
"concurrent","window-4","7x7-p72","uct-0100","mean_opportunity_adjusted_activity","50","5.579094"
"concurrent","window-4","7x7-p72","uct-0500","mean_active_regions","50","5.162083"
"concurrent","window-4","7x7-p72","uct-0500","multi_active_turn_rate","50","0.934583"
"concurrent","window-4","7x7-p72","uct-0500","mixed_leadership_turn_rate","50","0.881667"
"concurrent","window-4","7x7-p72","uct-0500","mean_opportunity_adjusted_activity","50","5.187325"
"concurrent","window-4","7x7-p72","uct-1000","mean_active_regions","50","5.066250"
"concurrent","window-4","7x7-p72","uct-1000","multi_active_turn_rate","50","0.932500"
"concurrent","window-4","7x7-p72","uct-1000","mixed_leadership_turn_rate","50","0.893333"
"concurrent","window-4","7x7-p72","uct-1000","mean_opportunity_adjusted_activity","50","5.122987"
"concurrent","window-4","7x7-p84","seeded-random","mean_active_regions","100","5.850000"
"concurrent","window-4","7x7-p84","seeded-random","multi_active_turn_rate","100","0.946607"
"concurrent","window-4","7x7-p84","seeded-random","mixed_leadership_turn_rate","100","0.867857"
"concurrent","window-4","7x7-p84","seeded-random","mean_opportunity_adjusted_activity","100","5.857104"
"concurrent","window-4","7x7-p84","uct-0100","mean_active_regions","50","5.729643"
"concurrent","window-4","7x7-p84","uct-0100","multi_active_turn_rate","50","0.942500"
"concurrent","window-4","7x7-p84","uct-0100","mixed_leadership_turn_rate","50","0.881429"
"concurrent","window-4","7x7-p84","uct-0100","mean_opportunity_adjusted_activity","50","5.764139"
"concurrent","window-4","7x7-p84","uct-0500","mean_active_regions","50","5.386071"
"concurrent","window-4","7x7-p84","uct-0500","multi_active_turn_rate","50","0.944643"
"concurrent","window-4","7x7-p84","uct-0500","mixed_leadership_turn_rate","50","0.892143"
"concurrent","window-4","7x7-p84","uct-0500","mean_opportunity_adjusted_activity","50","5.432806"
"concurrent","window-4","7x7-p84","uct-1000","mean_active_regions","50","5.165714"
"concurrent","window-4","7x7-p84","uct-1000","multi_active_turn_rate","50","0.935357"
"concurrent","window-4","7x7-p84","uct-1000","mixed_leadership_turn_rate","50","0.908571"
"concurrent","window-4","7x7-p84","uct-1000","mean_opportunity_adjusted_activity","50","5.227469"
"concurrent","window-4","7x7-p96","seeded-random","mean_active_regions","100","5.950312"
"concurrent","window-4","7x7-p96","seeded-random","multi_active_turn_rate","100","0.954375"
"concurrent","window-4","7x7-p96","seeded-random","mixed_leadership_turn_rate","100","0.879219"
"concurrent","window-4","7x7-p96","seeded-random","mean_opportunity_adjusted_activity","100","5.969871"
"concurrent","window-4","7x7-p96","uct-0100","mean_active_regions","50","5.894375"
"concurrent","window-4","7x7-p96","uct-0100","multi_active_turn_rate","50","0.955937"
"concurrent","window-4","7x7-p96","uct-0100","mixed_leadership_turn_rate","50","0.888437"
"concurrent","window-4","7x7-p96","uct-0100","mean_opportunity_adjusted_activity","50","5.922020"
"concurrent","window-4","7x7-p96","uct-0500","mean_active_regions","50","5.673125"
"concurrent","window-4","7x7-p96","uct-0500","multi_active_turn_rate","50","0.952812"
"concurrent","window-4","7x7-p96","uct-0500","mixed_leadership_turn_rate","50","0.905625"
"concurrent","window-4","7x7-p96","uct-0500","mean_opportunity_adjusted_activity","50","5.738627"
"concurrent","window-4","7x7-p96","uct-1000","mean_active_regions","50","5.458750"
"concurrent","window-4","7x7-p96","uct-1000","multi_active_turn_rate","50","0.954688"
"concurrent","window-4","7x7-p96","uct-1000","mixed_leadership_turn_rate","50","0.916250"
"concurrent","window-4","7x7-p96","uct-1000","mean_opportunity_adjusted_activity","50","5.532153"
"dormant-revisit","k-2","7x7-p72","seeded-random","mean_dormant_active_fronts","100","1.734792"
"dormant-revisit","k-2","7x7-p72","seeded-random","mean_backlog_size","100","3.305208"
"dormant-revisit","k-2","7x7-p72","seeded-random","revisit_rate_observed","100","0.997760"
"dormant-revisit","k-2","7x7-p72","seeded-random","mean_normalized_revisit_lag","100","0.086985"
"dormant-revisit","k-2","7x7-p72","uct-0100","mean_dormant_active_fronts","50","1.713333"
"dormant-revisit","k-2","7x7-p72","uct-0100","mean_backlog_size","50","3.277500"
"dormant-revisit","k-2","7x7-p72","uct-0100","revisit_rate_observed","50","0.997542"
"dormant-revisit","k-2","7x7-p72","uct-0100","mean_normalized_revisit_lag","50","0.087566"
"dormant-revisit","k-2","7x7-p72","uct-0500","mean_dormant_active_fronts","50","1.515417"
"dormant-revisit","k-2","7x7-p72","uct-0500","mean_backlog_size","50","2.993750"
"dormant-revisit","k-2","7x7-p72","uct-0500","revisit_rate_observed","50","0.992821"
"dormant-revisit","k-2","7x7-p72","uct-0500","mean_normalized_revisit_lag","50","0.089281"
"dormant-revisit","k-2","7x7-p72","uct-1000","mean_dormant_active_fronts","50","1.491667"
"dormant-revisit","k-2","7x7-p72","uct-1000","mean_backlog_size","50","2.948333"
"dormant-revisit","k-2","7x7-p72","uct-1000","revisit_rate_observed","50","0.991124"
"dormant-revisit","k-2","7x7-p72","uct-1000","mean_normalized_revisit_lag","50","0.095030"
"dormant-revisit","k-2","7x7-p84","seeded-random","mean_dormant_active_fronts","100","1.837500"
"dormant-revisit","k-2","7x7-p84","seeded-random","mean_backlog_size","100","3.468750"
"dormant-revisit","k-2","7x7-p84","seeded-random","revisit_rate_observed","100","0.997610"
"dormant-revisit","k-2","7x7-p84","seeded-random","mean_normalized_revisit_lag","100","0.074387"
"dormant-revisit","k-2","7x7-p84","uct-0100","mean_dormant_active_fronts","50","1.799286"
"dormant-revisit","k-2","7x7-p84","uct-0100","mean_backlog_size","50","3.413214"
"dormant-revisit","k-2","7x7-p84","uct-0100","revisit_rate_observed","50","0.998899"
"dormant-revisit","k-2","7x7-p84","uct-0100","mean_normalized_revisit_lag","50","0.075741"
"dormant-revisit","k-2","7x7-p84","uct-0500","mean_dormant_active_fronts","50","1.641786"
"dormant-revisit","k-2","7x7-p84","uct-0500","mean_backlog_size","50","3.168929"
"dormant-revisit","k-2","7x7-p84","uct-0500","revisit_rate_observed","50","0.993010"
"dormant-revisit","k-2","7x7-p84","uct-0500","mean_normalized_revisit_lag","50","0.077860"
"dormant-revisit","k-2","7x7-p84","uct-1000","mean_dormant_active_fronts","50","1.528571"
"dormant-revisit","k-2","7x7-p84","uct-1000","mean_backlog_size","50","3.003214"
"dormant-revisit","k-2","7x7-p84","uct-1000","revisit_rate_observed","50","0.991864"
"dormant-revisit","k-2","7x7-p84","uct-1000","mean_normalized_revisit_lag","50","0.081104"
"dormant-revisit","k-2","7x7-p96","seeded-random","mean_dormant_active_fronts","100","1.886562"
"dormant-revisit","k-2","7x7-p96","seeded-random","mean_backlog_size","100","3.551563"
"dormant-revisit","k-2","7x7-p96","seeded-random","revisit_rate_observed","100","0.998396"
"dormant-revisit","k-2","7x7-p96","seeded-random","mean_normalized_revisit_lag","100","0.065696"
"dormant-revisit","k-2","7x7-p96","uct-0100","mean_dormant_active_fronts","50","1.845000"
"dormant-revisit","k-2","7x7-p96","uct-0100","mean_backlog_size","50","3.500000"
"dormant-revisit","k-2","7x7-p96","uct-0100","revisit_rate_observed","50","0.998608"
"dormant-revisit","k-2","7x7-p96","uct-0100","mean_normalized_revisit_lag","50","0.066627"
"dormant-revisit","k-2","7x7-p96","uct-0500","mean_dormant_active_fronts","50","1.761875"
"dormant-revisit","k-2","7x7-p96","uct-0500","mean_backlog_size","50","3.350938"
"dormant-revisit","k-2","7x7-p96","uct-0500","revisit_rate_observed","50","0.995051"
"dormant-revisit","k-2","7x7-p96","uct-0500","mean_normalized_revisit_lag","50","0.069752"
"dormant-revisit","k-2","7x7-p96","uct-1000","mean_dormant_active_fronts","50","1.665938"
"dormant-revisit","k-2","7x7-p96","uct-1000","mean_backlog_size","50","3.232500"
"dormant-revisit","k-2","7x7-p96","uct-1000","revisit_rate_observed","50","0.993893"
"dormant-revisit","k-2","7x7-p96","uct-1000","mean_normalized_revisit_lag","50","0.070514"
"late-game","band-4","7x7-p72","seeded-random","mean_active_fronts","100","6.735833"
"late-game","band-4","7x7-p72","seeded-random","mean_backlog","100","4.087500"
"late-game","band-4","7x7-p72","seeded-random","entropy_gap","100","-0.051582"
"late-game","band-4","7x7-p72","seeded-random","hhi_gap","100","0.023523"
"late-game","band-4","7x7-p72","uct-0100","mean_active_fronts","50","6.813333"
"late-game","band-4","7x7-p72","uct-0100","mean_backlog","50","4.136667"
"late-game","band-4","7x7-p72","uct-0100","entropy_gap","50","-0.062226"
"late-game","band-4","7x7-p72","uct-0100","hhi_gap","50","0.028242"
"late-game","band-4","7x7-p72","uct-0500","mean_active_fronts","50","6.136667"
"late-game","band-4","7x7-p72","uct-0500","mean_backlog","50","3.730000"
"late-game","band-4","7x7-p72","uct-0500","entropy_gap","50","-0.073982"
"late-game","band-4","7x7-p72","uct-0500","hhi_gap","50","0.033115"
"late-game","band-4","7x7-p72","uct-1000","mean_active_fronts","50","5.966667"
"late-game","band-4","7x7-p72","uct-1000","mean_backlog","50","3.565000"
"late-game","band-4","7x7-p72","uct-1000","entropy_gap","50","-0.076901"
"late-game","band-4","7x7-p72","uct-1000","hhi_gap","50","0.037354"
"late-game","band-4","7x7-p84","seeded-random","mean_active_fronts","100","6.823571"
"late-game","band-4","7x7-p84","seeded-random","mean_backlog","100","4.123571"
"late-game","band-4","7x7-p84","seeded-random","entropy_gap","100","-0.038770"
"late-game","band-4","7x7-p84","seeded-random","hhi_gap","100","0.017693"
"late-game","band-4","7x7-p84","uct-0100","mean_active_fronts","50","6.661429"
"late-game","band-4","7x7-p84","uct-0100","mean_backlog","50","4.021429"
"late-game","band-4","7x7-p84","uct-0100","entropy_gap","50","-0.054731"
"late-game","band-4","7x7-p84","uct-0100","hhi_gap","50","0.025072"
"late-game","band-4","7x7-p84","uct-0500","mean_active_fronts","50","6.208571"
"late-game","band-4","7x7-p84","uct-0500","mean_backlog","50","3.735714"
"late-game","band-4","7x7-p84","uct-0500","entropy_gap","50","-0.068047"
"late-game","band-4","7x7-p84","uct-0500","hhi_gap","50","0.031503"
"late-game","band-4","7x7-p84","uct-1000","mean_active_fronts","50","5.891429"
"late-game","band-4","7x7-p84","uct-1000","mean_backlog","50","3.504286"
"late-game","band-4","7x7-p84","uct-1000","entropy_gap","50","-0.069544"
"late-game","band-4","7x7-p84","uct-1000","hhi_gap","50","0.032427"
"late-game","band-4","7x7-p96","seeded-random","mean_active_fronts","100","6.864375"
"late-game","band-4","7x7-p96","seeded-random","mean_backlog","100","4.164375"
"late-game","band-4","7x7-p96","seeded-random","entropy_gap","100","-0.036960"
"late-game","band-4","7x7-p96","seeded-random","hhi_gap","100","0.016971"
"late-game","band-4","7x7-p96","uct-0100","mean_active_fronts","50","6.732500"
"late-game","band-4","7x7-p96","uct-0100","mean_backlog","50","4.081250"
"late-game","band-4","7x7-p96","uct-0100","entropy_gap","50","-0.043129"
"late-game","band-4","7x7-p96","uct-0100","hhi_gap","50","0.020019"
"late-game","band-4","7x7-p96","uct-0500","mean_active_fronts","50","6.397500"
"late-game","band-4","7x7-p96","uct-0500","mean_backlog","50","3.867500"
"late-game","band-4","7x7-p96","uct-0500","entropy_gap","50","-0.044278"
"late-game","band-4","7x7-p96","uct-0500","hhi_gap","50","0.020957"
"late-game","band-4","7x7-p96","uct-1000","mean_active_fronts","50","5.930000"
"late-game","band-4","7x7-p96","uct-1000","mean_backlog","50","3.575000"
"late-game","band-4","7x7-p96","uct-1000","entropy_gap","50","-0.060554"
"late-game","band-4","7x7-p96","uct-1000","hhi_gap","50","0.027510"
