"board","experiment_id","search_level","game_index","turn_number","progress","mover","allocation_pattern","regions_used","supply_placements","objective_placements"
"7x7-p72","7x7-uct-1000","uct-1000","29","45","0.937500","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","29","46","0.958333","2","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","29","47","0.979167","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","29","48","1.000000","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","1","0.020833","1","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","30","2","0.041667","2","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","30","3","0.062500","1","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","30","4","0.083333","2","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","30","5","0.104167","1","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","30","6","0.125000","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","30","7","0.145833","1","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","30","8","0.166667","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","30","9","0.187500","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","30","10","0.208333","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","11","0.229167","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","30","12","0.250000","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","13","0.270833","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","14","0.291667","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","15","0.312500","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","16","0.333333","2","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","30","17","0.354167","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","30","18","0.375000","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","19","0.395833","1","3","1","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","30","20","0.416667","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","30","21","0.437500","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","22","0.458333","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","23","0.479167","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","24","0.500000","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","25","0.520833","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","30","26","0.541667","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","30","27","0.562500","1","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","30","28","0.583333","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","30","29","0.604167","1","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","30","30","0.625000","2","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","30","31","0.645833","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","32","0.666667","2","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","30","33","0.687500","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","30","34","0.708333","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","30","35","0.729167","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","36","0.750000","2","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","30","37","0.770833","1","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","30","38","0.791667","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","39","0.812500","1","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","30","40","0.833333","2","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","30","41","0.854167","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","42","0.875000","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","30","43","0.895833","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","30","44","0.916667","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","30","45","0.937500","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","30","46","0.958333","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","47","0.979167","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","30","48","1.000000","2","1+1+1","3","1","2"
