"source_issue","board","piece_budget","experiment_id","search_level","iteration_limit","game_index","seed","trial_file","trial_sha256","canonical_trial_sha256","source_manifest_trial_sha256","source_manifest_hash_match"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","35","730034","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0035.trl","0a5ce8a1fbe3833abfca5c8ef908ece8039b52e86384ca426a36165f69c7063a","d2295d43f00ea9194077f2e576f812deb98e5cfebea60a3791ad99effe6439cd","eed9cbfc00cbbe33e0d991dadbc261d963daf820db758f465f7077b86be1b55e","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","36","730035","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0036.trl","b67e89dfd619e396041387c983b566cd7d036dbecb2102cc53747a70f8493551","e0c6f21f7e1da72693603a821799a30a20c6b2b08493eecbdd3f1a43ddb521e5","01d00a1574ee46f38537f2cc60f2564c57e8f35f258f80e4e653672dcad9d768","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","37","730036","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0037.trl","5d37dc10549019e521bf097687b96f4dac8d44fdd7e1e8f1a62f5cbfe439f496","8e86e3ae953bb46ce1781bf50552d57902111cda5f534f794fa86ffe381cd662","b1b354934b11bfc300bd73890eacd958e5e4552a22d5c6f95a74e145148382fb","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","38","730037","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0038.trl","2c87a58f7860df23b5d99bdfa31a3ea2b8351eafdbcea36d702204c733766dc8","0d531abd72b6e31db44672d73cef5e42c85cf4672673bf42ad490659ba28c69c","3a53347cae9ddb41815c138eadc8a92f37e91999e2d8a76fbe0ccf8b10ae7586","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","39","730038","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0039.trl","8085158728009fc29615f069dcf2f758920bd71e4d0f2c060e4b8a05948aea57","33ca141279ed8713a557fc59f27334b2ff29decb75642e807fc838362b5efb8a","fd9ed58cbe7bea12321a7ed41d9a56f61c6e4cc99c70d1b07203176dd7e16cea","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","40","730039","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0040.trl","4f96ccddae2534b041ec18706e1fed3918f3fc6ae3b07ec44e06b64f4512e378","6590785e8685450c0ac9e6f3a8123aea328a557a15dcd756c1eada832c69ac0a","bbf2c72898ba4b8b89fc31e59d84f4a99767f1f4e2762f99c3d4e5cae474f3c5","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","41","730040","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0041.trl","171a310186b09154d06ebacdf38d46e65b44f86c119b1fdbff4d1d51ab406ff9","6107faafcaf5e5f28b75387d832aa3eb87fba6d5b4609d610fa4ff65668546c4","8164fc1d1800b0fbec5d67c369af2103f7feb4f8d99f6d9f67fef6f379b3676a","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","42","730041","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0042.trl","b962452110c62bcfcfdabd74030f877d96e6d75ec255c30e34ca2729d5defd99","750eb8b21343cfae42e1f846a2423b5472aefeaeb51cd1be028aa23db06c603f","8f6afda1b223cd1ad513faffb5dcb2bdc228e519eb5abdc84ab3ebbe5f57c9ea","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","43","730042","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0043.trl","31e44f197a30a8441484d3a3606b6389643acc2ed9a43436ed4f2e2032e648d1","4ed1ce3870a6fa46e9e5c60d826d1590ff6779bb9f45b53ca80a6a19e82bffff","d101217acfeb82399b8ebc1d8b38769e374f2d0da08c06b9ac73d12c00c80588","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","44","730043","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0044.trl","8a590605c79836c603de6779314c2dbe6be07941d7768364a3a68143b29eef33","671f43d7077d2600b1fd2128143b8ddc5f318425aa39a75bcae07af736ea9b35","401538eeb3fd2223a7046ce5e55698038d267c5864a0165ff53bff50538176d0","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","45","730044","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0045.trl","851a1abd413486ecf929335b5281a00cde77599d857340d5b17382d1ac98ac64","18231185c91008bbacd9b7e8502af5f14e103aa28984ec157f8bdd14991b2cd2","3fdb10f4f0d917fa90cc19bcb70c9a27fef93494c695be6825e1f3003f006bc0","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","46","730045","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0046.trl","b1ace43cbc2f1c63a37e58b862120eb7dd030b2278cac14315d334c036680573","67de6aa23093604bf06e9a4cddcc4ae4387023d5ba3fe83637f046ffc1443c1c","af76fc0730e81c832b4bd9e6c448d550d306bcfdbac8dfebdd300c0f261d6ccf","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","47","730046","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0047.trl","1f18e0afb3bf32b63f9f3da9d01ac611dc4fb008534a84e4db5b34fa033d34a6","d14b735a8c3b6c2d29dcde58e14c6228ec734a0b4633e0668adf2bed26966eae","77409fcd58ffbcf90195c5654cbc77b63ae7eefa18e8e2bcc75ff11e8d1a42a8","false"
