"board","experiment_id","search_level","game_index","supply_share","objective_share","secured_supply","secured_objectives","secured_supply_per_placement","secured_objectives_per_placement","secured_objectives_per_available_objective","secured_supply_events","secured_supply_later_use_rate","mean_regions_used"
"7x7-p84","7x7-p84-uct-0500","uct-0500","29","0.5238095238095238","0.47619047619047616","4","18","0.023809523809523808","0.10714285714285714","0.3673469387755102","4","0.5","2.75"
"7x7-p84","7x7-p84-uct-0500","uct-0500","30","0.44642857142857145","0.5535714285714286","3","24","0.017857142857142856","0.14285714285714285","0.4897959183673469","3","0.3333333333333333","2.6964285714285716"
"7x7-p84","7x7-p84-uct-0500","uct-0500","31","0.4583333333333333","0.5416666666666666","4","24","0.023809523809523808","0.14285714285714285","0.4897959183673469","4","0.75","2.4642857142857144"
"7x7-p84","7x7-p84-uct-0500","uct-0500","32","0.49404761904761907","0.5059523809523809","2","20","0.011904761904761904","0.11904761904761904","0.40816326530612246","2","1","2.482142857142857"
"7x7-p84","7x7-p84-uct-0500","uct-0500","33","0.47023809523809523","0.5297619047619048","3","24","0.017857142857142856","0.14285714285714285","0.4897959183673469","3","0.3333333333333333","2.6607142857142856"
"7x7-p84","7x7-p84-uct-0500","uct-0500","34","0.5","0.5","5","21","0.02976190476190476","0.125","0.42857142857142855","5","0.4","2.625"
"7x7-p84","7x7-p84-uct-0500","uct-0500","35","0.4880952380952381","0.5119047619047619","2","19","0.011904761904761904","0.1130952380952381","0.3877551020408163","2","0.5","2.5357142857142856"
"7x7-p84","7x7-p84-uct-0500","uct-0500","36","0.48214285714285715","0.5178571428571429","3","25","0.017857142857142856","0.1488095238095238","0.5102040816326531","3","0.6666666666666666","2.5892857142857144"
"7x7-p84","7x7-p84-uct-0500","uct-0500","37","0.5178571428571429","0.48214285714285715","4","22","0.023809523809523808","0.13095238095238096","0.4489795918367347","4","0.75","2.607142857142857"
"7x7-p84","7x7-p84-uct-0500","uct-0500","38","0.5119047619047619","0.4880952380952381","3","18","0.017857142857142856","0.10714285714285714","0.3673469387755102","3","0.6666666666666666","2.5892857142857144"
"7x7-p84","7x7-p84-uct-0500","uct-0500","39","0.49404761904761907","0.5059523809523809","5","22","0.02976190476190476","0.13095238095238096","0.4489795918367347","5","0.8","2.642857142857143"
"7x7-p84","7x7-p84-uct-0500","uct-0500","40","0.5119047619047619","0.4880952380952381","3","21","0.017857142857142856","0.125","0.42857142857142855","3","0.6666666666666666","2.5535714285714284"
"7x7-p84","7x7-p84-uct-0500","uct-0500","41","0.5297619047619048","0.47023809523809523","4","22","0.023809523809523808","0.13095238095238096","0.4489795918367347","4","0.5","2.517857142857143"
"7x7-p84","7x7-p84-uct-0500","uct-0500","42","0.4880952380952381","0.5119047619047619","1","20","0.005952380952380952","0.11904761904761904","0.40816326530612246","1","0","2.7142857142857144"
